Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7
1680991200.0 1.0 75 91 192 NA NA NA NA 209 192 708 NA NA NA NA 1279 636 1826 NA NA NA NA 1333 742 2236 NA NA NA NA
1680991200.0 10.0 NA 126 302 0 NA NA NA NA 249 716 0 NA NA NA NA 2220 4020 552 NA NA NA NA 982 2845 798 NA NA NA
1680991200.0 10001.0 NA 193 377 0 80 158 NA NA 385 915 0 190 318 NA NA 2893 2552 667 504 896 NA NA 2600 4518 1749 1383 1896 NA
1680991200.0 10002.0 NA 200 379 0 81 165 NA NA 405 912 0 190 341 NA NA 2555 2813 669 413 839 NA NA 1419 3929 1506 1028 1594 NA
1680991200.0 10003.0 NA 194 378 0 81 166 NA NA 382 858 0 189 342 NA NA 2492 2712 667 547 843 NA NA 2144 3747 1327 1019 1050 NA
1680991200.0 10004.0 NA 199 373 0 82 152 NA NA 396 859 0 191 302 NA NA 2578 2791 662 484 834 NA NA 1883 4025 1438 1080 1053 NA
1680991200.0 10005.0 NA 200 376 0 82 165 NA NA 385 840 0 188 339 NA NA 2630 2728 665 423 982 NA NA 1739 3770 2015 842 1971 NA
1680991200.0 10006.0 NA 192 370 0 89 138 NA NA 379 834 0 180 277 NA NA 2617 2821 667 459 745 NA NA 1994 4563 1630 1035 1094 NA
1680991200.0 10007.0 NA 207 374 0 81 147 NA NA 415 931 0 188 295 NA NA 2638 2596 646 451 821 NA NA 1804 3230 783 800 1278 NA
1680991200.0 10008.0 NA 203 371 0 81 162 NA NA 395 899 0 188 331 NA NA 2916 2804 671 463 796 NA NA 2622 3910 1576 1062 2273 NA
1680991200.0 10009.0 NA 206 381 0 81 165 NA NA 394 876 0 188 341 NA NA 2682 2538 684 499 899 NA NA 2091 4779 1899 1340 1692 NA
1680991200.0 10023.0 NA 204 376 0 78 138 NA NA 389 839 0 188 278 NA NA 2631 2721 670 462 796 NA NA 1851 3938 1247 787 1359 NA
1680991200.0 10024.0 NA 221 393 0 83 165 NA NA 428 945 0 196 346 NA NA 2706 2925 691 474 968 NA NA 1782 3721 1304 925 1908 NA
1680991200.0 10024.1 NA 225 399 0 NA NA NA NA 422 938 0 NA NA NA NA 2619 2667 703 NA NA NA NA 1059 3142 1190 NA NA NA
1680991200.0 10024.3 NA 226 390 0 NA NA NA NA 415 902 0 NA NA NA NA 2636 2810 690 NA NA NA NA 1075 3369 1009 NA NA NA
1680991200.0 10024.4 NA 216 394 0 NA NA NA NA 397 856 0 NA NA NA NA 3212 2764 675 NA NA NA NA 2368 3297 824 NA NA NA
1680991200.0 10024.5 NA 225 399 0 NA NA NA NA 424 938 0 NA NA NA NA 2527 2920 682 NA NA NA NA 1115 3378 854 NA NA NA
1680991200.0 10025.0 NA 195 381 0 81 167 NA NA 396 903 0 190 338 NA NA 2628 2877 678 462 941 NA NA 1683 4114 1508 1648 1702 NA
1680991200.0 10026.0 NA 226 395 0 83 168 NA NA 405 880 0 189 343 NA NA 2820 3112 698 581 980 NA NA 1877 4584 1380 1600 1906 NA
1680991200.0 10042.0 NA 211 388 0 82 167 NA NA 417 907 0 189 344 NA NA 2558 2685 690 626 895 NA NA 1632 3737 1271 1404 1096 NA
1680991200.0 10059.0 NA 217 397 0 83 170 NA NA 404 886 0 193 345 NA NA 2732 3468 699 472 883 NA NA 2930 4017 1788 890 1276 NA
1680991200.0 10071.0 NA 207 388 0 82 166 NA NA 415 925 0 191 333 NA NA 2730 2962 695 440 880 NA NA 1700 3668 1238 618 1417 NA
1680991200.0 101.0 89 NA NA NA NA NA NA 214 NA NA NA NA NA NA 814 NA NA NA NA NA NA 1242 NA NA NA NA NA NA
1680991200.0 102.0 89 NA NA NA NA NA NA 214 NA NA NA NA NA NA 712 NA NA NA NA NA NA 1337 NA NA NA NA NA NA
1680991200.0 10224.0 NA 377 612 0 171 NA NA NA 609 1139 0 340 NA NA NA 4891 4750 717 855 NA NA NA 4223 5493 1296 1073 NA NA
1680991200.0 10224.15 NA 355 609 0 196 NA NA NA 574 1122 0 445 NA NA NA 4562 4918 710 1148 NA NA NA 3328 6626 1306 1814 NA NA
1680991200.0 10225.0 NA 349 619 0 172 NA NA NA 585 1111 0 348 NA NA NA 4676 4677 710 932 NA NA NA 3873 4556 1476 1554 NA NA
1680991200.0 103.0 59 0 0 NA NA NA NA 157 0 0 NA NA NA NA 1026 147 1856 NA NA NA NA 1282 467 2638 NA NA NA NA
1680991200.0 10424.0 NA 176 385 0 NA NA NA NA 340 862 0 NA NA NA NA 1515 2717 681 NA NA NA NA 1284 4305 1061 NA NA NA
1680991200.0 106.0 59 0 0 NA NA NA NA 158 0 0 NA NA NA NA 663 141 1830 NA NA NA NA 1180 689 2832 NA NA NA NA
1680991200.0 107.0 82 97 283 NA NA NA NA 220 199 755 NA NA NA NA 2212 741 2429 NA NA NA NA 1196 587 2569 NA NA NA NA
1680991200.0 108.0 81 99 289 NA NA NA NA 220 196 737 NA NA NA NA 2453 724 2276 NA NA NA NA 1638 987 2732 NA NA NA NA
1680991200.0 10801.0 NA 185 371 0 82 153 NA NA 382 865 0 191 307 NA NA 2518 2899 685 495 810 NA NA 2090 4222 2615 1281 1418 NA
1680991200.0 10802.0 NA 192 379 0 81 166 NA NA 389 925 0 193 343 NA NA 2340 2824 676 649 1009 NA NA 1255 4508 1972 2000 1895 NA
1680991200.0 10803.0 NA 197 380 0 81 168 NA NA 382 952 0 190 333 NA NA 2387 3202 665 466 730 NA NA 1560 3679 1166 1178 935 NA
1680991200.0 10804.0 NA 185 378 0 81 166 NA NA 374 911 0 191 347 NA NA 2474 2625 660 429 855 NA NA 1466 3303 1404 630 1766 NA
1680991200.0 10805.0 NA 186 372 0 78 167 NA NA 368 875 0 178 344 NA NA 2505 2821 661 485 992 NA NA 1501 4267 1344 1104 1825 NA
1680991200.0 10806.0 NA 190 366 0 78 140 NA NA 372 876 0 180 276 NA NA 2458 2434 660 414 854 NA NA 1423 3567 2511 719 1464 NA
1680991200.0 10807.0 NA 207 375 0 93 152 NA NA 385 896 0 188 315 NA NA 2406 2708 677 474 942 NA NA 1333 3525 1444 1018 1541 NA
1680991200.0 10808.0 NA 198 372 0 81 163 NA NA 390 862 0 187 337 NA NA 2586 2925 680 621 1001 NA NA 1788 4879 1538 1227 1780 NA
1680991200.0 10809.0 NA 203 373 0 81 165 NA NA 402 913 0 187 341 NA NA 2481 2990 675 492 887 NA NA 1567 4732 1653 1511 1330 NA
1680991200.0 10823.0 NA 187 374 0 78 140 NA NA 372 937 0 181 275 NA NA 2582 2855 685 594 841 NA NA 1844 3747 1489 1390 1228 NA
1680991200.0 10824.0 NA 209 391 0 83 171 NA NA 390 884 0 192 342 NA NA 2523 2879 697 615 972 NA NA 1372 3156 1389 1533 1571 NA
1680991200.0 10824.1 NA 214 394 0 NA NA NA NA 407 928 0 NA NA NA NA 2534 2946 689 NA NA NA NA 1265 4944 888 NA NA NA
1680991200.0 10824.5 NA 207 391 0 NA NA NA NA 374 890 0 NA NA NA NA 2803 2764 682 NA NA NA NA 2001 2289 1596 NA NA NA
1680991200.0 10824.6 NA 193 390 0 84 170 NA NA 391 924 0 191 340 NA NA 2570 3321 697 611 1005 NA NA 1396 4764 1355 1463 1806 NA
1680991200.0 10824.8 NA 205 389 0 83 169 NA NA 387 986 0 189 331 NA NA 2625 3032 704 629 811 NA NA 1763 4109 1699 1292 1334 NA
1680991200.0 10826.0 NA 210 393 0 83 169 NA NA 371 919 0 196 342 NA NA 2742 3178 693 500 899 NA NA 1584 5173 1723 1411 1214 NA
1680991200.0 10842.0 NA 213 385 0 82 168 NA NA 391 868 0 186 341 NA NA 2484 2715 701 543 1138 NA NA 1520 4598 1908 1040 2034 NA
1680991200.0 10871.0 NA 214 390 0 84 168 NA NA 388 926 0 188 338 NA NA 2584 2983 692 479 803 NA NA 1906 4566 1417 956 1175 NA
1680991200.0 109.0 84 99 288 NA NA NA NA 220 205 686 NA NA NA NA 2328 980 2175 NA NA NA NA 1714 783 3169 NA NA NA NA
1680991200.0 110.0 62 91 282 NA NA NA NA 161 194 758 NA NA NA NA 835 600 2224 NA NA NA NA 1467 412 2919 NA NA NA NA
1680991200.0 11024.0 NA 410 711 0 168 NA NA NA 686 1256 0 345 NA NA NA 6043 6428 731 985 NA NA NA 4618 7846 1321 1466 NA NA
1680991200.0 11024.15 NA 431 695 0 198 NA NA NA 701 1242 0 437 NA NA NA 5905 6529 708 1095 NA NA NA 3913 6427 1219 1723 NA NA
1680991200.0 11024.2 NA 395 703 0 173 NA NA NA 688 1186 0 337 NA NA NA 5826 6048 719 823 NA NA NA 3892 5520 1587 1657 NA NA
1680991200.0 11024.3 NA 399 679 0 175 NA NA NA 683 1108 0 343 NA NA NA 5738 5939 719 829 NA NA NA 3181 7061 1636 2023 NA NA
1680991200.0 11024.6 NA 417 708 0 171 NA NA NA 711 1246 0 344 NA NA NA 5753 6072 725 879 NA NA NA 4063 6525 1553 1032 NA NA
1680991200.0 11025.0 NA 408 703 0 172 NA NA NA 672 1185 0 341 NA NA NA 5841 6192 701 951 NA NA NA 3263 10149 1089 1295 NA NA
1680991200.0 111.0 62 98 288 NA NA NA NA 187 190 704 NA NA NA NA 950 586 2142 NA NA NA NA 1514 554 2814 NA NA NA NA
1680991200.0 112.0 85 98 283 NA NA NA NA 223 198 700 NA NA NA NA 1834 757 2265 NA NA NA NA 1690 1038 3116 NA NA NA NA
1680991200.0 11224.6 NA 173 389 0 NA NA NA NA 342 824 0 NA NA NA NA 1177 3091 686 NA NA NA NA 767 4995 1732 NA NA NA
1680991200.0 113.0 83 97 283 NA NA NA NA 223 200 707 NA NA NA NA 1770 800 2215 NA NA NA NA 1311 874 3082 NA NA NA NA
1680991200.0 114.0 79 110 284 NA NA NA NA 211 204 700 NA NA NA NA 2089 744 2409 NA NA NA NA 1943 645 2945 NA NA NA NA
1680991200.0 115.0 81 97 281 NA NA NA NA 223 201 695 NA NA NA NA 2106 1372 2173 NA NA NA NA 1109 1221 3208 NA NA NA NA
1680991200.0 116.0 89 100 288 NA NA NA NA 229 199 706 NA NA NA NA 2238 923 2304 NA NA NA NA 1070 563 2922 NA NA NA NA
