Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6
1680991200.0 1.0 80 116 190 NA NA NA 241 234 573 NA NA NA 1243 370 1071 NA NA NA 1317 1661 2554 NA NA NA
1680991200.0 10.0 NA 143 298 0 NA NA NA 278 722 0 NA NA NA 1871 3256 489 NA NA NA 2006 3943 765 NA NA
1680991200.0 10001.0 NA 222 440 0 79 149 NA 424 1017 0 194 290 NA 2392 1826 613 359 855 NA 1885 3530 1908 765 1214
1680991200.0 10002.0 NA 222 439 0 79 173 NA 447 976 0 194 340 NA 2431 1841 612 358 886 NA 1819 3148 1927 766 1234
1680991200.0 10005.0 NA 223 442 0 95 170 NA 430 903 0 192 344 NA 2502 1947 642 384 856 NA 1703 4115 1099 1187 1508
1680991200.0 10006.0 NA 223 431 0 77 139 NA 437 989 0 183 288 NA 2564 1948 643 377 795 NA 1741 3720 1241 760 2765
1680991200.0 10007.0 NA 226 444 0 107 152 NA 454 923 0 270 328 NA 2597 1982 644 543 838 NA 1681 3461 1128 1761 1716
1680991200.0 10009.0 NA 228 449 0 107 174 NA 435 976 0 274 344 NA 2605 1984 650 546 904 NA 1758 2237 996 2176 1693
1680991200.0 10024.0 NA 230 454 0 109 174 NA 455 944 0 271 351 NA 2615 2262 683 544 884 NA 1441 4041 1308 1842 1624
1680991200.0 10025.0 NA 226 447 0 82 172 NA 442 966 0 192 346 NA 2434 1891 630 372 850 NA 1996 3317 1446 1068 1968
1680991200.0 10026.0 NA 237 461 0 82 172 NA 423 1007 0 195 347 NA 2680 2422 671 395 892 NA 1794 3846 1020 1079 1250
1680991200.0 1003.0 NA 314 0 NA NA NA NA 753 0 NA NA NA NA 3079 371 NA NA NA NA 3409 1162 NA NA NA
1680991200.0 10042.0 NA 233 448 0 108 167 NA 429 924 0 268 345 NA 2634 2015 674 535 856 NA 1433 3146 1363 1118 1281
1680991200.0 10059.0 NA 238 466 0 80 178 NA 437 1030 0 190 345 NA 2699 2780 678 388 863 NA 2011 3426 1169 1658 1383
1680991200.0 10071.0 NA 230 451 0 80 171 NA 434 985 0 193 354 NA 2626 2163 672 388 893 NA 1885 3287 1496 1212 1269
1680991200.0 10224.0 NA 394 670 0 179 NA NA 600 1145 0 356 NA NA 4522 3772 652 828 NA NA 3434 4318 1261 1635 NA
1680991200.0 10225.0 NA 367 675 0 172 NA NA 660 1260 0 344 NA NA 4740 3735 679 875 NA NA 3134 4630 968 2472 NA
1680991200.0 103.0 65 112 271 NA NA NA 192 221 737 NA NA NA 638 274 1494 NA NA NA 1527 820 2601 NA NA NA
1680991200.0 106.0 59 0 0 NA NA NA 177 0 0 NA NA NA 511 155 1359 NA NA NA 1001 714 2125 NA NA NA
1680991200.0 107.0 86 121 277 NA NA NA 244 234 699 NA NA NA 1730 420 1644 NA NA NA 1334 1611 2417 NA NA NA
1680991200.0 108.0 87 124 270 NA NA NA 241 237 695 NA NA NA 1925 420 1688 NA NA NA 1642 1588 2614 NA NA NA
1680991200.0 10802.0 NA 216 436 0 79 177 NA 428 989 0 192 343 NA 2470 1967 654 383 868 NA 2284 3083 1484 990 1116
1680991200.0 10804.0 NA 214 430 0 76 164 NA 428 925 0 181 341 NA 2288 1825 604 351 872 NA 1803 3295 1213 1133 1469
1680991200.0 10805.0 NA 215 429 0 76 180 NA 412 934 0 183 347 NA 2429 1948 645 375 870 NA 1798 3033 1491 1804 1491
1680991200.0 10807.0 NA 218 431 0 105 148 NA 415 996 0 258 291 NA 2465 1975 651 538 815 NA 1170 3504 1355 1159 1123
1680991200.0 10808.0 NA 221 433 0 106 167 NA 426 986 0 261 336 NA 2486 1986 660 552 889 NA 1658 3475 1223 1802 1646
1680991200.0 10809.0 NA 220 436 0 106 176 NA 437 987 0 271 348 NA 2457 2024 657 541 903 NA 1702 3415 1467 1083 1879
1680991200.0 10823.0 NA 216 432 0 79 151 NA 406 902 0 191 325 NA 2293 1813 621 361 817 NA 2609 4947 1541 1424 1460
1680991200.0 10824.0 NA 227 449 0 106 179 NA 425 935 0 255 355 NA 2556 2241 676 554 899 NA 1803 3756 1343 1816 1649
1680991200.0 10824.6 NA 227 444 0 81 179 NA 425 997 0 197 347 NA 2374 2073 637 372 911 NA 1645 3427 1784 1170 1265
1680991200.0 10824.8 NA 230 445 0 123 180 NA 442 966 0 258 347 NA 2535 2212 668 554 876 NA 1769 3544 1155 1209 1422
