Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4
1681074000.0 1005.0 NA 160 105 0 NA 356 242 0 NA 1360 496 244 NA 4141 1898 769
1681074000.0 101.0 119 NA NA NA 292 NA NA NA 2001 NA NA NA 5324 NA NA NA
1681074000.0 1010.0 NA 43 71 0 NA 140 146 0 NA 340 608 417 NA 1515 2454 1882
1681074000.0 102.0 114 NA NA NA 289 NA NA NA 1603 NA NA NA 3853 NA NA NA
1681074000.0 103.0 100 0 0 NA 195 0 0 NA 411 100 801 NA 378 118 989 NA
1681074000.0 1040.1 NA 74 42 0 NA 187 117 0 NA 767 318 272 NA 3027 1321 824
1681074000.0 1041.0 NA 80 42 0 NA 183 127 0 NA 642 364 187 NA 4031 2180 973
1681074000.0 1042.0 NA 71 50 0 NA 185 123 0 NA 814 351 187 NA 3049 1341 698
1681074000.0 1043.0 NA 66 44 0 NA 178 135 0 NA 726 381 169 NA 3952 2232 902
1681074000.0 1044.0 NA 67 61 0 NA 177 158 0 NA 802 482 195 NA 3607 2365 925
1681074000.0 1045.0 NA 59 68 0 NA 174 163 0 NA 811 495 175 NA 3222 2629 1027
1681074000.0 105.0 92 126 48 NA 263 226 117 NA 2900 733 354 NA 7526 2959 1070 NA
1681074000.0 1052.0 NA 161 103 0 NA 356 241 0 NA 1356 499 177 NA 5063 2224 815
1681074000.0 1052.1 NA 93 0 NA NA 245 0 NA NA 490 179 NA NA 2394 923 NA
1681074000.0 107.0 132 152 330 NA 263 223 475 NA 1234 273 1025 NA 618 320 1335 NA
1681074000.0 108.0 171 154 334 NA 266 222 484 NA 1550 271 1032 NA 959 214 1147 NA
1681074000.0 113.0 188 164 327 NA 264 222 474 NA 1114 266 995 NA 608 222 1399 NA
1681074000.0 115.0 181 154 332 NA 262 235 487 NA 1473 278 1021 NA 788 283 1108 NA
1681074000.0 11634.505 NA 380 167 0 NA 544 319 0 NA 754 438 181 NA 630 514 268
1681074000.0 118.0 132 158 339 NA 260 233 487 NA 1683 271 1076 NA 941 287 1154 NA
1681074000.0 119.0 130 150 327 NA 259 223 471 NA 989 273 985 NA 633 498 1367 NA
1681074000.0 124.2 365 NA NA NA 525 NA NA NA 1845 NA NA NA 5114 NA NA NA
1681074000.0 124.5 360 NA NA NA 498 NA NA NA 1744 NA NA NA 5204 NA NA NA
1681074000.0 136.7802 NA 83 0 NA NA 182 0 NA NA 793 385 NA NA 3722 1622 NA
1681074000.0 136.7803 NA 135 0 NA NA 259 0 NA NA 1441 451 NA NA 4967 1176 NA
1681074000.0 136.885521 NA 122 90 0 NA 256 177 0 NA 840 1054 443 NA 5728 2355 1189
1681074000.0 136.888511 NA 122 83 0 NA 256 187 0 NA 887 1143 472 NA 5649 2433 1217
1681074000.0 136.888521 NA 121 78 0 NA 256 181 0 NA 854 1118 446 NA 5107 2387 1158
1681074000.0 159.01 NA 158 0 NA NA 312 0 NA NA 2938 425 NA NA 5363 1283 NA
1681074000.0 2500.312 NA 215 0 NA NA 468 0 NA NA 30497 423 NA NA 17510 1195 NA
1681074000.0 2500.331 NA 265 0 NA NA 372 0 NA NA 6857 125 NA NA 2467 226 NA
1681074000.0 2500.5111 NA 160 0 NA NA 302 0 NA NA 1965 375 NA NA 4337 1342 NA
1681074000.0 2500.601 NA 173 0 NA NA 284 0 NA NA 6140 121 NA NA 3097 144 NA
1681074000.0 4001.0 NA 229 421 NA NA 348 601 NA NA 493 1441 NA NA 859 1461 NA
1681074000.0 4007.0 102 0 0 NA 191 0 0 NA 419 108 816 NA 385 243 1264 NA
1681074000.0 4008.0 102 0 0 NA 192 0 0 NA 408 113 813 NA 375 393 1334 NA
