Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5
1681246800.0 101.0 112 NA NA NA NA 276 NA NA NA NA 1963 NA NA NA NA 5302 NA NA NA NA
1681246800.0 1010.0 NA 42 55 0 NA NA 140 146 0 NA NA 315 489 439 NA NA 1740 3412 1768 NA
1681246800.0 102.0 114 NA NA NA NA 284 NA NA NA NA 1720 NA NA NA NA 5088 NA NA NA NA
1681246800.0 1020.0 NA 39 38 0 38 NA 153 130 0 149 NA 484 337 161 381 NA 3343 2338 964 1385
1681246800.0 1040.1 NA 75 48 0 NA NA 184 117 0 NA NA 971 320 271 NA NA 3598 1634 890 NA
1681246800.0 1041.0 NA 90 46 0 NA NA 183 127 0 NA NA 622 356 195 NA NA 3634 2091 947 NA
1681246800.0 1042.0 NA 76 51 0 NA NA 188 121 0 NA NA 921 359 173 NA NA 3437 1656 794 NA
1681246800.0 1043.0 NA 67 45 0 NA NA 174 134 0 NA NA 710 388 168 NA NA 3616 2439 918 NA
1681246800.0 1044.0 NA 67 67 0 NA NA 170 167 0 NA NA 706 488 184 NA NA 3617 2681 1004 NA
1681246800.0 1045.0 NA 56 66 0 NA NA 170 158 0 NA NA 808 528 161 NA NA 3725 2791 920 NA
1681246800.0 1052.1 NA 95 0 NA NA NA 246 0 NA NA NA 623 227 NA NA NA 2443 1511 NA NA
1681246800.0 124.2 370 NA NA NA NA 506 NA NA NA NA 1861 NA NA NA NA 5799 NA NA NA NA
1681246800.0 124.5 366 NA NA NA NA 491 NA NA NA NA 1816 NA NA NA NA 7696 NA NA NA NA
1681246800.0 136.7802 NA 84 0 NA NA NA 184 0 NA NA NA 812 385 NA NA NA 4447 1960 NA NA
1681246800.0 2500.5111 NA 160 0 NA NA NA 283 0 NA NA NA 2091 358 NA NA NA 5604 1638 NA NA
1681246800.0 500199.0 232 NA NA NA NA 416 NA NA NA NA 2510 NA NA NA NA 7448 NA NA NA NA
1681246800.0 503.0 44 0 NA NA NA 129 0 NA NA NA 6265 368 NA NA NA 6599 1685 NA NA NA
1681246800.0 504.0 68 0 NA NA NA 131 0 NA NA NA 662 396 NA NA NA 3760 2421 NA NA NA
1681246800.0 505.0 52 0 NA NA NA 124 0 NA NA NA 588 373 NA NA NA 2844 1689 NA NA NA
1681246800.0 506.0 55 0 NA NA NA 126 0 NA NA NA 585 368 NA NA NA 2795 1608 NA NA NA
1681246800.0 507.0 51 0 NA NA NA 126 0 NA NA NA 3047 356 NA NA NA 5072 1883 NA NA NA
1681246800.0 508.0 54 0 NA NA NA 128 0 NA NA NA 577 370 NA NA NA 2715 1607 NA NA NA
1681246800.0 509.0 54 0 NA NA NA 122 0 NA NA NA 596 353 NA NA NA 3088 1634 NA NA NA
1681246800.0 510.0 46 0 NA NA NA 126 0 NA NA NA 6257 368 NA NA NA 6858 1832 NA NA NA
1681246800.0 531.0 66 0 NA NA NA 239 0 NA NA NA 502 370 NA NA NA 2998 1807 NA NA NA
1681246800.0 541.0 47 0 NA NA NA 128 0 NA NA NA 566 360 NA NA NA 2967 1649 NA NA NA
1681246800.0 545.0 43 0 NA NA NA 127 0 NA NA NA 637 354 NA NA NA 3172 1651 NA NA NA
1681246800.0 546.0 55 67 NA NA NA 133 160 NA NA NA 657 642 NA NA NA 3606 2388 NA NA NA
1681246800.0 560.0 55 0 NA NA NA 126 0 NA NA NA 619 361 NA NA NA 3086 1623 NA NA NA
1681246800.0 561.0 49 0 NA NA NA 124 0 NA NA NA 645 363 NA NA NA 2966 1686 NA NA NA
1681246800.0 570.0 46 0 NA NA NA 122 0 NA NA NA 768 374 NA NA NA 3049 1567 NA NA NA
1681246800.0 571.0 43 0 NA NA NA 120 0 NA NA NA 889 367 NA NA NA 2843 1471 NA NA NA
1681246800.0 572.0 46 0 NA NA NA 118 0 NA NA NA 682 380 NA NA NA 2971 1551 NA NA NA
1681246800.0 574.0 43 0 NA NA NA 123 0 NA NA NA 1777 367 NA NA NA 3559 1607 NA NA NA
1681246800.0 575.0 46 0 NA NA NA 118 0 NA NA NA 917 353 NA NA NA 3550 1829 NA NA NA
1681246800.0 576.0 48 0 NA NA NA 120 0 NA NA NA 619 378 NA NA NA 3050 1629 NA NA NA
1681246800.0 577.0 48 0 NA NA NA 120 0 NA NA NA 737 449 NA NA NA 2568 3412 NA NA NA
