Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7
1680991200.0 1.0 84 112 184 NA NA NA NA 257 232 390 NA NA NA NA 1415 374 949 NA NA NA NA 1729 730 1273 NA NA NA NA
1680991200.0 10.0 NA 144 303 0 NA NA NA NA 274 530 0 NA NA NA NA 1455 2911 466 NA NA NA NA 1973 2562 609 NA NA NA
1680991200.0 1000.0 NA 277 152 0 69 NA NA NA 511 310 0 169 NA NA NA 2601 821 366 331 NA NA NA 3750 1896 624 892 NA NA
1680991200.0 10001.0 NA 218 434 0 104 90 NA NA 450 793 0 203 221 NA NA 2302 1737 487 409 593 NA NA 1744 3977 1383 1088 1283 NA
1680991200.0 10002.0 NA 210 438 0 100 92 NA NA 441 817 0 210 232 NA NA 2292 1738 488 408 585 NA NA 1403 2606 1308 890 962 NA
1680991200.0 10003.0 NA 219 436 0 87 96 NA NA 464 816 0 207 233 NA NA 2336 1758 486 402 581 NA NA 1919 3326 956 891 877 NA
1680991200.0 10004.0 NA 219 435 0 88 90 NA NA 443 797 0 205 226 NA NA 2302 1744 476 409 590 NA NA 1945 3464 825 1374 2113 NA
1680991200.0 10005.0 NA 218 431 0 94 91 NA NA 444 837 0 205 232 NA NA 2279 1748 484 406 615 NA NA 1518 3185 996 918 950 NA
1680991200.0 10006.0 NA 214 429 0 83 83 NA NA 453 776 0 207 223 NA NA 2308 1676 485 385 541 NA NA 1397 2652 1335 785 702 NA
1680991200.0 10007.0 NA 223 434 0 115 89 NA NA 466 775 0 285 217 NA NA 2316 1752 473 550 561 NA NA 1749 3725 833 1210 867 NA
1680991200.0 10008.0 NA 224 438 0 114 87 NA NA 460 788 0 281 216 NA NA 2485 1851 510 575 594 NA NA 1639 2801 744 809 1007 NA
1680991200.0 10009.0 NA 221 435 0 115 91 NA NA 454 801 0 285 221 NA NA 2341 1758 487 552 574 NA NA 1358 3148 910 1378 1323 NA
1680991200.0 1001.2 NA 507 170 0 0 0 0 NA 919 347 0 0 0 0 NA 10641 1142 137 156 164 176 NA 6057 1823 302 338 340 345
1680991200.0 1001.3 NA 469 196 0 NA NA NA NA 864 341 0 NA NA NA NA 4076 957 273 NA NA NA NA 4059 1978 532 NA NA NA
1680991200.0 10023.0 NA 216 433 0 84 88 NA NA 455 793 0 204 224 NA NA 2345 1704 482 397 549 NA NA 2128 3261 970 1062 994 NA
1680991200.0 10024.0 NA 228 456 0 117 98 NA NA 454 800 0 285 234 NA NA 2327 1973 499 566 608 NA NA 1717 3180 821 1144 1953 NA
1680991200.0 10024.1 NA 232 214 0 NA NA NA NA 454 421 0 NA NA NA NA 2354 954 432 NA NA NA NA 1563 1669 566 NA NA NA
1680991200.0 10024.2 NA 231 450 0 NA NA NA NA 462 797 0 NA NA NA NA 2363 1989 499 NA NA NA NA 1188 2258 864 NA NA NA
1680991200.0 10024.3 NA 228 204 0 NA NA NA NA 457 430 0 NA NA NA NA 2368 947 393 NA NA NA NA 1502 1774 536 NA NA NA
1680991200.0 10025.0 NA 227 444 0 88 90 NA NA 452 818 0 207 231 NA NA 2313 1784 496 408 583 NA NA 1496 4158 963 1060 1006 NA
1680991200.0 10026.0 NA 233 461 0 98 100 NA NA 458 871 0 208 236 NA NA 2381 2097 511 413 589 NA NA 1971 3225 947 1852 852 NA
1680991200.0 1003.0 NA 306 0 NA NA NA NA NA 634 0 NA NA NA NA NA 2956 367 NA NA NA NA NA 3410 747 NA NA NA NA
1680991200.0 10042.0 NA 226 442 0 117 84 NA NA 452 788 0 286 224 NA NA 2515 1933 529 587 602 NA NA 1272 3688 777 932 949 NA
1680991200.0 10059.0 NA 231 456 0 91 97 NA NA 465 730 0 207 235 NA NA 2574 2590 556 422 636 NA NA 1881 3580 1487 733 1001 NA
1680991200.0 10071.0 NA 232 452 0 94 94 NA NA 464 855 0 207 232 NA NA 2309 1925 510 406 603 NA NA 2086 2739 1065 930 1444 NA
1680991200.0 101.0 110 NA NA NA NA NA NA 286 NA NA NA NA NA NA 828 NA NA NA NA NA NA 860 NA NA NA NA NA NA
1680991200.0 102.0 101 NA NA NA NA NA NA 289 NA NA NA NA NA NA 740 NA NA NA NA NA NA 808 NA NA NA NA NA NA
