Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5
1680991200.0 103.0 64 0 0 NA NA 194 0 0 NA NA 592 160 1178 NA NA 2087 650 1908 NA NA
1680991200.0 106.0 60 0 0 NA NA 192 0 0 NA NA 590 163 1152 NA NA 1539 605 2457 NA NA
1680991200.0 109.0 87 115 280 NA NA 265 234 511 NA NA 2386 406 1500 NA NA 1662 1659 2526 NA NA
1680991200.0 110.0 68 112 273 NA NA 195 228 470 NA NA 622 362 1360 NA NA 1315 1284 2621 NA NA
1680991200.0 111.0 89 116 273 NA NA 264 236 468 NA NA 1191 336 1351 NA NA 1422 1300 2383 NA NA
1680991200.0 112.0 81 114 272 NA NA 258 237 487 NA NA 1504 382 1408 NA NA 1495 1642 2564 NA NA
1680991200.0 114.0 89 119 279 NA NA 271 240 501 NA NA 1743 392 1426 NA NA 1832 1480 2655 NA NA
1680991200.0 115.0 87 115 280 NA NA 266 238 488 NA NA 1959 399 1455 NA NA 2198 1198 2353 NA NA
1680991200.0 116.0 91 119 283 NA NA 272 233 492 NA NA 2000 392 1453 NA NA 2035 1303 2104 NA NA
1680991200.0 118.0 92 121 280 NA NA 264 241 491 NA NA 2737 404 1523 NA NA 1756 976 2489 NA NA
1680991200.0 119.0 82 114 272 NA NA 254 233 496 NA NA 1321 372 1403 NA NA 2050 801 2413 NA NA
1680991200.0 120.0 67 111 265 NA NA 217 231 466 NA NA 575 373 1371 NA NA 1133 1420 2843 NA NA
1680991200.0 122.0 65 0 0 NA NA 194 0 0 NA NA 583 164 1148 NA NA 1411 774 2040 NA NA
1680991200.0 125.0 91 114 279 NA NA 270 236 488 NA NA 1864 389 1422 NA NA 1843 653 2171 NA NA
1680991200.0 126.0 70 115 271 NA NA 212 229 480 NA NA 1103 368 1405 NA NA 1830 1857 2596 NA NA
1680991200.0 127.0 69 112 269 NA NA 197 231 470 NA NA 808 367 1340 NA NA 1297 1573 2053 NA NA
1680991200.0 128.0 67 112 260 NA NA 194 234 472 NA NA 559 355 1279 NA NA 1739 981 1609 NA NA
1680991200.0 129.0 68 112 262 NA NA 197 231 470 NA NA 558 367 1309 NA NA 1244 1581 2581 NA NA
1680991200.0 130.0 68 112 264 NA NA 197 230 482 NA NA 592 355 1327 NA NA 1602 727 2637 NA NA
1680991200.0 131.0 71 112 268 NA NA 197 233 484 NA NA 874 369 1363 NA NA 1282 1542 2116 NA NA
1680991200.0 133.0 92 120 285 NA NA 267 239 489 NA NA 2883 394 1608 NA NA 1770 807 2091 NA NA
1680991200.0 136.84 NA 121 442 0 NA NA 247 888 0 NA NA 499 10703 294 NA NA 975 4979 564 NA
1680991200.0 139.005 NA 93 68 NA NA NA 253 250 NA NA NA 20681 9466 NA NA NA 39598 6849 NA NA
1680991200.0 144.6 NA 279 NA NA NA NA 485 NA NA NA NA 2493 NA NA NA NA 3350 NA NA NA
1680991200.0 39661.97 854 NA NA NA NA 1439 NA NA NA NA 7983 NA NA NA NA 5726 NA NA NA NA
1680991200.0 4000.0 NA 133 307 NA NA NA 277 541 NA NA NA 1607 3706 NA NA NA 1620 3156 NA NA
1680991200.0 4001.0 NA 181 347 NA NA NA 327 589 NA NA NA 627 1946 NA NA NA 2094 2685 NA NA
1680991200.0 4003.0 NA 134 294 NA NA NA 265 519 NA NA NA 1390 2571 NA NA NA 1791 2840 NA NA
1680991200.0 4007.0 61 0 0 NA NA 192 0 0 NA NA 588 166 1146 NA NA 1641 558 2101 NA NA
1680991200.0 511.0 50 0 NA NA NA 149 0 NA NA NA 7769 202 NA NA NA 14885 1413 NA NA NA
1680991200.0 7.3 63 153 251 62 0 188 318 637 168 0 932 736 794 298 306 1485 1374 1377 1129 912
