Timestamp WorkflowId PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobTime2 TotalJobTime3 TotalJobTime4
1681333200.0 10824.502 294 164 0 871 893 0 819 286 134 522 478 189
1681333200.0 10824.503 293 171 0 863 910 0 852 295 135 532 518 187
1681333200.0 10824.513 293 141 0 863 717 0 858 205 97 590 282 155
1681333200.0 10824.522 294 133 0 870 688 0 856 190 95 558 242 148
1681333200.0 10824.523 295 134 0 870 691 0 834 203 98 544 260 157
1681333200.0 10824.524 293 99 NA 860 646 NA 827 93 NA 534 142 NA
1681333200.0 10824.586 295 209 0 869 966 0 831 344 142 541 542 190
1681333200.0 10824.587 293 220 0 858 977 0 861 346 168 549 523 226
1681333200.0 10824.597 291 685 0 864 1658 0 870 1188 311 596 1288 371
1681333200.0 10842.504 287 113 NA 863 855 NA 957 161 NA 615 358 NA
1681333200.0 11634.503 440 200 0 1228 953 0 590 271 126 480 335 188
1681333200.0 11634.504 437 146 NA 1218 881 NA 561 159 NA 472 236 NA
1681333200.0 11634.507 436 195 0 1217 938 0 575 303 148 466 356 202
1681333200.0 11634.513 440 173 0 1201 749 0 566 253 90 454 307 139
1681333200.0 11634.586 440 240 0 1217 991 0 571 324 155 464 341 218
1681333200.0 11634.587 438 246 0 1226 1004 0 576 347 150 472 362 202
1681333200.0 11634.592 437 694 0 1211 1537 0 697 1266 345 617 1157 411
1681333200.0 11634.596 439 694 0 1232 1545 0 710 1340 350 620 1206 399
1681333200.0 136.885502 173 155 0 250 887 0 259 335 88 385 483 143
1681333200.0 136.885522 172 131 0 245 691 0 258 252 88 384 268 144
1681333200.0 136.888512 173 137 0 241 707 0 255 235 93 370 260 140
