Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobTime1 TotalJobTime2 TotalJobTime3
1681117200.0 107.0 90 130 268 265 233 472 1906 414 1542 2204 1101 2999
1681117200.0 108.0 86 120 273 261 233 476 2289 427 1589 1608 1475 2650
1681117200.0 109.0 93 120 271 276 237 493 2499 426 1631 2550 1166 2810
1681117200.0 125.0 93 112 268 273 238 482 1966 408 1546 1507 840 2690
1681117200.0 126.0 71 114 257 220 229 474 1127 381 1473 1570 713 2674
1681117200.0 127.0 69 112 257 209 228 459 882 381 1460 1871 891 2623
1681117200.0 129.0 68 112 256 198 232 467 591 372 1372 1256 1202 1980
1681117200.0 139.005 NA 94 69 NA 259 249 NA 19530 8236 NA 41608 4649
1681117200.0 144.6 NA 278 NA NA 474 NA NA 2601 NA NA 3497 NA
1681117200.0 21061.97 885 NA NA 1428 NA NA 8059 NA NA 5124 NA NA
1681117200.0 2500.31 NA 141 0 NA 314 0 NA 11633 186 NA 6954 1035
1681117200.0 2500.401 NA 111 0 NA 276 0 NA 10493 177 NA 6388 375
1681117200.0 4001.0 NA 194 353 NA 341 585 NA 750 2200 NA 1668 2365
1681117200.0 4003.0 NA 134 287 NA 282 524 NA 1467 2609 NA 1264 2368
