Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueRss9 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 PeakValueVsize9 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobCPU9 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8 TotalJobTime9
1689109200.0 1.0 108 152 236 NA NA NA NA NA NA 263 230 370 NA NA NA NA NA NA 1317 319 894 NA NA NA NA NA NA 1527 449 1706 NA NA NA NA NA NA
1689109200.0 10.0 NA 195 365 0 NA NA NA NA NA NA 281 518 0 NA NA NA NA NA NA 1346 2792 399 NA NA NA NA NA NA 592 2270 611 NA NA NA NA NA
1689109200.0 1000.0 NA 372 237 0 105 NA NA NA NA NA 530 307 0 161 NA NA NA NA NA 2227 692 296 238 NA NA NA NA NA 2547 1133 429 425 NA NA NA NA
1689109200.0 10001.0 NA 276 535 0 141 147 NA NA NA NA 361 785 0 207 226 NA NA NA NA 1365 1433 388 313 389 NA NA NA NA 1055 2298 488 1131 454 NA NA NA
1689109200.0 10002.0 NA 261 510 0 138 137 NA NA NA NA 363 808 0 209 229 NA NA NA NA 1415 1539 424 329 422 NA NA NA NA 897 2840 663 705 714 NA NA NA
1689109200.0 10003.0 NA 275 503 0 145 143 NA NA NA NA 369 832 0 206 225 NA NA NA NA 1553 1631 439 351 481 NA NA NA NA 1002 2713 597 1140 842 NA NA NA
1689109200.0 10004.0 NA 276 535 0 144 148 NA NA NA NA 363 808 0 207 226 NA NA NA NA 1545 1613 419 344 447 NA NA NA NA 1395 3280 481 756 722 NA NA NA
1689109200.0 10005.0 NA 277 524 0 145 148 NA NA NA NA 362 806 0 206 230 NA NA NA NA 1532 1663 420 338 447 NA NA NA NA 1198 3203 472 667 692 NA NA NA
1689109200.0 10006.0 NA 277 529 0 144 143 NA NA NA NA 368 873 0 201 220 NA NA NA NA 1364 1440 383 310 398 NA NA NA NA 818 3236 477 590 1083 NA NA NA
1689109200.0 10007.0 NA 245 524 0 176 145 NA NA NA NA 360 844 0 279 227 NA NA NA NA 1579 1674 429 357 438 NA NA NA NA 1772 2842 571 782 647 NA NA NA
