Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueRss9 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 PeakValueVsize9 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobCPU9 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8 TotalJobTime9
1681333200.0 1.0 171 246 355 NA NA NA NA NA NA 2097410 2097370 2097460 NA NA NA NA NA NA 3148 987 1893 NA NA NA NA NA NA 3960 2582 3705 NA NA NA NA NA NA
1681333200.0 1000.0 NA 510 276 0 140 NA NA NA NA NA 2097510 2097420 0 2097360 NA NA NA NA NA 10554 2279 745 469 NA NA NA NA NA 15549 5437 1414 860 NA NA NA NA
1681333200.0 10007.0 NA 402 712 0 246 208 NA NA NA NA 2097430 2097690 0 2097420 2097390 NA NA NA NA 4725 3491 1140 752 711 NA NA NA NA 2177 5556 2218 2172 1386 NA NA NA
1681333200.0 1001.0 NA 477 273 0 0 0 0 0 0 NA 2097510 2097400 0 0 0 0 0 0 NA 9464 1134 251 132 216 393 474 405 NA 14707 2512 734 927 690 807 934 742
1681333200.0 1001.2 NA 828 280 0 0 0 0 NA NA NA 2097700 2097430 0 0 0 0 NA NA NA 58145 2697 381 262 475 502 NA NA NA 34627 2287 493 400 553 785 NA NA
1681333200.0 1001.3 NA 825 289 0 NA NA NA NA NA NA 2097690 2097440 0 NA NA NA NA NA NA 46829 1967 965 NA NA NA NA NA NA 28416 2839 2159 NA NA NA NA NA
1681333200.0 1002.0 NA 491 151 NA NA NA NA NA NA NA 2097520 2097300 NA NA NA NA NA NA NA 8465 432 NA NA NA NA NA NA NA 10399 765 NA NA NA NA NA NA
1681333200.0 1002.3 NA 819 300 0 NA NA NA NA NA NA 2097680 2097430 0 NA NA NA NA NA NA 36444 1845 979 NA NA NA NA NA NA 22609 2458 2428 NA NA NA NA NA
1681333200.0 1002.4 NA 877 0 NA NA NA NA NA NA NA 2097710 0 NA NA NA NA NA NA NA 64053 1115 NA NA NA NA NA NA NA 34100 1724 NA NA NA NA NA NA
1681333200.0 1003.0 NA 519 0 NA NA NA NA NA NA NA 2097580 0 NA NA NA NA NA NA NA 11917 688 NA NA NA NA NA NA NA 10149 1140 NA NA NA NA NA NA
1681333200.0 1004.0 NA 356 190 0 0 0 0 NA NA NA 2097480 2097370 0 0 0 0 NA NA NA 2223 460 117 203 388 375 NA NA NA 5908 2169 615 564 742 461 NA NA
1681333200.0 1005.0 NA 253 196 0 NA NA NA NA NA NA 2097440 2097400 0 NA NA NA NA NA NA 980 373 191 NA NA NA NA NA NA 2429 875 321 NA NA NA NA NA
1681333200.0 101.0 248 NA NA NA NA NA NA NA NA 2097430 NA NA NA NA NA NA NA NA 2160 NA NA NA NA NA NA NA NA 3452 NA NA NA NA NA NA NA NA
1681333200.0 1010.0 NA 113 141 0 NA NA NA NA NA NA 2097340 2097330 0 NA NA NA NA NA NA 212 361 348 NA NA NA NA NA NA 1065 1070 1091 NA NA NA NA NA
1681333200.0 102.0 257 NA NA NA NA NA NA NA NA 2097420 NA NA NA NA NA NA NA NA 1946 NA NA NA NA NA NA NA NA 3084 NA NA NA NA NA NA NA NA
1681333200.0 1020.0 NA 126 88 0 111 NA NA NA NA NA 2097340 2097330 0 2097340 NA NA NA NA NA 284 178 124 273 NA NA NA NA NA 1198 481 440 810 NA NA NA NA
1681333200.0 10224.0 NA 637 995 0 216 NA NA NA NA NA 2097490 2097790 0 2097390 NA NA NA NA NA 9921 10895 1226 769 NA NA NA NA NA 10341 11473 1979 1238 NA NA NA NA
1681333200.0 10224.15 NA 642 990 0 255 NA NA NA NA NA 2097480 2097810 0 2097410 NA NA NA NA NA 9824 10580 1228 1123 NA NA NA NA NA 8041 12406 1675 2328 NA NA NA NA
1681333200.0 10225.0 NA 673 997 0 205 NA NA NA NA NA 2097480 2097790 0 2097390 NA NA NA NA NA 9994 9322 1228 763 NA NA NA NA NA 9675 11049 2031 1720 NA NA NA NA
1681333200.0 103.0 166 213 475 NA NA NA NA NA NA 2097380 2097370 2097530 NA NA NA NA NA NA 1738 617 2885 NA NA NA NA NA NA 3470 2341 5315 NA NA NA NA NA NA
1681333200.0 1040.0 NA 749 102 0 NA NA NA NA NA NA 2097670 2097320 0 NA NA NA NA NA NA 52629 207 396 NA NA NA NA NA NA 29273 544 968 NA NA NA NA NA
1681333200.0 1040.1 NA 175 109 0 NA NA NA NA NA NA 2097360 2097320 0 NA NA NA NA NA NA 724 218 391 NA NA NA NA NA NA 2068 1071 1057 NA NA NA NA NA
1681333200.0 1041.0 NA 202 146 0 NA NA NA NA NA NA 2097360 2097330 0 NA NA NA NA NA NA 492 283 185 NA NA NA NA NA NA 1448 1426 780 NA NA NA NA NA
1681333200.0 1042.0 NA 178 116 0 NA NA NA NA NA NA 2097360 2097330 0 NA NA NA NA NA NA 752 259 142 NA NA NA NA NA NA 2207 1072 988 NA NA NA NA NA
1681333200.0 10424.0 NA 342 680 0 NA NA NA NA NA NA 2097420 2097630 0 NA NA NA NA NA NA 1221 4148 1211 NA NA NA NA NA NA 2562 7337 1853 NA NA NA NA NA
1681333200.0 1043.0 NA 152 120 0 NA NA NA NA NA NA 2097360 2097350 0 NA NA NA NA NA NA 627 268 132 NA NA NA NA NA NA 2986 1075 526 NA NA NA NA NA
1681333200.0 1044.0 NA 172 139 0 NA NA NA NA NA NA 2097360 2097370 0 NA NA NA NA NA NA 616 357 152 NA NA NA NA NA NA 2109 835 559 NA NA NA NA NA
1681333200.0 1045.0 NA 172 135 0 NA NA NA NA NA NA 2097360 2097360 0 NA NA NA NA NA NA 624 343 134 NA NA NA NA NA NA 3835 977 609 NA NA NA NA NA
1681333200.0 105.0 170 257 88 NA NA NA NA NA NA 2097410 2097380 2097330 NA NA NA NA NA NA 3275 962 206 NA NA NA NA NA NA 6460 1860 548 NA NA NA NA NA NA
1681333200.0 1052.0 NA 288 188 0 NA NA NA NA NA NA 2097460 2097400 0 NA NA NA NA NA NA 966 376 132 NA NA NA NA NA NA 2268 1007 786 NA NA NA NA NA
1681333200.0 1052.1 NA 170 0 NA NA NA NA NA NA NA 2097400 0 NA NA NA NA NA NA NA 381 132 NA NA NA NA NA NA NA 861 754 NA NA NA NA NA NA
1681333200.0 106.0 172 0 0 NA NA NA NA NA NA 2097360 0 0 NA NA NA NA NA NA 1430 249 2499 NA NA NA NA NA NA 2948 954 5214 NA NA NA NA NA NA
1681333200.0 107.0 179 256 477 NA NA NA NA NA NA 2097420 2097380 2097530 NA NA NA NA NA NA 5284 1018 3299 NA NA NA NA NA NA 5964 2083 4581 NA NA NA NA NA NA
1681333200.0 108.0 175 274 493 NA NA NA NA NA NA 2097410 2097390 2097530 NA NA NA NA NA NA 6455 1058 3535 NA NA NA NA NA NA 6160 3212 4458 NA NA NA NA NA NA
1681333200.0 10804.31 NA 369 0 NA NA NA NA NA NA NA 2097420 0 NA NA NA NA NA NA NA 4495 0 NA NA NA NA NA NA NA 3112 0 NA NA NA NA NA NA
1681333200.0 10805.31 NA 384 0 NA NA NA NA NA NA NA 2097430 0 NA NA NA NA NA NA NA 4490 0 NA NA NA NA NA NA NA 2363 0 NA NA NA NA NA NA
1681333200.0 10824.5 NA 429 251 0 NA NA NA NA NA NA 2097430 2097390 0 NA NA NA NA NA NA 4775 889 399 NA NA NA NA NA NA 2725 1995 974 NA NA NA NA NA
1681333200.0 10859.0 NA 403 748 0 216 222 NA NA NA NA 2097430 2097710 0 2097380 2097390 NA NA NA NA 4880 9192 1210 717 790 NA NA NA NA 2679 7595 1794 999 1040 NA NA NA
1681333200.0 109.0 180 256 491 NA NA NA NA NA NA 2097420 2097390 2097530 NA NA NA NA NA NA 7950 1068 3672 NA NA NA NA NA NA 9479 2788 5895 NA NA NA NA NA NA
1681333200.0 110.0 177 276 471 NA NA NA NA NA NA 2097360 2097370 2097530 NA NA NA NA NA NA 1776 1022 3179 NA NA NA NA NA NA 3883 1764 5674 NA NA NA NA NA NA
1681333200.0 11024.0 NA 742 1078 0 221 NA NA NA NA NA 2097510 2097820 0 2097390 NA NA NA NA NA 12536 14467 1239 810 NA NA NA NA NA 10156 16060 1780 1402 NA NA NA NA
1681333200.0 11024.15 NA 766 1083 0 257 NA NA NA NA NA 2097520 2097820 0 2097410 NA NA NA NA NA 13803 14623 1372 1294 NA NA NA NA NA 13299 14641 2499 3574 NA NA NA NA
1681333200.0 11024.2 NA 744 1088 0 207 NA NA NA NA NA 2097500 2097830 0 2097380 NA NA NA NA NA 12095 14015 1256 688 NA NA NA NA NA 9455 14906 2214 1460 NA NA NA NA
1681333200.0 11024.6 NA 747 1062 0 213 NA NA NA NA NA 2097510 2097820 0 2097390 NA NA NA NA NA 12194 14017 1250 815 NA NA NA NA NA 8600 14269 2069 1534 NA NA NA NA
1681333200.0 11025.0 NA 747 1091 0 219 NA NA NA NA NA 2097500 2097830 0 2097390 NA NA NA NA NA 12210 12832 1214 774 NA NA NA NA NA 12013 8634 1981 1700 NA NA NA NA
1681333200.0 111.0 178 248 490 NA NA NA NA NA NA 2097410 2097380 2097530 NA NA NA NA NA NA 3341 805 3058 NA NA NA NA NA NA 3873 3274 5703 NA NA NA NA NA NA
1681333200.0 112.0 169 239 475 NA NA NA NA NA NA 2097410 2097380 2097520 NA NA NA NA NA NA 4425 983 3021 NA NA NA NA NA NA 5012 2255 5265 NA NA NA NA NA NA
1681333200.0 11224.0 NA 331 683 0 NA NA NA NA NA NA 2097420 2097630 0 NA NA NA NA NA NA 1279 4295 1213 NA NA NA NA NA NA 2495 7975 1656 NA NA NA NA NA
1681333200.0 11224.6 NA 325 689 0 NA NA NA NA NA NA 2097420 2097630 0 NA NA NA NA NA NA 1290 4270 1225 NA NA NA NA NA NA 2899 6165 1815 NA NA NA NA NA
1681333200.0 113.0 181 254 480 NA NA NA NA NA NA 2097420 2097380 2097520 NA NA NA NA NA NA 4753 1046 3123 NA NA NA NA NA NA 6107 2365 4432 NA NA NA NA NA NA
