Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobTime1 TotalJobTime2 TotalJobTime3
1681074000.0 107.0 99 117 271 304 268 523 1857 380 1545 1869 1071 2106
1681074000.0 112.0 85 119 267 293 269 498 1558 373 1491 1923 1404 2190
1681074000.0 113.0 94 118 269 303 266 508 1670 379 1535 1428 847 2412
1681074000.0 116.0 94 121 276 305 267 508 2026 393 1587 2060 1230 2244
1681074000.0 117.0 90 122 274 290 272 512 2289 388 1619 1606 1103 2261
1681074000.0 118.0 85 119 278 294 273 523 2703 399 1644 2709 924 2357
1681074000.0 119.0 88 117 274 295 261 513 1442 371 1508 1923 1163 2226
1681074000.0 121.0 90 127 279 300 276 530 2843 400 1691 2553 906 2375
1681074000.0 127.0 71 123 262 238 266 507 835 351 1464 1399 953 2161
1681074000.0 131.0 70 116 262 241 270 498 898 348 1468 1487 968 2161
1681074000.0 132.0 83 119 279 292 274 504 2032 388 1588 1854 871 2182
1681074000.0 133.0 93 119 283 297 273 504 2918 410 1711 2169 1283 2592
1681074000.0 144.6 NA 279 NA NA 513 NA NA 2719 NA NA 4002 NA
1681074000.0 21061.97 959 NA NA 1476 NA NA 7765 NA NA 5277 NA NA
1681074000.0 23861.97 965 NA NA 1475 NA NA 7786 NA NA 6274 NA NA
1681074000.0 2500.331 NA 179 0 NA 373 0 NA 19364 188 NA 9321 465
1681074000.0 2500.511 NA 131 0 NA 353 0 NA 4189 192 NA 4923 710
