Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4
1681160400.0 107.0 88 119 272 NA 290 271 506 NA 1914 397 1593 NA 2022 1165 2685 NA
1681160400.0 108.0 85 121 278 NA 292 266 523 NA 2320 402 1639 NA 2304 1045 2317 NA
1681160400.0 109.0 92 121 274 NA 294 270 500 NA 2487 411 1670 NA 2222 1835 2319 NA
1681160400.0 110.0 69 115 267 NA 237 268 497 NA 691 368 1514 NA 2241 1128 2415 NA
1681160400.0 111.0 87 120 272 NA 288 263 525 NA 1185 316 1505 NA 1297 752 2372 NA
1681160400.0 112.0 83 120 268 NA 291 270 516 NA 1564 380 1549 NA 1677 951 2364 NA
1681160400.0 113.0 97 119 272 NA 304 268 502 NA 1685 392 1553 NA 1778 1436 2636 NA
1681160400.0 114.0 94 122 269 NA 305 271 516 NA 1797 387 1581 NA 1959 727 2154 NA
1681160400.0 115.0 94 117 275 NA 299 272 517 NA 1998 385 1533 NA 2860 1183 2164 NA
1681160400.0 116.0 92 122 272 NA 294 267 500 NA 2139 403 1628 NA 2973 878 2463 NA
1681160400.0 117.0 82 122 276 NA 291 272 523 NA 2192 398 1631 NA 2317 1502 2419 NA
1681160400.0 118.0 92 123 280 NA 296 271 519 NA 2698 414 1702 NA 2503 1657 2995 NA
1681160400.0 119.0 92 117 272 NA 285 263 498 NA 1427 379 1568 NA 1876 1016 2933 NA
1681160400.0 120.0 68 114 262 NA 240 261 494 NA 584 356 1479 NA 2227 1576 2365 NA
1681160400.0 121.0 90 122 279 NA 302 276 515 NA 2989 431 1737 NA 2547 2151 2423 NA
1681160400.0 126.0 70 116 264 NA 250 259 496 NA 1219 359 1505 NA 2295 796 2186 NA
1681160400.0 127.0 68 114 264 NA 228 257 499 NA 810 375 1524 NA 2006 2389 2923 NA
1681160400.0 128.0 67 116 262 NA 226 266 506 NA 559 342 1432 NA 1194 809 2417 NA
1681160400.0 129.0 66 116 257 NA 225 256 504 NA 561 347 1453 NA 1330 2709 2573 NA
1681160400.0 130.0 68 115 263 NA 238 269 494 NA 588 345 1438 NA 928 1226 2610 NA
1681160400.0 1303.0 91 158 213 NA 267 303 461 NA 4493 379 1441 NA 3816 965 1691 NA
1681160400.0 131.0 69 115 265 NA 240 263 492 NA 924 352 1438 NA 2069 953 2642 NA
1681160400.0 132.0 86 118 278 NA 294 270 511 NA 2229 409 1670 NA 2597 2161 2975 NA
1681160400.0 133.0 94 122 288 NA 295 268 522 NA 2918 410 1767 NA 3111 1127 3058 NA
1681160400.0 139.005 NA 94 69 NA NA 281 279 NA NA 20308 9101 NA NA 38321 6171 NA
1681160400.0 144.6 NA 279 NA NA NA 527 NA NA NA 2624 NA NA NA 5075 NA NA
1681160400.0 148.0 138 269 601 NA 339 471 937 NA 13835 1728 11913 NA 25417 3306 7992 NA
1681160400.0 2.0 92 124 194 NA 299 267 414 NA 2785 412 1134 NA 2309 1324 1985 NA
1681160400.0 21061.97 965 NA NA NA 1508 NA NA NA 8094 NA NA NA 5890 NA NA NA
1681160400.0 23861.97 928 NA NA NA 1440 NA NA NA 7393 NA NA NA 4803 NA NA NA
1681160400.0 2500.511 NA 129 0 NA NA 354 0 NA NA 4044 158 NA NA 5318 469 NA
1681160400.0 250200.1 98 311 243 NA 287 564 515 NA 1881 729 1763 NA 2552 1348 2045 NA
1681160400.0 4.28 NA 91 282 0 NA 213 504 0 NA 247 3338 1608 NA 621 5187 2066
1681160400.0 4000.0 NA 143 300 NA NA 318 559 NA NA 1535 3687 NA NA 1682 2994 NA
1681160400.0 4001.0 NA 167 337 NA NA 349 613 NA NA 726 2307 NA NA 3089 4637 NA
1681160400.0 4002.0 NA 136 291 NA NA 308 558 NA NA 1316 2403 NA NA 1797 2951 NA
1681160400.0 4003.0 NA 136 293 NA NA 312 549 NA NA 1356 2597 NA NA 1826 2629 NA
1681160400.0 4006.0 68 173 329 NA 225 343 589 NA 752 657 1997 NA 1270 1673 3184 NA
1681160400.0 4007.0 65 0 0 NA 228 0 0 NA 592 143 1238 NA 1332 574 2042 NA
1681160400.0 4008.0 63 0 0 NA 226 0 0 NA 597 153 1239 NA 1502 884 2117 NA
1681160400.0 500200.1 101 201 227 NA 288 389 447 NA 1897 567 1773 NA 2324 1959 1975 NA
