Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7
1681246800.0 1.0 84 116 182 NA NA NA NA 288 257 404 NA NA NA NA 1454 377 992 NA NA NA NA 1324 1386 1951 NA NA NA NA
1681246800.0 10004.0 NA 216 455 0 89 89 NA NA 387 817 0 235 259 NA NA 1450 1631 474 392 476 NA NA 1638 2412 1342 1216 860 NA
1681246800.0 10006.0 NA 215 452 0 86 86 NA NA 389 806 0 231 244 NA NA 1453 1648 470 388 457 NA NA 1553 2954 902 1171 1155 NA
1681246800.0 1001.2 NA 527 168 0 0 0 0 NA 954 377 0 0 0 0 NA 9916 839 127 153 150 167 NA 5435 1142 301 635 288 386
1681246800.0 10023.0 NA 218 451 0 86 89 NA NA 395 861 0 238 251 NA NA 1468 1640 469 377 465 NA NA 1582 2671 646 807 798 NA
1681246800.0 10024.0 NA 227 472 0 118 94 NA NA 391 846 0 308 260 NA NA 1501 1871 492 399 489 NA NA 1531 2950 634 753 808 NA
1681246800.0 10042.0 NA 218 464 0 117 88 NA NA 383 829 0 313 257 NA NA 1477 1747 497 398 494 NA NA 1624 2997 1106 724 1093 NA
1681246800.0 10224.0 NA 391 680 0 93 NA NA NA 642 1108 0 253 NA NA NA 3023 3311 516 500 NA NA NA 2340 4449 877 797 NA NA
1681246800.0 107.0 90 119 273 NA NA NA NA 292 268 514 NA NA NA NA 1815 377 1562 NA NA NA NA 1624 579 2918 NA NA NA NA
1681246800.0 108.0 89 120 275 NA NA NA NA 289 268 511 NA NA NA NA 1996 378 1601 NA NA NA NA 1714 1024 2570 NA NA NA NA
1681246800.0 10807.0 NA 204 448 0 114 102 NA NA 396 812 0 312 252 NA NA 1435 1695 479 402 489 NA NA 1467 2961 1017 1175 922 NA
1681246800.0 10823.0 NA 209 446 0 87 91 NA NA 385 824 0 236 257 NA NA 1419 1653 480 394 477 NA NA 1391 3080 1147 1388 656 NA
1681246800.0 10824.0 NA 221 461 0 117 97 NA NA 389 860 0 313 261 NA NA 1457 1846 504 398 500 NA NA 1161 2993 947 823 799 NA
1681246800.0 10824.6 NA 222 463 0 116 97 NA NA 398 833 0 309 259 NA NA 1470 1833 498 406 502 NA NA 1318 2742 777 718 737 NA
1681246800.0 10824.8 NA 220 462 0 116 99 NA NA 401 906 0 316 266 NA NA 1468 1839 506 402 504 NA NA 1243 2951 1068 846 745 NA
1681246800.0 10825.0 NA 201 450 0 88 98 NA NA 383 808 0 234 258 NA NA 1426 1712 496 392 499 NA NA 1099 2784 825 1067 889 NA
1681246800.0 10859.0 NA 227 466 0 101 97 NA NA 408 844 0 239 268 NA NA 1490 2454 504 387 510 NA NA 1434 2940 908 1167 946 NA
1681246800.0 109.0 90 122 280 NA NA NA NA 295 268 510 NA NA NA NA 2386 394 1651 NA NA NA NA 2038 948 3156 NA NA NA NA
1681246800.0 110.0 68 126 266 NA NA NA NA 248 257 513 NA NA NA NA 672 357 1496 NA NA NA NA 1276 1093 2533 NA NA NA NA
1681246800.0 112.0 83 118 269 NA NA NA NA 287 263 503 NA NA NA NA 1466 371 1521 NA NA NA NA 1268 708 3866 NA NA NA NA
1681246800.0 113.0 99 120 269 NA NA NA NA 303 265 513 NA NA NA NA 1590 374 1510 NA NA NA NA 1416 637 1650 NA NA NA NA
1681246800.0 114.0 93 120 269 NA NA NA NA 303 263 504 NA NA NA NA 1723 378 1534 NA NA NA NA 1498 975 2159 NA NA NA NA
1681246800.0 115.0 92 115 273 NA NA NA NA 302 270 503 NA NA NA NA 1989 391 1602 NA NA NA NA 2976 1201 2923 NA NA NA NA
1681246800.0 116.0 89 120 280 NA NA NA NA 296 275 527 NA NA NA NA 1992 382 1567 NA NA NA NA 1630 780 3187 NA NA NA NA
1681246800.0 11607.0 NA 288 591 0 128 NA NA NA 544 1013 0 292 NA NA NA 967 2488 616 428 NA NA NA 1781 4166 913 769 NA NA
1681246800.0 11634.601 NA 207 200 617 0 NA NA NA 361 423 999 0 NA NA NA 469 795 2808 647 NA NA NA 918 1678 4435 950 NA NA
1681246800.0 11643.0 NA 319 614 0 112 NA NA NA 542 1033 0 253 NA NA NA 1024 2740 650 415 NA NA NA 1571 4587 882 722 NA NA
1681246800.0 117.0 83 116 275 NA NA NA NA 293 266 504 NA NA NA NA 2136 382 1588 NA NA NA NA 2056 863 3709 NA NA NA NA
1681246800.0 118.0 90 119 282 NA NA NA NA 293 266 514 NA NA NA NA 2592 397 1637 NA NA NA NA 1758 648 3811 NA NA NA NA
1681246800.0 119.0 86 125 270 NA NA NA NA 287 263 514 NA NA NA NA 1251 361 1504 NA NA NA NA 1114 985 3034 NA NA NA NA
1681246800.0 120.0 68 110 260 NA NA NA NA 246 262 512 NA NA NA NA 593 356 1492 NA NA NA NA 1151 1089 2399 NA NA NA NA
1681246800.0 121.0 93 126 283 NA NA NA NA 299 272 524 NA NA NA NA 2753 398 1653 NA NA NA NA 1933 576 1901 NA NA NA NA
