Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueRss9 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 PeakValueVsize9 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobCPU9 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8 TotalJobTime9
1680814800.0 1.0 81 110 180 NA NA NA NA NA NA 287 251 419 NA NA NA NA NA NA 1257 334 895 NA NA NA NA NA NA 2056 757 1147 NA NA NA NA NA NA
1680814800.0 10.0 NA 146 295 0 NA NA NA NA NA NA 312 536 0 NA NA NA NA NA NA 1504 3141 434 NA NA NA NA NA NA 1214 3472 547 NA NA NA NA NA
1680814800.0 1000.0 NA 276 150 0 76 NA NA NA NA NA 553 339 0 186 NA NA NA NA NA 2376 748 327 260 NA NA NA NA NA 3303 1425 730 500 NA NA NA NA
1680814800.0 10001.0 NA 210 451 0 87 91 NA NA NA NA 388 826 0 227 255 NA NA NA NA 1442 1521 428 349 426 NA NA NA NA 1853 3356 816 1051 550 NA NA NA
1680814800.0 10002.0 NA 218 454 0 87 93 NA NA NA NA 381 809 0 228 250 NA NA NA NA 1434 1540 425 354 436 NA NA NA NA 1003 2995 740 1004 587 NA NA NA
1680814800.0 10003.0 NA 218 455 0 87 92 NA NA NA NA 393 810 0 234 252 NA NA NA NA 1432 1548 425 354 445 NA NA NA NA 882 2152 555 1046 603 NA NA NA
1680814800.0 10004.0 NA 214 451 0 87 91 NA NA NA NA 392 852 0 235 257 NA NA NA NA 1434 1547 426 345 438 NA NA NA NA 1577 2535 671 982 1031 NA NA NA
1680814800.0 10005.0 NA 213 449 0 87 88 NA NA NA NA 388 806 0 234 256 NA NA NA NA 1443 1533 438 343 441 NA NA NA NA 2231 3331 789 636 670 NA NA NA
1680814800.0 10006.0 NA 211 447 0 86 86 NA NA NA NA 385 833 0 235 245 NA NA NA NA 1445 1489 425 345 427 NA NA NA NA 1669 2329 594 612 931 NA NA NA
1680814800.0 10007.0 NA 218 452 0 115 89 NA NA NA NA 382 813 0 308 256 NA NA NA NA 1438 1548 431 360 433 NA NA NA NA 958 2373 987 959 819 NA NA NA
1680814800.0 10008.0 NA 219 452 0 114 92 NA NA NA NA 378 817 0 313 251 NA NA NA NA 1461 1552 431 358 429 NA NA NA NA 2311 2423 834 611 795 NA NA NA
1680814800.0 10009.0 NA 219 455 0 114 91 NA NA NA NA 399 829 0 305 255 NA NA NA NA 1581 1745 467 381 469 NA NA NA NA 1539 3397 865 706 695 NA NA NA
1680814800.0 1001.0 NA 260 125 0 0 0 0 0 0 NA 489 290 0 0 0 0 0 0 NA 2151 437 92 73 104 264 127 252 NA 4033 1007 449 272 271 455 392 298
1680814800.0 1001.2 NA 521 170 0 0 0 0 NA NA NA 926 371 0 0 0 0 NA NA NA 10678 881 122 144 146 163 NA NA NA 5836 1986 343 469 503 386 NA NA
1680814800.0 1001.3 NA 506 160 0 NA NA NA NA NA NA 997 364 0 NA NA NA NA NA NA 7846 856 249 NA NA NA NA NA NA 3946 1564 598 NA NA NA NA NA
1680814800.0 1002.0 NA 277 82 NA NA NA NA NA NA NA 528 182 NA NA NA NA NA NA NA 2513 208 NA NA NA NA NA NA NA 3461 189 NA NA NA NA NA NA
1680814800.0 1002.3 NA 499 160 0 NA NA NA NA NA NA 909 356 0 NA NA NA NA NA NA 6232 692 250 NA NA NA NA NA NA 3042 1066 475 NA NA NA NA NA
1680814800.0 1002.4 NA 507 0 NA NA NA NA NA NA NA 926 0 NA NA NA NA NA NA NA 9623 429 NA NA NA NA NA NA NA 4094 553 NA NA NA NA NA NA
1680814800.0 10023.0 NA 219 449 0 87 87 NA NA NA NA 389 823 0 233 253 NA NA NA NA 1442 1533 426 347 421 NA NA NA NA 1655 2590 656 904 606 NA NA NA
1680814800.0 10024.0 NA 228 474 0 117 97 NA NA NA NA 402 848 0 313 256 NA NA NA NA 1493 1769 450 366 448 NA NA NA NA 1267 2464 690 1046 800 NA NA NA
1680814800.0 10024.1 NA 228 238 0 NA NA NA NA NA NA 390 514 0 NA NA NA NA NA NA 1482 714 391 NA NA NA NA NA NA 2605 1252 471 NA NA NA NA NA
1680814800.0 10024.2 NA 228 465 0 NA NA NA NA NA NA 403 839 0 NA NA NA NA NA NA 1609 1925 482 NA NA NA NA NA NA 1837 3084 745 NA NA NA NA NA
1680814800.0 10024.3 NA 224 226 0 NA NA NA NA NA NA 396 503 0 NA NA NA NA NA NA 1480 697 353 NA NA NA NA NA NA 1600 1360 437 NA NA NA NA NA
1680814800.0 10024.4 NA 228 468 0 NA NA NA NA NA NA 400 822 0 NA NA NA NA NA NA 1594 1876 470 NA NA NA NA NA NA 1818 3814 748 NA NA NA NA NA
1680814800.0 10024.5 NA 227 95 0 NA NA NA NA NA NA 391 313 0 NA NA NA NA NA NA 1474 464 189 NA NA NA NA NA NA 1180 750 238 NA NA NA NA NA
1680814800.0 10025.0 NA 220 457 0 87 92 NA NA NA NA 402 795 0 236 255 NA NA NA NA 1434 1589 445 346 431 NA NA NA NA 1043 3351 819 614 501 NA NA NA
1680814800.0 10026.0 NA 230 470 0 90 99 NA NA NA NA 406 873 0 242 254 NA NA NA NA 1484 1934 454 354 454 NA NA NA NA 1538 3799 915 998 803 NA NA NA
1680814800.0 1003.0 NA 310 0 NA NA NA NA NA NA NA 654 0 NA NA NA NA NA NA NA 2588 290 NA NA NA NA NA NA NA 3903 427 NA NA NA NA NA NA
1680814800.0 1004.0 NA 200 102 0 0 0 0 NA NA NA 415 234 0 0 0 0 NA NA NA 843 258 73 101 268 252 NA NA NA 1418 816 298 294 681 291 NA NA
1680814800.0 10042.0 NA 216 456 0 117 91 NA NA NA NA 391 845 0 311 260 NA NA NA NA 1593 1775 489 391 490 NA NA NA NA 1776 3459 1001 893 969 NA NA NA
1680814800.0 1005.0 NA 145 96 0 NA NA NA NA NA NA 376 278 0 NA NA NA NA NA NA 510 226 100 NA NA NA NA NA NA 684 299 156 NA NA NA NA NA
1680814800.0 10059.0 NA 229 469 0 89 93 NA NA NA NA 407 836 0 231 259 NA NA NA NA 1513 2211 453 353 448 NA NA NA NA 1429 3963 794 1355 558 NA NA NA
1680814800.0 10071.0 NA 219 462 0 89 93 NA NA NA NA 393 816 0 237 260 NA NA NA NA 1609 1864 502 377 477 NA NA NA NA 1524 3242 1260 1679 693 NA NA NA
1680814800.0 101.0 113 NA NA NA NA NA NA NA NA 319 NA NA NA NA NA NA NA NA 764 NA NA NA NA NA NA NA NA 844 NA NA NA NA NA NA NA NA
1680814800.0 1010.0 NA 29 51 0 NA NA NA NA NA NA 167 184 0 NA NA NA NA NA NA 137 180 182 NA NA NA NA NA NA 309 292 243 NA NA NA NA NA
1680814800.0 102.0 105 NA NA NA NA NA NA NA NA 317 NA NA NA NA NA NA NA NA 706 NA NA NA NA NA NA NA NA 825 NA NA NA NA NA NA NA NA
1680814800.0 1020.0 NA 33 37 0 33 NA NA NA NA NA 179 167 0 176 NA NA NA NA NA 170 128 71 167 NA NA NA NA NA 466 213 150 248 NA NA NA NA
1680814800.0 10224.0 NA 409 677 0 92 NA NA NA NA NA 638 1146 0 259 NA NA NA NA NA 3226 3447 509 506 NA NA NA NA NA 2974 4432 955 1059 NA NA NA NA
1680814800.0 10224.15 NA 393 686 0 119 NA NA NA NA NA 628 1151 0 286 NA NA NA NA NA 3166 3489 524 621 NA NA NA NA NA 2301 4740 1284 2300 NA NA NA NA
1680814800.0 10225.0 NA 376 679 0 95 NA NA NA NA NA 618 1080 0 254 NA NA NA NA NA 3121 3052 495 481 NA NA NA NA NA 2760 3650 999 881 NA NA NA NA
1680814800.0 103.0 64 0 0 NA NA NA NA NA NA 221 0 0 NA NA NA NA NA NA 584 129 1211 NA NA NA NA NA NA 2281 370 2129 NA NA NA NA NA NA
1680814800.0 1030.0 NA 204 50 0 0 NA NA NA NA NA 461 174 0 0 NA NA NA NA NA 4868 165 68 63 NA NA NA NA NA 2354 226 123 88 NA NA NA NA
1680814800.0 1040.0 NA 477 37 0 NA NA NA NA NA NA 901 155 0 NA NA NA NA NA NA 9388 145 115 NA NA NA NA NA NA 4178 263 216 NA NA NA NA NA
