Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobTime1 TotalJobTime2 TotalJobTime3
1681160400.0 110.0 68 111 264 246 260 493 654 341 1397 1893 1048 1799
1681160400.0 113.0 95 116 270 300 270 497 1514 370 1445 1924 839 1955
1681160400.0 114.0 95 120 271 301 263 491 1652 367 1497 1288 666 2501
1681160400.0 127.0 66 115 260 221 261 490 811 355 1403 1637 1359 1897
1681160400.0 132.0 86 120 278 292 267 513 2017 376 1526 1887 944 1965
1681160400.0 139.005 NA 94 70 NA 282 278 NA 19541 8201 NA 41028 5448
1681160400.0 144.6 NA 279 NA NA 521 NA NA 2602 NA NA 3917 NA
1681160400.0 148.0 136 259 602 340 468 1028 12574 1540 10534 23061 2497 6690
1681160400.0 21061.97 918 NA NA 1469 NA NA 8073 NA NA 6027 NA NA
1681160400.0 23861.97 896 NA NA 1472 NA NA 7593 NA NA 5447 NA NA
1681160400.0 2500.312 NA 191 0 NA 465 0 NA 21220 164 NA 10966 832
