Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6
1681246800.0 1.0 83 113 181 NA NA NA 282 253 403 NA NA NA 1280 353 944 NA NA NA 2413 1255 1391 NA NA NA
1681246800.0 103.0 63 0 0 NA NA NA 221 0 0 NA NA NA 591 139 1249 NA NA NA 1303 465 2418 NA NA NA
1681246800.0 107.0 89 116 268 NA NA NA 289 269 526 NA NA NA 1787 382 1618 NA NA NA 1403 832 2755 NA NA NA
1681246800.0 108.0 87 118 276 NA NA NA 288 270 515 NA NA NA 2007 389 1623 NA NA NA 2939 842 2081 NA NA NA
1681246800.0 10801.0 NA 201 441 0 87 94 NA 380 818 0 232 251 NA 1540 1714 463 388 509 NA 1430 3351 777 1085 868
1681246800.0 10824.0 NA 215 461 0 117 98 NA 382 897 0 308 259 NA 1593 1903 494 411 518 NA 1842 3257 799 1131 713
1681246800.0 10842.0 NA 215 453 0 115 94 NA 390 817 0 315 256 NA 1556 1796 491 401 521 NA 1282 3247 825 751 974
1681246800.0 109.0 90 121 276 NA NA NA 288 263 507 NA NA NA 2401 401 1659 NA NA NA 2861 1136 2613 NA NA NA
1681246800.0 110.0 67 114 262 NA NA NA 233 262 502 NA NA NA 668 356 1505 NA NA NA 967 808 2172 NA NA NA
1681246800.0 113.0 94 121 275 NA NA NA 296 266 506 NA NA NA 1597 386 1555 NA NA NA 1913 898 2346 NA NA NA
1681246800.0 114.0 92 117 273 NA NA NA 299 264 499 NA NA NA 1712 385 1592 NA NA NA 1297 1020 2868 NA NA NA
1681246800.0 115.0 91 122 274 NA NA NA 296 274 492 NA NA NA 1930 404 1631 NA NA NA 1347 1460 3243 NA NA NA
1681246800.0 117.0 86 122 274 NA NA NA 281 272 512 NA NA NA 2057 392 1644 NA NA NA 2605 988 2653 NA NA NA
1681246800.0 120.0 66 114 258 NA NA NA 235 258 467 NA NA NA 573 340 1423 NA NA NA 1180 1279 2264 NA NA NA
1681246800.0 122.0 61 0 0 NA NA NA 221 0 0 NA NA NA 593 137 1275 NA NA NA 1254 428 2531 NA NA NA
1681246800.0 125.0 90 116 272 NA NA NA 284 268 508 NA NA NA 1771 390 1591 NA NA NA 1733 1367 2567 NA NA NA
1681246800.0 12634.0 NA 510 825 0 NA NA NA 825 1317 0 NA NA NA 2942 4750 672 NA NA NA 2283 4569 1008 NA NA
1681246800.0 127.0 65 114 262 NA NA NA 224 260 507 NA NA NA 839 354 1490 NA NA NA 1294 953 2122 NA NA NA
1681246800.0 128.0 67 115 260 NA NA NA 223 261 493 NA NA NA 591 360 1477 NA NA NA 1198 1021 2294 NA NA NA
1681246800.0 129.0 68 113 260 NA NA NA 222 261 478 NA NA NA 586 359 1486 NA NA NA 1395 972 2231 NA NA NA
1681246800.0 130.0 68 114 261 NA NA NA 235 262 518 NA NA NA 597 346 1429 NA NA NA 1372 1263 2453 NA NA NA
1681246800.0 1302.0 97 160 210 NA NA NA 285 315 471 NA NA NA 2337 425 1140 NA NA NA 1563 876 1841 NA NA NA
1681246800.0 132.0 89 117 280 NA NA NA 288 266 503 NA NA NA 2022 395 1642 NA NA NA 1820 1664 2402 NA NA NA
1681246800.0 1354.0 NA 156 325 0 NA NA NA 316 560 0 NA NA NA 423 1707 421 NA NA NA 1690 3431 794 NA NA
1681246800.0 1356.0 97 152 320 0 127 NA 283 305 622 0 305 NA 1919 422 1724 407 734 NA 1958 1400 3226 814 1468 NA
1681246800.0 136.863 NA 113 510 0 NA NA NA 272 963 0 NA NA NA 521 13199 408 NA NA NA 1037 6141 573 NA NA
1681246800.0 136.876 NA 114 445 0 NA NA NA 267 1036 0 NA NA NA 424 13856 308 NA NA NA 1122 6391 542 NA NA
1681246800.0 139.005 NA 94 87 NA NA NA NA 287 278 NA NA NA NA 19101 7880 NA NA NA NA 39650 5033 NA NA NA
1681246800.0 140.104 NA 280 650 111 NA NA NA 550 1246 266 NA NA NA 2297 10649 874 NA NA NA 2890 5606 811 NA NA
1681246800.0 144.6 NA 279 NA NA NA NA NA 503 NA NA NA NA NA 2597 NA NA NA NA NA 4173 NA NA NA NA
1681246800.0 159.0 90 174 409 73 0 NA 247 317 716 209 0 NA 2283 324 1380 283 479 NA 3043 878 2737 578 690 NA
1681246800.0 2.0 91 119 190 NA NA NA 297 263 417 NA NA NA 2525 420 1144 NA NA NA 1653 1032 1812 NA NA NA
1681246800.0 20834.0 NA 489 425 0 131 NA NA 729 723 0 309 NA NA 2121 2975 549 1245 NA NA 3227 4444 1000 1692 NA
1681246800.0 20834.9 NA 482 434 0 133 NA NA 732 733 0 303 NA NA 2118 2976 553 1156 NA NA 3199 4202 1086 1468 NA
