Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobTime1 TotalJobTime2 TotalJobTime3
1681074000.0 1.0 86 118 182 288 248 410 1260 354 929 1593 904 1616
1681074000.0 107.0 83 120 271 288 264 499 1673 357 1503 1322 569 2130
1681074000.0 113.0 92 115 265 287 265 503 1482 362 1483 1338 612 2231
1681074000.0 116.0 94 120 275 289 270 506 1798 372 1535 1753 1675 2548
1681074000.0 119.0 86 117 264 286 258 497 1259 347 1468 1033 578 2179
1681074000.0 120.0 67 115 260 233 261 493 568 339 1402 1056 764 2117
1681074000.0 122.0 63 0 0 222 0 0 587 139 1246 1810 425 2252
1681074000.0 133.0 90 125 281 291 268 497 2491 380 1679 1900 797 2319
1681074000.0 139.005 NA 94 70 NA 282 283 NA 19206 8536 NA 43012 4899
1681074000.0 144.6 NA 284 NA NA 521 NA NA 2617 NA NA 4486 NA
1681074000.0 21061.97 937 NA NA 1463 NA NA 7801 NA NA 7477 NA NA
1681074000.0 2500.312 NA 197 0 NA 489 0 NA 20590 166 NA 10696 302
1681074000.0 250200.1 91 328 242 279 569 514 1665 708 1755 1543 1399 1911
1681074000.0 3.0 80 127 194 282 256 426 3488 333 1409 2810 1247 1740
1681074000.0 4006.0 68 169 335 246 353 602 762 600 1846 1128 1087 2182
