Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4
1681333200.0 119.0 86 117 267 NA 281 263 507 NA 1194 345 1432 NA 1769 1080 2752 NA
1681333200.0 122.0 60 0 0 NA 222 0 0 NA 585 133 1211 NA 1958 713 1889 NA
1681333200.0 134.903 NA 59 309 0 NA 185 570 0 NA 191 4252 349 NA 1051 4581 844
1681333200.0 139.005 NA 94 89 NA NA 282 281 NA NA 19527 8361 NA NA 40078 4868 NA
1681333200.0 144.6 NA 278 NA NA NA 519 NA NA NA 2689 NA NA NA 3408 NA NA
1681333200.0 148.0 138 263 608 NA 334 469 941 NA 12251 1590 11324 NA 22876 4452 7971 NA
1681333200.0 21061.97 944 NA NA NA 1499 NA NA NA 8245 NA NA NA 6051 NA NA NA
1681333200.0 23861.97 948 NA NA NA 1506 NA NA NA 7747 NA NA NA 5560 NA NA NA
1681333200.0 25234.911 131 0 NA NA 294 0 NA NA 11055 0 NA NA 8985 0 NA NA
1681333200.0 4000.0 NA 141 300 NA NA 303 543 NA NA 1631 3839 NA NA 1688 3089 NA
1681333200.0 4002.0 NA 136 287 NA NA 303 542 NA NA 1320 2360 NA NA 1637 3258 NA
