Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6
1681074000.0 10004.0 NA 216 449 0 104 100 NA 387 821 0 234 249 NA 1436 1572 437 372 457 NA 1587 2787 657 1391 970
1681074000.0 10024.0 NA 223 464 0 118 90 NA 391 821 0 315 257 NA 1480 1812 476 387 478 NA 1289 4243 879 1115 814
1681074000.0 103.0 65 106 258 NA NA NA 238 252 500 NA NA NA 704 262 1391 NA NA NA 1422 954 1944 NA NA NA
1681074000.0 106.0 63 0 0 NA NA NA 220 0 0 NA NA NA 588 144 1269 NA NA NA 1333 496 2826 NA NA NA
1681074000.0 107.0 88 120 270 NA NA NA 294 262 512 NA NA NA 1797 370 1526 NA NA NA 1677 1348 2532 NA NA NA
1681074000.0 108.0 84 120 273 NA NA NA 290 267 501 NA NA NA 1938 375 1558 NA NA NA 1895 1139 2658 NA NA NA
1681074000.0 109.0 87 127 277 NA NA NA 298 270 496 NA NA NA 2211 385 1604 NA NA NA 2156 1243 2720 NA NA NA
1681074000.0 111.0 84 118 272 NA NA NA 284 267 517 NA NA NA 1178 306 1458 NA NA NA 1322 711 2696 NA NA NA
1681074000.0 112.0 86 118 265 NA NA NA 285 263 502 NA NA NA 1481 362 1485 NA NA NA 1050 860 2558 NA NA NA
1681074000.0 113.0 93 114 267 NA NA NA 290 264 493 NA NA NA 1543 368 1479 NA NA NA 1898 1082 2568 NA NA NA
1681074000.0 114.0 91 120 269 NA NA NA 284 265 497 NA NA NA 1719 382 1516 NA NA NA 1865 956 2276 NA NA NA
1681074000.0 115.0 90 120 272 NA NA NA 301 265 491 NA NA NA 1902 363 1531 NA NA NA 1500 680 2591 NA NA NA
