Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueRss9 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 PeakValueVsize9 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobCPU9 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8 TotalJobTime9
1681333200.0 1.0 86 113 180 NA NA NA NA NA NA 288 260 405 NA NA NA NA NA NA 1396 345 918 NA NA NA NA NA NA 2738 917 1916 NA NA NA NA NA NA
1681333200.0 10.0 NA 175 333 0 NA NA NA NA NA NA 318 546 0 NA NA NA NA NA NA 1367 2740 386 NA NA NA NA NA NA 1432 3312 572 NA NA NA NA NA
1681333200.0 1000.0 NA 298 186 0 59 NA NA NA NA NA 543 334 0 184 NA NA NA NA NA 2280 708 297 245 NA NA NA NA NA 2356 1316 538 383 NA NA NA NA
1681333200.0 10001.0 NA 243 481 0 101 116 NA NA NA NA 375 830 0 230 252 NA NA NA NA 1408 1462 403 318 411 NA NA NA NA 1545 2999 754 752 804 NA NA NA
1681333200.0 10002.0 NA 243 477 0 104 118 NA NA NA NA 386 800 0 228 248 NA NA NA NA 1394 1482 403 314 415 NA NA NA NA 1357 2385 717 656 782 NA NA NA
1681333200.0 10003.0 NA 215 452 0 87 92 NA NA NA NA 388 810 0 235 256 NA NA NA NA 1432 1603 430 351 434 NA NA NA NA 1775 3761 968 1225 595 NA NA NA
1681333200.0 10004.0 NA 207 448 0 87 93 NA NA NA NA 381 814 0 234 256 NA NA NA NA 1439 1513 422 344 427 NA NA NA NA 1749 2825 835 777 719 NA NA NA
1681333200.0 10005.0 NA 239 484 0 98 105 NA NA NA NA 387 838 0 234 256 NA NA NA NA 1381 1456 390 321 419 NA NA NA NA 890 2285 653 809 867 NA NA NA
1681333200.0 10006.0 NA 239 480 0 98 113 NA NA NA NA 383 813 0 226 253 NA NA NA NA 1394 1503 399 314 404 NA NA NA NA 1166 2726 660 583 769 NA NA NA
1681333200.0 10007.0 NA 214 450 0 116 93 NA NA NA NA 388 836 0 311 246 NA NA NA NA 1437 1552 426 360 432 NA NA NA NA 1277 3125 686 1240 789 NA NA NA
1681333200.0 10008.0 NA 217 450 0 114 94 NA NA NA NA 387 822 0 310 251 NA NA NA NA 1444 1573 428 365 434 NA NA NA NA 1474 3574 682 1095 967 NA NA NA
1681333200.0 10009.0 NA 227 492 0 130 116 NA NA NA NA 382 848 0 307 248 NA NA NA NA 1401 1538 394 334 411 NA NA NA NA 1096 2750 546 839 779 NA NA NA
1681333200.0 1001.0 NA 258 124 0 0 0 0 0 0 NA 480 279 0 0 0 0 0 0 NA 2164 439 89 75 106 263 130 262 NA 3383 2237 334 321 273 467 547 590
1681333200.0 1001.2 NA 528 168 0 0 0 0 NA NA NA 972 379 0 0 0 0 NA NA NA 9915 796 109 129 130 146 NA NA NA 5741 1077 288 470 250 252 NA NA
