Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueRss9 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 PeakValueVsize9 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobCPU9 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8 TotalJobTime9
1680386400.0 1.0 85 114 180 NA NA NA NA NA NA 288 259 424 NA NA NA NA NA NA 1407 377 926 NA NA NA NA NA NA 2977 990 1238 NA NA NA NA NA NA
1680386400.0 10.0 NA 171 324 0 NA NA NA NA NA NA 319 563 0 NA NA NA NA NA NA 1370 2699 413 NA NA NA NA NA NA 1239 2820 578 NA NA NA NA NA
1680386400.0 1000.0 NA 322 196 0 69 NA NA NA NA NA 544 340 0 196 NA NA NA NA NA 2423 722 318 275 NA NA NA NA NA 3062 982 489 457 NA NA NA NA
1680386400.0 10001.0 NA 214 451 0 89 91 NA NA NA NA 387 830 0 229 257 NA NA NA NA 1474 1503 465 369 489 NA NA NA NA 1762 2256 1154 543 1691 NA NA NA
1680386400.0 10002.0 NA 218 453 0 89 88 NA NA NA NA 393 843 0 229 252 NA NA NA NA 1453 1521 463 373 478 NA NA NA NA 1212 2755 1055 678 1104 NA NA NA
1680386400.0 10003.0 NA 218 455 0 87 96 NA NA NA NA 391 911 0 230 257 NA NA NA NA 1455 1543 458 377 490 NA NA NA NA 1095 2651 659 610 1312 NA NA NA
1680386400.0 10004.0 NA 211 451 0 87 93 NA NA NA NA 396 828 0 237 254 NA NA NA NA 1450 1476 456 381 471 NA NA NA NA 1059 2767 991 1011 1029 NA NA NA
1680386400.0 10005.0 NA 212 451 0 94 92 NA NA NA NA 396 837 0 232 254 NA NA NA NA 1449 1516 457 376 466 NA NA NA NA 1148 2904 666 804 581 NA NA NA
1680386400.0 10006.0 NA 243 485 0 98 113 NA NA NA NA 393 818 0 239 245 NA NA NA NA 1417 1422 420 344 422 NA NA NA NA 1225 2219 591 876 608 NA NA NA
1680386400.0 10007.0 NA 245 482 0 132 116 NA NA NA NA 401 841 0 310 255 NA NA NA NA 1425 1468 434 354 429 NA NA NA NA 1163 2488 658 648 602 NA NA NA
1680386400.0 10008.0 NA 219 456 0 117 90 NA NA NA NA 404 817 0 319 254 NA NA NA NA 1476 1546 464 381 458 NA NA NA NA 1627 3138 1073 563 669 NA NA NA
1680386400.0 10009.0 NA 238 498 0 131 125 NA NA NA NA 392 828 0 315 254 NA NA NA NA 1413 1468 436 348 446 NA NA NA NA 1257 2617 853 580 720 NA NA NA
1680386400.0 1001.0 NA 263 124 0 0 0 0 0 0 NA 503 293 0 0 0 0 0 0 NA 2268 465 103 88 119 272 148 281 NA 3847 1130 216 244 464 386 307 963
1680386400.0 1001.2 NA 526 167 0 0 0 0 NA NA NA 925 377 0 0 0 0 NA NA NA 9954 844 125 151 152 167 NA NA NA 5532 2961 361 1349 915 374 NA NA
1680386400.0 1001.3 NA 537 174 0 NA NA NA NA NA NA 1022 366 0 NA NA NA NA NA NA 7644 814 254 NA NA NA NA NA NA 4247 993 794 NA NA NA NA NA
1680386400.0 1002.0 NA 275 92 NA NA NA NA NA NA NA 511 180 NA NA NA NA NA NA NA 2462 225 NA NA NA NA NA NA NA 4379 374 NA NA NA NA NA NA
1680386400.0 1002.3 NA 515 174 0 NA NA NA NA NA NA 990 365 0 NA NA NA NA NA NA 6114 656 246 NA NA NA NA NA NA 3900 995 521 NA NA NA NA NA
