Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6
1680991200.0 10001.0 NA 212 452 0 89 95 NA 406 823 0 233 261 NA 1458 1650 457 374 470 NA 1404 4421 816 906 1021
1680991200.0 10024.0 NA 227 471 0 118 98 NA 410 860 0 313 261 NA 1492 1844 487 407 490 NA 1805 2255 1003 817 1065
1680991200.0 10224.0 NA 402 697 0 96 NA NA 633 1227 0 259 NA NA 2984 3345 518 494 NA NA 2279 3072 1048 1367 NA
1680991200.0 10224.15 NA 395 683 0 123 NA NA 637 1137 0 289 NA NA 3038 3349 515 592 NA NA 2432 3863 921 851 NA
1680991200.0 107.0 96 120 274 NA NA NA 304 272 514 NA NA NA 1742 372 1577 NA NA NA 1764 1532 2327 NA NA NA
1680991200.0 10809.0 NA 210 450 0 114 98 NA 386 862 0 318 258 NA 1455 1678 472 393 489 NA 2211 2583 965 812 1142
1680991200.0 10824.0 NA 220 461 0 116 97 NA 394 828 0 312 264 NA 1474 1842 484 394 499 NA 1046 3465 796 829 1020
1680991200.0 110.0 69 116 266 NA NA NA 229 258 508 NA NA NA 610 344 1495 NA NA NA 1166 1466 2232 NA NA NA
1680991200.0 111.0 93 120 271 NA NA NA 292 264 533 NA NA NA 1187 316 1479 NA NA NA 1101 671 2212 NA NA NA
1680991200.0 112.0 85 117 269 NA NA NA 286 270 516 NA NA NA 1474 370 1517 NA NA NA 1670 1199 2297 NA NA NA
1680991200.0 114.0 99 115 273 NA NA NA 303 268 524 NA NA NA 1715 375 1568 NA NA NA 1683 1271 2298 NA NA NA
1680991200.0 116.0 92 118 277 NA NA NA 294 266 503 NA NA NA 2034 378 1594 NA NA NA 1957 974 2189 NA NA NA
