Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobTime1 TotalJobTime2 TotalJobTime3
1681246800.0 108.0 86 121 277 289 273 526 2054 413 1707 1506 1485 3018
1681246800.0 111.0 84 118 272 286 266 513 1223 348 1662 1162 1477 3836
1681246800.0 113.0 94 120 274 302 268 506 1466 369 1522 1017 632 2377
1681246800.0 117.0 83 121 275 289 275 507 2201 414 1704 1578 1031 2258
1681246800.0 118.0 92 125 283 301 270 531 2369 386 1635 1243 1029 2456
1681246800.0 119.0 88 127 273 290 266 510 1294 363 1504 2046 1240 2212
1681246800.0 121.0 92 144 284 301 276 527 2869 424 1810 3039 642 2966
1681246800.0 127.0 69 114 263 226 258 511 851 371 1602 1259 879 3636
1681246800.0 131.0 70 111 263 238 265 501 929 375 1600 1148 980 2179
1681246800.0 144.6 NA 282 NA NA 511 NA NA 2726 NA NA 4686 NA
1681246800.0 21061.97 950 NA NA 1650 NA NA 8077 NA NA 5739 NA NA
1681246800.0 23861.97 902 NA NA 1508 NA NA 7803 NA NA 5600 NA NA
1681246800.0 4000.0 NA 137 310 NA 314 550 NA 1665 4040 NA 1374 4010
1681246800.0 4006.0 66 167 330 227 341 579 759 618 1941 890 832 2641
