Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueRss9 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 PeakValueVsize9 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobCPU9 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8 TotalJobTime9
1680728400.0 1.0 98 122 195 NA NA NA NA NA NA 315 283 425 NA NA NA NA NA NA 1315 427 1198 NA NA NA NA NA NA 1803 1737 1853 NA NA NA NA NA NA
1680728400.0 10.0 NA 146 307 0 NA NA NA NA NA NA 341 570 0 NA NA NA NA NA NA 1736 3791 879 NA NA NA NA NA NA 2354 4550 1301 NA NA NA NA NA
1680728400.0 1000.0 NA 287 160 0 87 NA NA NA NA NA 541 366 0 206 NA NA NA NA NA 3328 1247 487 402 NA NA NA NA NA 3654 1897 705 637 NA NA NA NA
1680728400.0 10001.0 NA 230 464 0 99 102 NA NA NA NA 414 925 0 258 273 NA NA NA NA 1642 2101 666 587 776 NA NA NA NA 1229 3313 946 1257 1265 NA NA NA
1680728400.0 10002.0 NA 231 465 0 99 102 NA NA NA NA 427 918 0 249 281 NA NA NA NA 1629 2188 673 587 791 NA NA NA NA 1557 4066 928 1257 1306 NA NA NA
1680728400.0 10003.0 NA 228 467 0 110 104 NA NA NA NA 433 849 0 248 271 NA NA NA NA 1640 2203 664 592 799 NA NA NA NA 1943 4173 835 1204 1142 NA NA NA
1680728400.0 10004.0 NA 227 464 0 100 100 NA NA NA NA 430 929 0 264 276 NA NA NA NA 1518 1970 634 555 720 NA NA NA NA 1616 3491 1206 1487 825 NA NA NA
1680728400.0 10005.0 NA 226 466 0 101 99 NA NA NA NA 436 861 0 256 278 NA NA NA NA 1520 1977 625 554 720 NA NA NA NA 1915 3187 954 1449 885 NA NA NA
1680728400.0 10006.0 NA 230 461 0 99 97 NA NA NA NA 425 822 0 257 265 NA NA NA NA 1521 1964 625 548 680 NA NA NA NA 1510 3592 954 985 783 NA NA NA
1680728400.0 10007.0 NA 223 465 0 130 105 NA NA NA NA 420 833 0 333 268 NA NA NA NA 1536 2023 649 571 724 NA NA NA NA 1711 2877 993 1360 1649 NA NA NA
