Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5
1681160400.0 1001.3 NA 519 170 0 NA NA 954 391 0 NA NA 8628 1326 350 NA NA 4629 2279 627 NA
1681160400.0 1002.3 NA 508 173 0 NA NA 931 386 0 NA NA 7101 1015 367 NA NA 4450 1619 2004 NA
1681160400.0 106.0 74 0 0 NA NA 240 0 0 NA NA 620 190 1639 NA NA 2300 588 2596 NA NA
1681160400.0 107.0 99 131 284 NA NA 306 291 520 NA NA 1698 433 1922 NA NA 2343 1270 3247 NA NA
1681160400.0 108.0 95 129 290 NA NA 308 288 532 NA NA 2114 440 1940 NA NA 2472 1126 2684 NA NA
1681160400.0 109.0 101 133 289 NA NA 319 293 534 NA NA 2218 444 1993 NA NA 2397 888 3454 NA NA
1681160400.0 112.0 93 127 276 NA NA 310 282 520 NA NA 1441 427 1872 NA NA 1507 2296 2484 NA NA
1681160400.0 113.0 109 130 282 NA NA 319 287 532 NA NA 1523 434 1868 NA NA 1967 1295 2566 NA NA
1681160400.0 114.0 104 131 281 NA NA 321 288 532 NA NA 1654 436 1916 NA NA 1595 1379 2487 NA NA
1681160400.0 115.0 106 132 289 NA NA 323 288 509 NA NA 1855 444 1918 NA NA 2212 1300 2680 NA NA
1681160400.0 116.0 101 125 287 NA NA 320 286 528 NA NA 1844 440 1935 NA NA 2096 1400 3611 NA NA
1681160400.0 118.0 102 132 289 NA NA 311 289 541 NA NA 2393 459 2014 NA NA 2851 1280 3032 NA NA
1681160400.0 120.0 79 123 270 NA NA 252 284 536 NA NA 606 407 1835 NA NA 2221 2297 3139 NA NA
1681160400.0 121.0 106 135 290 NA NA 320 289 534 NA NA 2555 468 2039 NA NA 2275 987 2966 NA NA
1681160400.0 122.0 75 0 0 NA NA 243 0 0 NA NA 622 189 1638 NA NA 1902 738 2420 NA NA
1681160400.0 125.0 97 127 283 NA NA 309 284 516 NA NA 1703 431 1919 NA NA 2299 1146 3515 NA NA
1681160400.0 128.0 78 125 272 NA NA 245 278 535 NA NA 580 399 1805 NA NA 1596 776 2646 NA NA
1681160400.0 1311.0 NA 164 416 0 79 NA 347 779 0 227 NA 465 1622 670 483 NA 1735 3390 1015 2238
1681160400.0 1321.0 NA 161 327 0 97 NA 349 575 0 266 NA 448 1950 560 641 NA 836 4785 734 1763
1681160400.0 1325.9 NA 203 340 0 81 NA 390 607 0 230 NA 595 2078 701 504 NA 1426 3928 1276 1271
1681160400.0 133.0 110 133 292 NA NA 318 296 529 NA NA 2582 452 2066 NA NA 2406 1200 3146 NA NA
1681160400.0 1330.0 NA 164 364 0 97 NA 349 633 0 267 NA 491 2048 663 639 NA 1739 4342 781 1152
1681160400.0 134.0 NA 301 48 0 NA NA 546 184 0 NA NA 3356 172 109 NA NA 4614 516 496 NA
1681160400.0 139.005 NA 104 80 NA NA NA 302 304 NA NA NA 23662 10908 NA NA NA 41107 6198 NA NA
1681160400.0 140.01 NA 288 612 0 NA NA 553 1137 0 NA NA 1987 4860 648 NA NA 2144 4744 1188 NA
1681160400.0 144.6 NA 291 NA NA NA NA 519 NA NA NA NA 4217 NA NA NA NA 6641 NA NA NA
1681160400.0 20034.0 126 447 426 0 141 295 694 752 0 327 5994 2169 3656 895 1496 4041 3991 6555 1723 2415
1681160400.0 21061.97 907 NA NA NA NA 1515 NA NA NA NA 10738 NA NA NA NA 7301 NA NA NA NA
1681160400.0 23861.97 896 NA NA NA NA 1454 NA NA NA NA 10364 NA NA NA NA 7152 NA NA NA NA
1681160400.0 24434.0 123 446 429 0 143 299 709 753 0 321 5905 2133 3603 880 1495 4226 2580 5261 1529 2573
1681160400.0 2500.31 NA 159 0 NA NA NA 377 0 NA NA NA 21716 190 NA NA NA 11780 376 NA NA
1681160400.0 2500.312 NA 204 0 NA NA NA 509 0 NA NA NA 22179 190 NA NA NA 12187 525 NA NA
1681160400.0 2500.33 NA 173 0 NA NA NA 388 0 NA NA NA 11515 189 NA NA NA 8171 592 NA NA
1681160400.0 2500.331 NA 189 0 NA NA NA 420 0 NA NA NA 20639 187 NA NA NA 11493 351 NA NA
1681160400.0 2500.332 NA 182 0 NA NA NA 402 0 NA NA NA 14428 188 NA NA NA 7781 509 NA NA
1681160400.0 2500.401 NA 123 0 NA NA NA 328 0 NA NA NA 12391 190 NA NA NA 7709 535 NA NA
1681160400.0 2500.511 NA 139 0 NA NA NA 360 0 NA NA NA 5137 180 NA NA NA 6343 467 NA NA
1681160400.0 250200.1 113 322 253 NA NA 301 566 516 NA NA 1763 1010 1988 NA NA 1793 1747 3445 NA NA
1681160400.0 25234.0 135 444 432 0 145 308 722 747 0 330 6250 2172 3682 914 1530 3717 3919 6463 1913 3052
1681160400.0 25405.18 1059 0 139 NA NA 1615 0 315 NA NA 5578 538 908 NA NA 5207 984 1506 NA NA
1681160400.0 25406.18 1054 0 143 NA NA 1641 0 314 NA NA 3522 522 890 NA NA 3568 688 1829 NA NA
1681160400.0 25409.18 1069 0 145 NA NA 1654 0 323 NA NA 6233 592 936 NA NA 3829 1044 1581 NA NA
1681160400.0 4.17 NA 51 296 0 164 NA 197 545 0 380 NA 240 3210 458 1407 NA 572 3373 674 3151
1681160400.0 4.28 NA 97 297 0 NA NA 231 533 0 NA NA 413 3511 2038 NA NA 1011 5502 2945 NA
1681160400.0 4.29 NA 71 301 0 173 NA 201 546 0 364 NA 228 3419 473 1394 NA 301 3995 955 1468
1681160400.0 4000.0 NA 151 314 NA NA NA 346 596 NA NA NA 1712 4323 NA NA NA 1610 3486 NA NA
1681160400.0 4001.0 NA 183 363 NA NA NA 383 629 NA NA NA 822 2658 NA NA NA 3593 3941 NA NA
1681160400.0 4002.0 NA 156 301 NA NA NA 328 563 NA NA NA 1479 2982 NA NA NA 2424 4411 NA NA
1681160400.0 4006.0 78 173 344 NA NA 243 371 628 NA NA 793 808 2433 NA NA 2077 1672 2884 NA NA
1681160400.0 4007.0 69 0 0 NA NA 239 0 0 NA NA 626 191 1621 NA NA 1940 539 2767 NA NA
1681160400.0 4008.0 72 0 0 NA NA 243 0 0 NA NA 618 196 1628 NA NA 1780 734 2903 NA NA
1681160400.0 500200.1 108 208 239 NA NA 308 436 485 NA NA 1719 693 2092 NA NA 2269 1670 2466 NA NA
