Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7
1681246800.0 1.0 129 152 251 NA NA NA NA 301 274 448 NA NA NA NA 1312 390 1176 NA NA NA NA 1666 933 1902 NA NA NA NA
1681246800.0 10.0 NA 147 304 0 NA NA NA NA 324 567 0 NA NA NA NA 1567 3503 845 NA NA NA NA 1783 2866 1290 NA NA NA
1681246800.0 10007.0 NA 231 464 0 127 104 NA NA 431 841 0 329 275 NA NA 1592 2097 669 595 764 NA NA 1368 2758 1024 1206 1472 NA
1681246800.0 1001.3 NA 521 167 0 NA NA NA NA 926 392 0 NA NA NA NA 8658 1314 368 NA NA NA NA 5330 1330 787 NA NA NA
1681246800.0 1002.3 NA 510 171 0 NA NA NA NA 920 389 0 NA NA NA NA 7066 1003 369 NA NA NA NA 4437 1292 741 NA NA NA
1681246800.0 10024.0 NA 243 482 0 129 103 NA NA 428 857 0 332 269 NA NA 1623 2354 821 594 802 NA NA 1193 3626 1293 1200 1280 NA
1681246800.0 10024.2 NA 236 478 0 NA NA NA NA 430 864 0 NA NA NA NA 1585 2260 767 NA NA NA NA 1901 3720 962 NA NA NA
1681246800.0 10024.3 NA 257 264 0 NA NA NA NA 431 533 0 NA NA NA NA 1554 852 707 NA NA NA NA 1523 1483 769 NA NA NA
1681246800.0 10026.0 NA 235 489 0 102 109 NA NA 435 846 0 260 275 NA NA 1651 2488 818 601 797 NA NA 1630 4221 1374 1173 1213 NA
1681246800.0 1004.0 NA 212 102 0 0 0 0 NA 439 254 0 0 0 0 NA 1290 406 121 163 732 727 NA 2075 2184 666 239 1336 881
1681246800.0 10042.0 NA 228 470 0 130 104 NA NA 427 868 0 337 268 NA NA 1566 2150 751 603 752 NA NA 1573 3734 1096 1835 1167 NA
1681246800.0 10059.0 NA 245 488 0 102 107 NA NA 443 849 0 262 272 NA NA 1659 2841 799 580 766 NA NA 1859 5083 1177 944 850 NA
1681246800.0 10224.0 NA 444 744 0 142 NA NA NA 652 1107 0 271 NA NA NA 3544 4276 855 744 NA NA NA 2767 5382 1289 948 NA NA
1681246800.0 10224.15 NA 421 745 0 162 NA NA NA 659 1125 0 316 NA NA NA 3560 4203 855 856 NA NA NA 2638 5063 1509 1052 NA NA
1681246800.0 10225.0 NA 412 678 0 131 NA NA NA 639 1091 0 277 NA NA NA 3459 3871 785 695 NA NA NA 2664 5453 1107 775 NA NA
1681246800.0 103.0 97 0 0 NA NA NA NA 241 0 0 NA NA NA NA 591 181 1552 NA NA NA NA 1199 579 2137 NA NA NA NA
1681246800.0 10424.0 NA 195 449 0 NA NA NA NA 375 756 0 NA NA NA NA 530 2227 798 NA NA NA NA 1510 3492 1237 NA NA NA
1681246800.0 106.0 97 0 0 NA NA NA NA 239 0 0 NA NA NA NA 593 174 1572 NA NA NA NA 1236 451 2715 NA NA NA NA
1681246800.0 107.0 101 144 284 NA NA NA NA 310 286 524 NA NA NA NA 1722 436 1954 NA NA NA NA 1737 800 2304 NA NA NA NA
1681246800.0 108.0 95 131 290 NA NA NA NA 308 288 525 NA NA NA NA 1936 461 2024 NA NA NA NA 1945 1417 2818 NA NA NA NA
1681246800.0 10803.0 NA 225 459 0 99 103 NA NA 418 854 0 258 278 NA NA 1555 2127 658 593 801 NA NA 1735 3091 824 1163 1183 NA
1681246800.0 10804.31 NA 235 500 0 112 137 NA NA 386 866 0 261 277 NA NA 1472 2003 609 534 725 NA NA 2021 6007 1186 1311 1106 NA
1681246800.0 10805.0 NA 223 453 0 100 103 NA NA 406 846 0 265 275 NA NA 1539 2130 656 587 784 NA NA 1312 4227 937 1259 1354 NA
1681246800.0 10805.31 NA 253 502 0 115 142 NA NA 397 864 0 258 274 NA NA 1455 2034 615 527 716 NA NA 1713 5441 1313 1023 1089 NA
1681246800.0 10806.0 NA 222 453 0 98 103 NA NA 394 872 0 261 274 NA NA 1536 2091 651 588 737 NA NA 1494 3872 816 1254 1127 NA
1681246800.0 10807.0 NA 224 463 0 126 109 NA NA 411 843 0 334 277 NA NA 1585 2119 675 597 766 NA NA 2029 3532 1060 1232 1466 NA
1681246800.0 10808.0 NA 224 463 0 125 106 NA NA 404 870 0 331 274 NA NA 1567 2162 687 604 771 NA NA 1375 4529 1103 1207 1390 NA
1681246800.0 10824.0 NA 234 476 0 129 108 NA NA 410 861 0 334 276 NA NA 1568 2297 815 610 805 NA NA 1026 3704 1500 1306 1064 NA
1681246800.0 10824.6 NA 221 475 0 130 108 NA NA 417 855 0 335 274 NA NA 1602 2289 797 577 816 NA NA 1986 3599 1080 729 1243 NA
1681246800.0 10871.0 NA 233 471 0 102 109 NA NA 410 860 0 265 277 NA NA 1603 2325 811 588 771 NA NA 1685 3390 1253 1307 840 NA
1681246800.0 109.0 100 130 286 NA NA NA NA 320 289 525 NA NA NA NA 2279 473 2078 NA NA NA NA 2285 2264 3103 NA NA NA NA
1681246800.0 11.0 NA 131 308 0 113 NA NA NA 316 557 0 222 NA NA NA 1305 2146 824 466 NA NA NA 1276 4202 2021 758 NA NA
1681246800.0 110.0 101 154 325 NA NA NA NA 264 286 514 NA NA NA NA 645 378 1765 NA NA NA NA 1424 619 3077 NA NA NA NA
1681246800.0 11024.0 NA 501 800 0 143 NA NA NA 801 1228 0 282 NA NA NA 4882 5205 871 754 NA NA NA 3428 5580 1289 1186 NA NA
1681246800.0 11024.15 NA 498 771 0 164 NA NA NA 744 1163 0 326 NA NA NA 4647 5131 869 847 NA NA NA 3558 5761 1373 1059 NA NA
1681246800.0 11024.2 NA 500 807 0 129 NA NA NA 814 1225 0 277 NA NA NA 4727 5291 859 650 NA NA NA 3596 5571 1121 968 NA NA
1681246800.0 11024.6 NA 498 788 0 142 NA NA NA 762 1186 0 280 NA NA NA 4748 5154 849 756 NA NA NA 3657 5431 1049 1412 NA NA
1681246800.0 11025.0 NA 492 816 0 135 NA NA NA 770 1199 0 279 NA NA NA 4654 4882 835 708 NA NA NA 3292 5650 1507 789 NA NA
1681246800.0 111.0 95 122 282 NA NA NA NA 305 284 534 NA NA NA NA 1204 390 1944 NA NA NA NA 2118 1110 3425 NA NA NA NA
1681246800.0 112.0 92 128 280 NA NA NA NA 306 283 532 NA NA NA NA 1433 441 1966 NA NA NA NA 1101 2901 2988 NA NA NA NA
1681246800.0 11224.0 NA 194 455 0 NA NA NA NA 369 747 0 NA NA NA NA 553 2230 801 NA NA NA NA 1526 3051 1090 NA NA NA
1681246800.0 11224.6 NA 195 447 0 NA NA NA NA 371 772 0 NA NA NA NA 525 2203 785 NA NA NA NA 1076 3089 935 NA NA NA
1681246800.0 113.0 105 146 283 NA NA NA NA 319 293 524 NA NA NA NA 1536 429 1939 NA NA NA NA 1717 614 3032 NA NA NA NA
1681246800.0 114.0 131 159 318 NA NA NA NA 321 289 529 NA NA NA NA 1524 431 1874 NA NA NA NA 1550 1398 3351 NA NA NA NA
1681246800.0 115.0 101 131 289 NA NA NA NA 321 289 518 NA NA NA NA 1922 472 2011 NA NA NA NA 1461 1451 2805 NA NA NA NA
1681246800.0 116.0 99 131 288 NA NA NA NA 318 287 544 NA NA NA NA 1851 459 1983 NA NA NA NA 1837 1548 2987 NA NA NA NA
1681246800.0 11601.0 NA 292 600 0 116 NA NA NA 547 972 0 275 NA NA NA 1189 3202 896 630 NA NA NA 1724 5023 1006 1162 NA NA
1681246800.0 11604.0 NA 294 597 0 116 NA NA NA 535 1021 0 271 NA NA NA 1162 3141 876 617 NA NA NA 1907 4421 1209 904 NA NA
1681246800.0 11606.0 NA 296 594 0 113 NA NA NA 533 987 0 271 NA NA NA 1159 3120 901 612 NA NA NA 1488 4193 1246 886 NA NA
1681246800.0 11607.0 NA 297 602 0 145 NA NA NA 559 997 0 313 NA NA NA 1202 3172 929 633 NA NA NA 1557 4149 1627 867 NA NA
1681246800.0 11608.0 NA 298 606 0 139 NA NA NA 553 1011 0 304 NA NA NA 1197 3195 926 624 NA NA NA 1549 3969 1146 833 NA NA
1681246800.0 11609.0 NA 299 609 0 137 NA NA NA 570 1005 0 305 NA NA NA 1196 3250 922 624 NA NA NA 1412 4094 1131 949 NA NA
1681246800.0 11634.0 NA 324 623 0 144 NA NA NA 600 1052 0 306 NA NA NA 1360 3574 1104 635 NA NA NA 1788 5058 1326 887 NA NA
1681246800.0 11634.24 NA 235 539 0 112 NA NA NA 474 983 0 258 NA NA NA 975 3030 881 587 NA NA NA 1832 4543 1160 781 NA NA
1681246800.0 11634.601 NA 206 222 628 0 NA NA NA 382 456 1038 0 NA NA NA 570 1038 3655 1090 NA NA NA 757 1554 4405 1287 NA NA
1681246800.0 11634.7 NA 331 624 0 NA NA NA NA 564 1038 0 NA NA NA NA 1319 3475 1073 NA NA NA NA 1662 4566 1293 NA NA NA
1681246800.0 11634.914 121 369 661 0 146 NA NA 259 584 1013 0 317 NA NA 2252 1239 3287 1043 595 NA NA 1662 2095 5933 1811 1028 NA NA
1681246800.0 11640.0 NA 294 602 0 115 NA NA NA 550 1012 0 271 NA NA NA 1171 3130 950 615 NA NA NA 1850 4624 1677 831 NA NA
1681246800.0 11650.914 108 369 663 0 146 NA NA 255 535 992 0 306 NA NA 1152 1143 3082 976 586 NA NA 2003 2331 4918 1620 904 NA NA
1681246800.0 117.0 93 133 288 NA NA NA NA 308 288 525 NA NA NA NA 2011 465 2039 NA NA NA NA 1590 1095 2554 NA NA NA NA
