Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6
1681333200.0 10001.0 NA 230 467 0 106 105 NA 424 818 0 254 276 NA 1531 2010 672 578 755 NA 1496 3408 1362 1195 998
1681333200.0 10004.0 NA 224 465 0 99 99 NA 412 835 0 261 285 NA 1555 2082 644 584 758 NA 2059 3723 1002 1094 1135
1681333200.0 10005.0 NA 230 466 0 101 102 NA 416 863 0 261 283 NA 1530 1994 652 595 752 NA 1390 2380 1161 1844 1368
1681333200.0 10007.0 NA 224 466 0 137 102 NA 414 858 0 328 277 NA 1539 2095 691 589 702 NA 1372 5255 924 1195 1365
1681333200.0 10008.0 NA 228 468 0 127 104 NA 420 863 0 334 282 NA 1527 2102 707 602 749 NA 1087 5016 1171 1364 1507
1681333200.0 1001.3 NA 524 172 0 NA NA NA 952 385 0 NA NA NA 8637 1305 365 NA NA NA 4265 3248 685 NA NA
1681333200.0 10023.0 NA 231 465 0 112 106 NA 418 847 0 261 280 NA 1542 2002 695 571 729 NA 1751 2742 1009 1136 1510
1681333200.0 10024.2 NA 244 476 0 NA NA NA 435 881 0 NA NA NA 1582 2263 823 NA NA NA 1651 2875 1138 NA NA
1681333200.0 10026.0 NA 236 483 0 109 106 NA 432 883 0 264 281 NA 1596 2400 863 588 797 NA 2008 3158 1582 1407 1214
1681333200.0 10042.0 NA 229 475 0 129 103 NA 429 853 0 330 282 NA 1570 2105 846 596 763 NA 1345 2989 1230 1466 1526
1681333200.0 10059.0 NA 241 488 0 102 104 NA 429 874 0 263 281 NA 1616 2716 854 592 792 NA 1129 2633 1399 1450 1101
1681333200.0 10071.0 NA 238 479 0 102 110 NA 424 854 0 266 282 NA 1574 2177 851 586 813 NA 1467 2475 1635 1331 1673
1681333200.0 10224.0 NA 408 679 0 108 NA NA 658 1138 0 286 NA NA 3843 4472 970 808 NA NA 2460 5322 1430 1376 NA
1681333200.0 10802.0 NA 222 460 0 101 107 NA 409 876 0 261 286 NA 1496 2020 682 578 762 NA 1058 2574 1264 1528 1370
1681333200.0 10804.0 NA 219 457 0 106 109 NA 402 846 0 260 290 NA 1501 1999 674 587 782 NA 1372 3316 1382 1132 1124
1681333200.0 10805.0 NA 224 456 0 100 103 NA 407 858 0 261 281 NA 1502 2042 659 598 768 NA 1253 3692 915 1958 927
1681333200.0 10806.0 NA 221 456 0 99 99 NA 409 852 0 262 288 NA 1512 2026 656 571 734 NA 1573 3851 931 889 1145
1681333200.0 10807.0 NA 224 461 0 127 106 NA 412 839 0 330 274 NA 1511 2066 699 596 749 NA 1179 3535 964 1443 1009
1681333200.0 10808.0 NA 221 464 0 127 108 NA 420 848 0 332 292 NA 1531 2060 719 591 785 NA 1774 2663 1147 1313 1633
1681333200.0 10809.0 NA 224 465 0 127 107 NA 419 853 0 325 283 NA 1527 2135 707 588 792 NA 1498 3745 973 954 1128
1681333200.0 10823.0 NA 224 459 0 101 104 NA 416 867 0 260 285 NA 1507 2050 713 576 768 NA 1255 5353 1129 1555 1999
1681333200.0 10824.0 NA 234 477 0 129 107 NA 425 861 0 333 277 NA 1553 2196 830 610 805 NA 1258 2966 1063 1602 1007
1681333200.0 10824.6 NA 230 471 0 129 110 NA 421 888 0 325 287 NA 1577 2217 847 594 817 NA 1400 3066 1298 944 1588
1681333200.0 10824.8 NA 233 471 0 129 107 NA 419 857 0 332 285 NA 1582 2301 843 592 808 NA 1960 3640 1430 964 1172
1681333200.0 10825.0 NA 228 465 0 100 107 NA 410 862 0 258 281 NA 1516 2103 789 582 794 NA 1363 2808 1522 1335 1631
1681333200.0 10826.0 NA 228 478 0 103 115 NA 432 869 0 268 285 NA 1569 2316 846 589 811 NA 1455 3536 1339 1286 1558
1681333200.0 10842.0 NA 227 465 0 128 106 NA 416 891 0 333 285 NA 1535 2109 813 597 804 NA 1407 3037 1379 1211 1635
1681333200.0 10859.0 NA 240 483 0 102 112 NA 425 896 0 265 280 NA 1597 2868 859 587 800 NA 1530 3714 1100 1496 1120
1681333200.0 10871.0 NA 233 468 0 102 111 NA 416 866 0 261 292 NA 1568 2243 843 585 778 NA 1210 3078 1247 1495 1078
1681333200.0 112.0 93 131 275 NA NA NA 313 291 524 NA NA NA 1452 429 1904 NA NA NA 1750 1536 2909 NA NA NA
1681333200.0 11224.6 NA 196 441 0 NA NA NA 384 759 0 NA NA NA 527 2213 863 NA NA NA 666 3121 1494 NA NA
1681333200.0 115.0 102 151 289 NA NA NA 319 289 542 NA NA NA 1939 448 1994 NA NA NA 1454 809 3117 NA NA NA
1681333200.0 11604.0 NA 292 598 0 125 NA NA 551 999 0 276 NA NA 1145 3086 876 631 NA NA 1387 5142 1059 1224 NA
1681333200.0 11606.0 NA 285 600 0 126 NA NA 560 995 0 268 NA NA 1159 3087 910 609 NA NA 1751 4046 1264 737 NA
1681333200.0 11607.0 NA 301 602 0 139 NA NA 544 1018 0 320 NA NA 1210 3138 953 617 NA NA 1792 5695 1239 845 NA
1681333200.0 11630.0 NA 340 639 0 116 NA NA 582 1046 0 279 NA NA 1439 3959 1163 616 NA NA 2082 4820 1917 915 NA
1681333200.0 11634.24 NA 233 539 0 113 NA NA 484 968 0 255 NA NA 956 2957 904 595 NA NA 1497 5204 1268 785 NA
1681333200.0 11634.601 NA 210 238 628 0 NA NA 404 449 1052 0 NA NA 559 990 3531 1151 NA NA 748 1476 5545 1470 NA
1681333200.0 11634.7 NA 331 622 0 NA NA NA 577 1057 0 NA NA NA 1316 3511 1170 NA NA NA 1628 5602 1378 NA NA
1681333200.0 11634.91 NA 324 656 0 134 NA NA 585 1064 0 321 NA NA 1297 3512 1176 643 NA NA 1551 5861 1466 1232 NA
1681333200.0 11643.0 NA 322 626 0 131 NA NA 583 1012 0 279 NA NA 1283 3460 1160 632 NA NA 1788 5670 1552 1254 NA
1681333200.0 11650.0 NA 310 616 0 136 NA NA 560 1028 0 323 NA NA 1257 3305 1117 617 NA NA 1674 4296 1415 674 NA
1681333200.0 117.0 92 133 290 NA NA NA 304 296 526 NA NA NA 2063 451 2028 NA NA NA 2259 1263 3014 NA NA NA
1681333200.0 11723.17 NA 337 630 0 NA NA NA 599 1063 0 NA NA NA 1401 3755 1225 NA NA NA 1483 4588 1592 NA NA
1681333200.0 118.0 102 136 291 NA NA NA 317 294 530 NA NA NA 2417 480 2076 NA NA NA 1543 1472 3054 NA NA NA
1681333200.0 11834.24 NA 256 577 0 NA NA NA 506 1003 0 NA NA NA 1022 3082 957 NA NA NA 2121 4500 1429 NA NA
1681333200.0 12.0 NA 146 308 0 NA NA NA 328 579 0 NA NA NA 1521 3494 1074 NA NA NA 2669 4151 1615 NA NA
1681333200.0 12034.0 NA 325 628 0 NA NA NA 581 1015 0 NA NA NA 1269 3411 1151 NA NA NA 1578 4767 1451 NA NA
1681333200.0 1303.0 104 168 224 NA NA NA 299 336 484 NA NA NA 4077 429 1669 NA NA NA 2616 734 2022 NA NA NA
1681333200.0 1309.0 NA 172 340 0 NA NA NA 360 602 0 NA NA NA 503 2082 732 NA NA NA 1669 2827 899 NA NA
1681333200.0 132.0 101 134 291 NA NA NA 314 293 551 NA NA NA 1961 464 2003 NA NA NA 1670 1597 3051 NA NA NA
1681333200.0 1325.0 NA 171 342 0 81 99 NA 354 606 0 236 275 NA 510 2080 744 510 671 NA 1379 2445 1024 849 981
1681333200.0 1325.2 NA 172 342 0 NA NA NA 346 606 0 NA NA NA 494 2112 705 NA NA NA 637 4064 997 NA NA
1681333200.0 1326.0 NA 170 328 0 NA NA NA 355 586 0 NA NA NA 495 2009 663 NA NA NA 1842 3453 822 NA NA
1681333200.0 133.0 102 144 292 NA NA NA 320 292 554 NA NA NA 2550 474 2140 NA NA NA 2117 1574 3085 NA NA NA
1681333200.0 1336.0 NA 169 347 0 NA NA NA 348 621 0 NA NA NA 530 2709 756 NA NA NA 1686 3799 938 NA NA
1681333200.0 134.803 NA 56 338 0 NA NA NA 211 626 0 NA NA NA 258 5770 517 NA NA NA 527 4670 753 NA NA
1681333200.0 135.7 515 0 139 96 NA NA 866 0 311 269 NA NA 1247 472 882 637 NA NA 3107 801 1297 973 NA NA
1681333200.0 1353.0 NA 169 335 0 NA NA NA 355 592 0 NA NA NA 492 2088 713 NA NA NA 692 3883 869 NA NA
1681333200.0 1356.0 109 165 335 0 143 NA 299 336 634 0 340 NA 1708 472 2095 688 956 NA 1312 785 5337 1045 1274 NA
