Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6
1681074000.0 10001.0 NA 210 451 0 89 90 NA 389 834 0 235 253 NA 1453 1617 455 384 478 NA 1527 3327 813 1944 1424
1681074000.0 10002.0 NA 215 454 0 90 92 NA 388 816 0 239 254 NA 1449 1617 452 374 473 NA 1326 2983 719 1198 1084
1681074000.0 10003.0 NA 218 458 0 90 89 NA 389 837 0 237 256 NA 1450 1650 453 369 469 NA 1649 3142 723 696 694
1681074000.0 10004.0 NA 212 447 0 88 92 NA 384 850 0 232 258 NA 1433 1592 441 372 471 NA 982 2593 735 1097 1305
1681074000.0 10005.0 NA 213 454 0 89 89 NA 400 831 0 227 260 NA 1438 1607 447 379 471 NA 1015 3425 700 1203 684
1681074000.0 10006.0 NA 213 448 0 93 88 NA 393 828 0 236 252 NA 1435 1599 449 365 458 NA 1026 3093 610 600 686
1681074000.0 10007.0 NA 220 456 0 117 91 NA 384 838 0 313 259 NA 1453 1637 458 389 467 NA 1196 3226 1268 1387 1384
1681074000.0 10009.0 NA 221 454 0 117 100 NA 393 849 0 306 259 NA 1456 1681 460 375 478 NA 1035 3175 1012 607 1090
1681074000.0 10023.0 NA 220 451 0 89 87 NA 384 824 0 236 255 NA 1447 1581 458 356 474 NA 1151 2706 650 614 928
1681074000.0 10024.2 NA 227 471 0 NA NA NA 405 827 0 NA NA NA 1481 1831 467 NA NA NA 1442 3020 667 NA NA
1681074000.0 10024.4 NA 231 467 0 NA NA NA 413 854 0 NA NA NA 1483 1785 470 NA NA NA 2159 2039 691 NA NA
1681074000.0 10025.0 NA 211 461 0 90 92 NA 385 878 0 235 255 NA 1494 1694 488 373 481 NA 1257 3771 1800 1051 895
1681074000.0 10026.0 NA 233 475 0 92 94 NA 411 865 0 235 256 NA 1493 1944 485 375 479 NA 1140 2674 787 819 772
