Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5
1681160400.0 102.0 219 NA NA NA NA 601 NA NA NA NA 1566 NA NA NA NA 5263 NA NA NA NA
1681160400.0 1041.0 NA 157 89 0 NA NA 458 384 0 NA NA 324 216 131 NA NA 1202 2091 1734 NA
1681160400.0 10804.31 NA 278 595 NA NA NA 648 1355 NA NA NA 3366 2305 NA NA NA 4314 11563 NA NA
1681160400.0 11634.914 148 424 775 0 194 479 937 1586 0 540 4772 1986 5195 863 582 5818 9034 17028 3706 5597
1681160400.0 11650.914 141 409 764 0 191 473 925 1552 0 536 2617 1835 4394 873 583 8386 9563 13336 1940 5111
1681160400.0 123.1 463 NA NA NA NA 1052 NA NA NA NA 1842 NA NA NA NA 7979 NA NA NA NA
1681160400.0 123.2 448 NA NA NA NA 1057 NA NA NA NA 3330 NA NA NA NA 9773 NA NA NA NA
1681160400.0 123.3 430 NA NA NA NA 943 NA NA NA NA 1462 NA NA NA NA 8711 NA NA NA NA
1681160400.0 124.1 471 NA NA NA NA 1017 NA NA NA NA 1512 NA NA NA NA 9155 NA NA NA NA
1681160400.0 124.2 452 NA NA NA NA 1044 NA NA NA NA 1684 NA NA NA NA 8737 NA NA NA NA
1681160400.0 124.4 464 NA NA NA NA 1017 NA NA NA NA 1496 NA NA NA NA 8848 NA NA NA NA
1681160400.0 124.5 462 NA NA NA NA 1004 NA NA NA NA 1559 NA NA NA NA 10177 NA NA NA NA
1681160400.0 124.6 422 NA NA NA NA 959 NA NA NA NA 1533 NA NA NA NA 11129 NA NA NA NA
1681160400.0 1325.51 NA 267 0 NA NA NA 691 0 NA NA NA 2281 236 NA NA NA 5630 2681 NA NA
1681160400.0 1325.516 NA 271 0 NA NA NA 714 0 NA NA NA 2668 244 NA NA NA 10684 2602 NA NA
1681160400.0 1325.5161 NA 267 0 NA NA NA 718 0 NA NA NA 2756 220 NA NA NA 11866 2413 NA NA
1681160400.0 135.13 623 0 NA NA NA 1283 0 NA NA NA 2139 391 NA NA NA 11368 2009 NA NA NA
1681160400.0 136.72411 NA 267 0 NA NA NA 717 0 NA NA NA 2458 228 NA NA NA 7660 2336 NA NA
1681160400.0 136.72412 NA 288 0 NA NA NA 743 0 NA NA NA 2659 213 NA NA NA 8966 1002 NA NA
