Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobTime1 TotalJobTime2 TotalJobTime3
1689022800.0 101.0 300 NA NA 2097430 NA NA 2118 NA NA 3619 NA NA
1689022800.0 102.0 322 NA NA 2097420 NA NA 1862 NA NA 4027 NA NA
1689022800.0 120.0 234 337 563 2097360 2097370 2097520 1490 973 3062 3731 2884 7834
1689022800.0 123.1 606 NA NA 2097560 NA NA 3114 NA NA 6202 NA NA
1689022800.0 124.1 598 NA NA 2097530 NA NA 2591 NA NA 5916 NA NA
1689022800.0 124.5 603 NA NA 2097530 NA NA 2511 NA NA 2964 NA NA
1689022800.0 124.6 558 NA NA 2097520 NA NA 2456 NA NA 2611 NA NA
1689022800.0 1325.51 NA 391 0 NA 2097440 0 NA 3936 260 NA 7714 1037
1689022800.0 136.72412 NA 436 0 NA 2097450 0 NA 4726 257 NA 7902 1504
1689022800.0 138.3 NA 120 0 NA 2097280 0 NA 91 0 NA 313 0
1689022800.0 144.6 NA 618 NA NA 2097530 NA NA 8319 NA NA 11992 NA
1689022800.0 2500.3 NA 305 0 NA 2097420 0 NA 33678 212 NA 27142 903
1689022800.0 2500.4 NA 304 0 NA 2097430 0 NA 34051 212 NA 25887 742
1689022800.0 250199.0 580 NA NA 2097490 NA NA 6063 NA NA 8281 NA NA
1689022800.0 250199.17 581 NA NA 2097480 NA NA 6577 NA NA 7907 NA NA
1689022800.0 250399.17 1069 NA NA 2098040 NA NA 3605 NA NA 2977 NA NA
1689022800.0 25061.97 1552 NA NA 2097800 NA NA 29841 NA NA 29087 NA NA
1689022800.0 25405.0 954 0 334 2097820 0 2097420 8803 489 1367 8873 2164 4612
1689022800.0 512.0 114 187 0 2097270 2097350 0 4798 412 213 12571 1293 1015
1689022800.0 521.0 114 174 0 2097270 2097340 0 5115 283 207 16046 967 686
1689022800.0 525.0 117 170 0 2097270 2097340 0 5005 287 210 12248 1373 764
1689022800.0 526.0 116 174 0 2097270 2097340 0 5504 324 231 14856 1708 1126
1689022800.0 529.0 113 175 0 2097270 2097340 0 5329 280 209 15333 818 867
1689022800.0 538.0 246 0 NA 2097400 0 NA 6171 210 NA 16451 1036 NA
1689022800.0 555.0 120 168 0 2097270 2097340 0 3235 344 219 7076 1389 933
