Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5
1689195600.0 1000.0 NA 612 346 0 200 NA 2097520 2097420 0 2097360 NA 9698 2247 707 435 NA 10784 5070 1578 1182
1689195600.0 1005.0 NA 327 254 0 NA NA 2097440 2097400 0 NA NA 892 335 182 NA NA 1053 646 723 NA
1689195600.0 101.0 303 NA NA NA NA 2097430 NA NA NA NA 2070 NA NA NA NA 2084 NA NA NA NA
1689195600.0 1010.0 NA 153 204 0 NA NA 2097340 2097330 0 NA NA 192 323 331 NA NA 1098 622 878 NA
1689195600.0 102.0 306 NA NA NA NA 2097420 NA NA NA NA 1841 NA NA NA NA 2496 NA NA NA NA
1689195600.0 1020.0 NA 169 140 0 166 NA 2097340 2097340 0 2097340 NA 248 163 103 262 NA 402 447 332 1218
1689195600.0 1040.1 NA 232 150 0 NA NA 2097360 2097320 0 NA NA 692 188 376 NA NA 2035 567 901 NA
1689195600.0 1041.0 NA 238 181 0 NA NA 2097360 2097330 0 NA NA 461 247 160 NA NA 1403 695 663 NA
1689195600.0 1042.0 NA 244 164 0 NA NA 2097360 2097330 0 NA NA 717 229 122 NA NA 953 682 680 NA
1689195600.0 1043.0 NA 192 164 0 NA NA 2097350 2097340 0 NA NA 541 205 120 NA NA 871 496 869 NA
1689195600.0 1044.0 NA 199 190 0 NA NA 2097350 2097370 0 NA NA 534 305 134 NA NA 660 699 671 NA
1689195600.0 1045.0 NA 198 182 0 NA NA 2097350 2097360 0 NA NA 536 288 113 NA NA 872 616 763 NA
1689195600.0 1052.0 NA 329 253 0 NA NA 2097440 2097400 0 NA NA 895 334 114 NA NA 1042 758 590 NA
1689195600.0 1052.1 NA 240 0 NA NA NA 2097400 0 NA NA NA 340 121 NA NA NA 744 789 NA NA
1689195600.0 106.0 227 0 0 NA NA 2097360 0 0 NA NA 1354 221 2428 NA NA 4389 1023 7975 NA NA
1689195600.0 1060.1 NA 266 NA NA NA NA 2097430 NA NA NA NA 900 NA NA NA NA 1333 NA NA NA
1689195600.0 1060.2 NA 265 NA NA NA NA 2097430 NA NA NA NA 825 NA NA NA NA 1389 NA NA NA
1689195600.0 110.0 236 313 572 NA NA 2097360 2097370 2097530 NA NA 1517 889 2889 NA NA 5721 2400 6000 NA NA
1689195600.0 11634.1 NA 433 452 0 NA NA 2097430 2097460 0 NA NA 1464 1645 974 NA NA 3136 3511 1704 NA
1689195600.0 11650.914 261 420 804 0 307 2097370 2097420 2097660 0 2097410 3968 1287 3908 1188 726 3613 2585 6756 2130 2571
1689195600.0 120.0 240 326 560 NA NA 2097370 2097370 2097520 NA NA 1372 906 2895 NA NA 3086 2216 7624 NA NA
1689195600.0 122.0 229 0 0 NA NA 2097360 0 0 NA NA 1347 220 2419 NA NA 2916 983 6163 NA NA
1689195600.0 123.1 613 NA NA NA NA 2097560 NA NA NA NA 3143 NA NA NA NA 7225 NA NA NA NA
1689195600.0 123.2 628 NA NA NA NA 2097560 NA NA NA NA 3723 NA NA NA NA 6191 NA NA NA NA
1689195600.0 123.3 552 NA NA NA NA 2097520 NA NA NA NA 2565 NA NA NA NA 4889 NA NA NA NA
1689195600.0 124.1 594 NA NA NA NA 2097530 NA NA NA NA 2579 NA NA NA NA 5511 NA NA NA NA
1689195600.0 124.2 587 NA NA NA NA 2097560 NA NA NA NA 2857 NA NA NA NA 5877 NA NA NA NA
1689195600.0 124.4 607 NA NA NA NA 2097530 NA NA NA NA 2613 NA NA NA NA 5480 NA NA NA NA
1689195600.0 124.5 618 NA NA NA NA 2097530 NA NA NA NA 2526 NA NA NA NA 4118 NA NA NA NA
1689195600.0 124.6 572 NA NA NA NA 2097530 NA NA NA NA 2489 NA NA NA NA 5214 NA NA NA NA
1689195600.0 12634.99 NA 644 860 1169 0 NA 2097480 2097650 2097800 0 NA 9165 5123 15793 1656 NA 9192 7928 22226 3043
1689195600.0 127.0 236 331 565 NA NA 2097360 2097370 2097520 NA NA 2012 886 2763 NA NA 2877 2737 4266 NA NA
1689195600.0 128.0 232 321 569 NA NA 2097350 2097370 2097520 NA NA 1293 897 2761 NA NA 2603 2857 6425 NA NA
1689195600.0 1301.0 265 340 455 NA NA 2097390 2097410 2097480 NA NA 3163 963 1890 NA NA 4376 3694 4889 NA NA
1689195600.0 131.0 237 324 572 NA NA 2097360 2097380 2097530 NA NA 2282 901 2919 NA NA 3573 2454 6937 NA NA
1689195600.0 1325.51 NA 393 0 NA NA NA 2097440 0 NA NA NA 3975 268 NA NA NA 7970 1406 NA NA
1689195600.0 1325.518 NA 434 0 NA NA NA 2097450 0 NA NA NA 7004 257 NA NA NA 10973 1208 NA NA
1689195600.0 134.0 NA 605 149 0 NA NA 2097530 2097330 0 NA NA 9179 193 129 NA NA 10227 857 478 NA
1689195600.0 135.13 802 0 NA NA NA 2097720 0 NA NA NA 3288 637 NA NA NA 7183 1183 NA NA NA
1689195600.0 135.8 555 NA NA NA NA 2097610 NA NA NA NA 1967 NA NA NA NA 1748 NA NA NA NA
1689195600.0 136.7802 NA 221 0 NA NA NA 2097350 0 NA NA NA 621 214 NA NA NA 1315 874 NA NA
1689195600.0 138.3 NA 119 0 NA NA NA 2097280 0 NA NA NA 93 0 NA NA NA 386 0 NA NA
1689195600.0 139.005 NA 272 234 NA NA NA 2097430 2097410 NA NA NA 56519 22479 NA NA NA 37192 18138 NA NA
1689195600.0 140.117 NA 0 0 0 NA NA 0 0 0 NA NA 303 6079 283 NA NA 777 10654 1174 NA
1689195600.0 141.009 NA 0 0 0 NA NA 0 0 0 NA NA 2422 16887 4016 NA NA 2914 31381 7550 NA
1689195600.0 144.6 NA 617 NA NA NA NA 2097530 NA NA NA NA 8368 NA NA NA NA 11170 NA NA NA
1689195600.0 158.0 252 346 783 231 0 2097370 2097420 2097710 2097350 0 5068 750 3267 524 1210 9666 2924 5904 2533 1891
1689195600.0 2017.13 1289 0 NA NA NA 2098120 0 NA NA NA 3808 875 NA NA NA 7578 1619 NA NA NA
1689195600.0 2017.8 983 NA NA NA NA 2097990 NA NA NA NA 2352 NA NA NA NA 1924 NA NA NA NA
1689195600.0 2018.13 1237 0 NA NA NA 2098070 0 NA NA NA 3907 869 NA NA NA 6152 1504 NA NA NA
1689195600.0 2018.8 930 NA NA NA NA 2097950 NA NA NA NA 2391 NA NA NA NA 3914 NA NA NA NA
1689195600.0 2500.002 NA 424 0 NA NA NA 2097500 0 NA NA NA 75624 218 NA NA NA 55327 574 NA NA
1689195600.0 2500.01 NA 381 0 NA NA NA 2097450 0 NA NA NA 36577 203 NA NA NA 23367 573 NA NA
1689195600.0 2500.2 NA 337 0 NA NA NA 2097440 0 NA NA NA 53815 200 NA NA NA 30146 425 NA NA
1689195600.0 2500.3 NA 292 0 NA NA NA 2097430 0 NA NA NA 33779 210 NA NA NA 24437 750 NA NA
1689195600.0 2500.4 NA 306 0 NA NA NA 2097430 0 NA NA NA 33493 211 NA NA NA 27142 691 NA NA
1689195600.0 250199.0 579 NA NA NA NA 2097480 NA NA NA NA 6045 NA NA NA NA 7920 NA NA NA NA
1689195600.0 250199.17 605 NA NA NA NA 2097480 NA NA NA NA 6571 NA NA NA NA 7904 NA NA NA NA
1689195600.0 250199.18 710 NA NA NA NA 2097500 NA NA NA NA 9057 NA NA NA NA 10563 NA NA NA NA
1689195600.0 250399.0 621 NA NA NA NA 2097660 NA NA NA NA 2583 NA NA NA NA 4777 NA NA NA NA
1689195600.0 250399.17 1076 NA NA NA NA 2098040 NA NA NA NA 3690 NA NA NA NA 4524 NA NA NA NA
1689195600.0 250405.0 821 0 327 NA NA 2097770 0 2097420 NA NA 3338 417 1250 NA NA 5549 1556 3346 NA NA
1689195600.0 25061.97 1420 NA NA NA NA 2097800 NA NA NA NA 29589 NA NA NA NA 29525 NA NA NA NA
1689195600.0 4.28 NA 221 610 0 NA NA 2097360 2097520 0 NA NA 462 9238 6720 NA NA 1003 15898 10775 NA
1689195600.0 4007.0 241 0 0 NA NA 2097360 0 0 NA NA 1360 227 2419 NA NA 3337 1071 6197 NA NA
1689195600.0 500199.0 437 NA NA NA NA 2097440 NA NA NA NA 3795 NA NA NA NA 3688 NA NA NA NA
1689195600.0 503.0 176 0 NA NA NA 2097340 0 NA NA NA 2520 205 NA NA NA 3037 974 NA NA NA
1689195600.0 504.0 189 0 NA NA NA 2097340 0 NA NA NA 349 211 NA NA NA 926 1070 NA NA NA
1689195600.0 505.0 192 0 NA NA NA 2097350 0 NA NA NA 347 204 NA NA NA 671 825 NA NA NA
