Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueRss9 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 PeakValueVsize9 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobCPU9 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8 TotalJobTime9
1689195600.0 1.0 119 161 242 NA NA NA NA NA NA 289 263 433 NA NA NA NA NA NA 1252 306 854 NA NA NA NA NA NA 1854 971 1561 NA NA NA NA NA NA
1689195600.0 1000.0 NA 383 241 0 105 NA NA NA NA NA 553 330 0 187 NA NA NA NA NA 2197 678 278 223 NA NA NA NA NA 2341 1159 425 282 NA NA NA NA
1689195600.0 10001.0 NA 282 535 0 143 144 NA NA NA NA 391 811 0 232 255 NA NA NA NA 1396 1460 386 305 395 NA NA NA NA 1072 2607 572 879 657 NA NA NA
1689195600.0 10002.0 NA 281 525 0 146 151 NA NA NA NA 394 831 0 231 255 NA NA NA NA 1413 1458 376 290 392 NA NA NA NA 1294 2813 722 729 522 NA NA NA
1689195600.0 10003.0 NA 285 540 0 147 150 NA NA NA NA 389 819 0 234 257 NA NA NA NA 1403 1485 396 288 400 NA NA NA NA 1073 2388 634 417 718 NA NA NA
1689195600.0 10004.0 NA 287 541 0 147 150 NA NA NA NA 396 817 0 227 258 NA NA NA NA 1397 1424 375 293 386 NA NA NA NA 1075 2123 488 639 664 NA NA NA
1689195600.0 10006.0 NA 280 535 0 145 144 NA NA NA NA 386 818 0 224 253 NA NA NA NA 1402 1407 387 291 375 NA NA NA NA 1387 2568 1057 858 743 NA NA NA
1689195600.0 10007.0 NA 283 528 0 177 147 NA NA NA NA 389 838 0 304 247 NA NA NA NA 1408 1513 377 304 390 NA NA NA NA 894 3039 682 937 701 NA NA NA
1689195600.0 10008.0 NA 284 521 0 176 148 NA NA NA NA 395 871 0 308 253 NA NA NA NA 1413 1500 381 301 392 NA NA NA NA 947 2707 574 465 669 NA NA NA
1689195600.0 10009.0 NA 289 538 0 175 148 NA NA NA NA 397 829 0 314 256 NA NA NA NA 1410 1456 393 309 402 NA NA NA NA 1055 2737 1154 1105 819 NA NA NA
1689195600.0 1001.0 NA 338 182 0 0 0 0 0 0 NA 509 283 0 0 0 0 0 0 NA 1959 361 78 65 85 204 108 202 NA 2875 1091 308 463 190 879 379 590
1689195600.0 1001.2 NA 620 227 0 0 0 0 NA NA NA 938 369 0 0 0 0 NA NA NA 9275 695 101 107 116 125 NA NA NA 4536 780 765 402 514 360 NA NA
1689195600.0 1001.3 NA 600 220 0 NA NA NA NA NA NA 925 360 0 NA NA NA NA NA NA 7383 679 203 NA NA NA NA NA NA 2934 680 267 NA NA NA NA NA
1689195600.0 10023.0 NA 288 541 0 146 145 NA NA NA NA 397 833 0 231 246 NA NA NA NA 1400 1405 387 290 378 NA NA NA NA 1248 2716 666 712 717 NA NA NA
1689195600.0 10024.0 NA 281 545 0 174 152 NA NA NA NA 408 829 0 315 258 NA NA NA NA 1458 1660 412 312 404 NA NA NA NA 1112 2686 979 928 764 NA NA NA
1689195600.0 10025.0 NA 284 530 0 146 150 NA NA NA NA 405 821 0 234 246 NA NA NA NA 1417 1521 399 293 396 NA NA NA NA 1010 2584 692 600 523 NA NA NA
1689195600.0 1004.0 NA 265 143 0 0 0 0 NA NA NA 417 232 0 0 0 0 NA NA NA 783 210 58 88 234 199 NA NA NA 2021 772 272 454 482 327 NA NA
1689195600.0 10042.0 NA 292 540 0 181 149 NA NA NA NA 399 825 0 312 251 NA NA NA NA 1428 1484 398 303 400 NA NA NA NA 1200 2294 653 788 744 NA NA NA
1689195600.0 1005.0 NA 202 152 0 NA NA NA NA NA NA 392 273 0 NA NA NA NA NA NA 488 214 79 NA NA NA NA NA NA 1331 792 140 NA NA NA NA NA
1689195600.0 10059.0 NA 291 558 0 149 151 NA NA NA NA 412 856 0 235 259 NA NA NA NA 1470 2099 411 293 415 NA NA NA NA 1137 2512 663 591 806 NA NA NA
