Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueRss9 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 PeakValueVsize9 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobCPU9 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8 TotalJobTime9
1689195600.0 1.0 158 169 278 NA NA NA NA NA NA 288 264 405 NA NA NA NA NA NA 1352 311 862 NA NA NA NA NA NA 1637 877 1498 NA NA NA NA NA NA
1689195600.0 10.0 NA 197 382 0 NA NA NA NA NA NA 318 552 0 NA NA NA NA NA NA 1321 2688 370 NA NA NA NA NA NA 1508 3149 625 NA NA NA NA NA
1689195600.0 1000.0 NA 351 238 0 106 NA NA NA NA NA 543 353 0 189 NA NA NA NA NA 2236 692 280 230 NA NA NA NA NA 2342 1400 588 656 NA NA NA NA
1689195600.0 10001.0 NA 285 532 0 147 150 NA NA NA NA 403 926 0 233 252 NA NA NA NA 1444 1511 386 295 414 NA NA NA NA 949 3078 503 701 1135 NA NA NA
1689195600.0 10002.0 NA 277 530 0 146 144 NA NA NA NA 399 835 0 235 249 NA NA NA NA 1414 1450 376 287 394 NA NA NA NA 1300 2389 545 528 714 NA NA NA
1689195600.0 10003.0 NA 276 533 0 145 144 NA NA NA NA 385 820 0 230 248 NA NA NA NA 1417 1454 383 307 403 NA NA NA NA 1565 2021 619 975 619 NA NA NA
1689195600.0 10004.0 NA 277 522 0 146 150 NA NA NA NA 394 808 0 235 255 NA NA NA NA 1403 1417 378 286 394 NA NA NA NA 1003 2346 658 705 734 NA NA NA
1689195600.0 10005.0 NA 279 534 0 146 150 NA NA NA NA 388 811 0 235 250 NA NA NA NA 1444 1446 392 304 408 NA NA NA NA 1440 2635 842 802 843 NA NA NA
1689195600.0 10006.0 NA 285 526 0 145 145 NA NA NA NA 391 813 0 231 255 NA NA NA NA 1435 1476 387 309 383 NA NA NA NA 1149 2644 764 1167 549 NA NA NA
1689195600.0 10007.0 NA 279 536 0 172 148 NA NA NA NA 395 810 0 305 259 NA NA NA NA 1432 1480 374 306 378 NA NA NA NA 1201 2688 492 740 486 NA NA NA
1689195600.0 10008.0 NA 283 541 0 173 148 NA NA NA NA 406 835 0 310 257 NA NA NA NA 1416 1463 389 304 407 NA NA NA NA 1282 2431 681 687 1303 NA NA NA
1689195600.0 10009.0 NA 286 527 0 175 143 NA NA NA NA 387 835 0 309 257 NA NA NA NA 1407 1526 383 298 395 NA NA NA NA 1338 3090 544 595 620 NA NA NA
1689195600.0 1001.0 NA 330 183 0 0 0 0 0 0 NA 500 291 0 0 0 0 0 0 NA 2074 375 83 61 87 240 111 207 NA 5828 2066 863 307 460 718 281 513
1689195600.0 1001.2 NA 605 229 0 0 0 0 NA NA NA 1042 370 0 0 0 0 NA NA NA 9726 722 105 117 113 131 NA NA NA 5044 1120 467 808 208 331 NA NA
1689195600.0 1001.3 NA 582 219 0 NA NA NA NA NA NA 931 358 0 NA NA NA NA NA NA 7444 707 219 NA NA NA NA NA NA 3272 1026 353 NA NA NA NA NA
1689195600.0 1002.0 NA 358 131 NA NA NA NA NA NA NA 524 168 NA NA NA NA NA NA NA 2344 192 NA NA NA NA NA NA NA 2672 355 NA NA NA NA NA NA
1689195600.0 1002.3 NA 587 219 0 NA NA NA NA NA NA 953 354 0 NA NA NA NA NA NA 6058 617 221 NA NA NA NA NA NA 2848 879 458 NA NA NA NA NA
1689195600.0 1002.4 NA 601 0 NA NA NA NA NA NA NA 929 0 NA NA NA NA NA NA NA 9238 378 NA NA NA NA NA NA NA 3593 528 NA NA NA NA NA NA
1689195600.0 10023.0 NA 278 529 0 145 136 NA NA NA NA 400 823 0 233 243 NA NA NA NA 1406 1420 403 288 379 NA NA NA NA 1320 2507 952 587 513 NA NA NA
1689195600.0 10024.0 NA 287 556 0 171 152 NA NA NA NA 408 843 0 308 256 NA NA NA NA 1462 1637 407 324 405 NA NA NA NA 1528 2605 690 1239 609 NA NA NA
1689195600.0 10024.1 NA 297 299 0 NA NA NA NA NA NA 400 513 0 NA NA NA NA NA NA 1425 601 350 NA NA NA NA NA NA 585 1008 403 NA NA NA NA NA
1689195600.0 10024.2 NA 297 558 0 NA NA NA NA NA NA 397 831 0 NA NA NA NA NA NA 1487 1622 389 NA NA NA NA NA NA 1061 1489 453 NA NA NA NA NA
1689195600.0 10024.3 NA 298 288 0 NA NA NA NA NA NA 404 520 0 NA NA NA NA NA NA 1420 601 321 NA NA NA NA NA NA 731 630 538 NA NA NA NA NA
1689195600.0 10024.4 NA 299 546 0 NA NA NA NA NA NA 402 819 0 NA NA NA NA NA NA 1432 1575 386 NA NA NA NA NA NA 952 1635 450 NA NA NA NA NA
