Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5
1689066000.0 103.0 115 0 0 NA NA 225 0 0 NA NA 520 119 1148 NA NA 1274 335 1813 NA NA
1689066000.0 106.0 118 0 0 NA NA 224 0 0 NA NA 524 127 1141 NA NA 942 501 1865 NA NA
1689066000.0 110.0 124 167 311 NA NA 230 266 515 NA NA 605 323 1407 NA NA 1026 1238 1782 NA NA
1689066000.0 120.0 117 174 339 NA NA 235 267 511 NA NA 551 317 1376 NA NA 1314 702 1813 NA NA
1689066000.0 122.0 113 0 0 NA NA 225 0 0 NA NA 527 120 1143 NA NA 810 397 1727 NA NA
1689066000.0 129.0 116 167 334 NA NA 227 268 525 NA NA 545 328 1385 NA NA 1402 1402 1809 NA NA
1689066000.0 130.0 120 173 338 NA NA 228 268 504 NA NA 537 293 1316 NA NA 1766 859 2253 NA NA
1689066000.0 134.0 NA 364 78 0 NA NA 541 159 0 NA NA 2732 146 76 NA NA 2734 782 500 NA
1689066000.0 144.6 NA 356 NA NA NA NA 529 NA NA NA NA 2420 NA NA NA NA 3814 NA NA NA
1689066000.0 25.0 NA 208 387 0 93 NA 315 583 0 220 NA 1429 3604 392 276 NA 1492 3729 502 938
1689066000.0 25034.21 NA 844 668 292 NA NA 1309 1130 402 NA NA 9657 8432 1890 NA NA 6572 3921 1565 NA
1689066000.0 25061.97 1014 NA NA NA NA 1515 NA NA NA NA 7624 NA NA NA NA 4841 NA NA NA NA
1689066000.0 4001.0 NA 249 446 NA NA NA 379 625 NA NA NA 617 1978 NA NA NA 1829 2754 NA NA
1689066000.0 4007.0 118 0 0 NA NA 225 0 0 NA NA 533 121 1152 NA NA 1164 534 1932 NA NA
1689066000.0 4008.0 121 0 0 NA NA 226 0 0 NA NA 563 131 1237 NA NA 690 559 1757 NA NA
