Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7
1689152400.0 1.0 147 157 284 NA NA NA NA 293 263 423 NA NA NA NA 1357 340 900 NA NA NA NA 1984 993 1285 NA NA NA NA
1689152400.0 10007.0 NA 289 537 0 181 151 NA NA 402 844 0 314 255 NA NA 1459 1572 420 342 438 NA NA 1908 3123 645 633 945 NA
1689152400.0 1001.2 NA 616 230 0 0 0 0 NA 947 367 0 0 0 0 NA 9870 758 110 127 131 142 NA 4944 879 213 381 489 284
1689152400.0 1002.0 NA 366 136 NA NA NA NA NA 537 180 NA NA NA NA NA 2467 198 NA NA NA NA NA 2958 238 NA NA NA NA
1689152400.0 10024.0 NA 292 565 0 180 154 NA NA 410 858 0 314 262 NA NA 1493 1743 467 361 473 NA NA 1887 2148 1056 950 1330 NA
1689152400.0 1004.0 NA 266 151 0 0 0 0 NA 422 238 0 0 0 0 NA 861 221 77 96 217 215 NA 1891 306 714 174 423 304
1689152400.0 10059.0 NA 302 558 0 152 154 NA NA 416 878 0 239 259 NA NA 1509 2325 452 347 457 NA NA 1249 4177 766 835 868 NA
1689152400.0 10071.0 NA 260 562 0 152 154 NA NA 404 845 0 240 259 NA NA 1481 1676 443 349 440 NA NA 1393 2659 695 1014 751 NA
1689152400.0 10224.0 NA 478 776 0 155 NA NA NA 634 1122 0 262 NA NA NA 2865 3304 467 457 NA NA NA 2379 4766 844 924 NA NA
1689152400.0 10224.15 NA 450 776 0 187 NA NA NA 643 1110 0 295 NA NA NA 2947 3185 465 557 NA NA NA 2881 3645 750 1234 NA NA
1689152400.0 10225.0 NA 470 769 0 154 NA NA NA 637 1150 0 254 NA NA NA 2870 2961 441 460 NA NA NA 2066 3463 551 1149 NA NA
1689152400.0 103.0 122 0 0 NA NA NA NA 226 0 0 NA NA NA NA 550 124 1247 NA NA NA NA 825 320 2123 NA NA NA NA
1689152400.0 106.0 122 0 0 NA NA NA NA 224 0 0 NA NA NA NA 537 124 1240 NA NA NA NA 668 238 2182 NA NA NA NA
1689152400.0 107.0 160 174 356 NA NA NA NA 292 271 527 NA NA NA NA 1550 323 1432 NA NA NA NA 971 859 2659 NA NA NA NA
1689152400.0 108.0 163 179 362 NA NA NA NA 305 280 535 NA NA NA NA 1749 327 1430 NA NA NA NA 1035 1035 1638 NA NA NA NA
1689152400.0 10801.0 NA 268 532 0 149 155 NA NA 399 822 0 237 261 NA NA 1427 1522 442 330 451 NA NA 1506 2085 1012 569 952 NA
1689152400.0 10803.0 NA 276 532 0 150 158 NA NA 398 850 0 234 261 NA NA 1420 1646 432 337 477 NA NA 1525 4799 982 823 1279 NA
1689152400.0 10807.0 NA 249 517 0 178 155 NA NA 390 882 0 310 261 NA NA 1412 1630 427 341 460 NA NA 1488 3441 727 616 1191 NA
1689152400.0 10824.0 NA 283 560 0 179 157 NA NA 402 846 0 312 264 NA NA 1468 1681 457 349 458 NA NA 2008 2322 767 633 723 NA
1689152400.0 10824.8 NA 287 543 0 180 158 NA NA 401 914 0 312 262 NA NA 1385 1653 424 338 443 NA NA 943 2090 524 802 669 NA
1689152400.0 10842.0 NA 285 536 0 180 155 NA NA 403 836 0 310 260 NA NA 1438 1639 449 350 456 NA NA 1588 2540 775 607 872 NA
1689152400.0 10859.0 NA 298 556 0 154 159 NA NA 406 867 0 243 264 NA NA 1477 2413 447 347 452 NA NA 1292 2869 602 829 655 NA
1689152400.0 109.0 155 181 360 NA NA NA NA 291 280 529 NA NA NA NA 2007 335 1507 NA NA NA NA 1883 907 2758 NA NA NA NA
1689152400.0 11.0 NA 192 325 0 124 NA NA NA 297 543 0 206 NA NA NA 1107 1590 417 252 NA NA NA 1462 2355 703 580 NA NA
1689152400.0 110.0 125 166 349 NA NA NA NA 227 270 513 NA NA NA NA 559 315 1366 NA NA NA NA 939 897 2693 NA NA NA NA
1689152400.0 11024.0 NA 505 847 0 158 NA NA NA 744 1315 0 272 NA NA NA 3700 4025 464 464 NA NA NA 2458 4634 633 864 NA NA
1689152400.0 11024.15 NA 498 843 0 180 NA NA NA 735 1367 0 303 NA NA NA 3672 3899 473 584 NA NA NA 2952 4663 1295 1002 NA NA
1689152400.0 11024.2 NA 541 861 0 151 NA NA NA 753 1216 0 250 NA NA NA 3718 3940 457 375 NA NA NA 2522 5212 591 1015 NA NA
1689152400.0 11024.6 NA 499 888 0 160 NA NA NA 751 1241 0 263 NA NA NA 3880 4082 461 468 NA NA NA 3436 3462 590 953 NA NA
1689152400.0 11025.0 NA 500 845 0 158 NA NA NA 747 1292 0 258 NA NA NA 3673 3610 469 461 NA NA NA 2563 4540 911 833 NA NA
1689152400.0 111.0 151 178 356 NA NA NA NA 289 279 514 NA NA NA NA 1105 270 1375 NA NA NA NA 1622 519 2548 NA NA NA NA
1689152400.0 112.0 153 171 351 NA NA NA NA 289 269 515 NA NA NA NA 1346 325 1398 NA NA NA NA 1390 887 2701 NA NA NA NA
1689152400.0 113.0 158 170 355 NA NA NA NA 295 278 497 NA NA NA NA 1429 336 1380 NA NA NA NA 1667 642 1753 NA NA NA NA
1689152400.0 114.0 155 178 350 NA NA NA NA 300 271 523 NA NA NA NA 1547 323 1384 NA NA NA NA 1964 642 1896 NA NA NA NA
1689152400.0 115.0 163 180 359 NA NA NA NA 297 271 534 NA NA NA NA 1703 329 1446 NA NA NA NA 1632 515 2612 NA NA NA NA
1689152400.0 116.0 161 174 356 NA NA NA NA 302 275 505 NA NA NA NA 1698 346 1440 NA NA NA NA 1088 1533 2698 NA NA NA NA
1689152400.0 11634.911 152 262 556 0 159 NA NA 259 362 797 0 257 NA NA 2776 1296 2454 923 513 NA NA 2423 926 2511 1268 1169 NA NA
1689152400.0 11634.914 142 257 549 0 154 NA NA 239 355 777 0 238 NA NA 2241 438 1888 452 340 NA NA 1704 450 4312 790 979 NA NA
1689152400.0 11650.911 150 224 529 0 178 NA NA 260 365 796 0 294 NA NA 1976 1338 2483 953 852 NA NA 1934 1182 3522 1605 875 NA NA
1689152400.0 11650.914 137 223 542 0 176 NA NA 234 355 777 0 283 NA NA 1425 465 1740 456 346 NA NA 2208 1401 2442 728 726 NA NA
1689152400.0 117.0 152 179 365 NA NA NA NA 296 271 519 NA NA NA NA 1900 323 1445 NA NA NA NA 1642 400 1835 NA NA NA NA
1689152400.0 11834.0 NA 612 1020 0 NA NA NA NA 846 1492 0 NA NA NA NA 3543 6022 474 NA NA NA NA 2051 5260 693 NA NA NA
1689152400.0 11834.13 NA 611 1110 0 NA NA NA NA 853 1550 0 NA NA NA NA 3451 7018 465 NA NA NA NA 2158 4257 567 NA NA NA
1689152400.0 11834.19 NA 627 1014 0 NA NA NA NA 913 1499 0 NA NA NA NA 3551 6390 462 NA NA NA NA 1924 5037 593 NA NA NA
1689152400.0 11834.99 NA 511 637 733 0 NA NA NA 864 938 1047 0 NA NA NA 4127 1086 4860 472 NA NA NA 3431 959 4955 572 NA NA
1689152400.0 11846.0 NA 584 989 0 NA NA NA NA 845 1416 0 NA NA NA NA 3328 4979 448 NA NA NA NA 1991 4142 523 NA NA NA
1689152400.0 11846.19 NA 549 971 0 NA NA NA NA 827 1300 0 NA NA NA NA 3328 4995 472 NA NA NA NA 1909 3578 656 NA NA NA
1689152400.0 119.0 145 174 356 NA NA NA NA 289 270 514 NA NA NA NA 1305 306 1361 NA NA NA NA 1770 410 1653 NA NA NA NA
1689152400.0 120.0 125 170 343 NA NA NA NA 236 270 508 NA NA NA NA 515 302 1322 NA NA NA NA 766 713 1708 NA NA NA NA
1689152400.0 122.0 121 0 0 NA NA NA NA 225 0 0 NA NA NA NA 555 137 1248 NA NA NA NA 1054 626 2286 NA NA NA NA
1689152400.0 123.1 422 NA NA NA NA NA NA 613 NA NA NA NA NA NA 851 NA NA NA NA NA NA 1271 NA NA NA NA NA NA
1689152400.0 123.2 395 NA NA NA NA NA NA 599 NA NA NA NA NA NA 963 NA NA NA NA NA NA 1944 NA NA NA NA NA NA
1689152400.0 123.3 358 NA NA NA NA NA NA 491 NA NA NA NA NA NA 738 NA NA NA NA NA NA 1233 NA NA NA NA NA NA
1689152400.0 124.1 409 NA NA NA NA NA NA 561 NA NA NA NA NA NA 746 NA NA NA NA NA NA 1373 NA NA NA NA NA NA
1689152400.0 124.2 436 NA NA NA NA NA NA 595 NA NA NA NA NA NA 785 NA NA NA NA NA NA 821 NA NA NA NA NA NA
1689152400.0 124.4 384 NA NA NA NA NA NA 581 NA NA NA NA NA NA 782 NA NA NA NA NA NA 1102 NA NA NA NA NA NA
1689152400.0 124.5 388 NA NA NA NA NA NA 574 NA NA NA NA NA NA 767 NA NA NA NA NA NA 1456 NA NA NA NA NA NA
1689152400.0 124.6 344 NA NA NA NA NA NA 510 NA NA NA NA NA NA 773 NA NA NA NA NA NA 1146 NA NA NA NA NA NA
1689152400.0 125.0 163 180 359 NA NA NA NA 306 282 513 NA NA NA NA 1574 334 1389 NA NA NA NA 965 1424 1719 NA NA NA NA
1689152400.0 126.0 121 165 351 NA NA NA NA 237 269 509 NA NA NA NA 966 317 1349 NA NA NA NA 897 805 2172 NA NA NA NA
1689152400.0 12634.0 NA 597 925 0 NA NA NA NA 802 1330 0 NA NA NA NA 2655 4235 589 NA NA NA NA 2927 4690 896 NA NA NA
1689152400.0 127.0 125 173 347 NA NA NA NA 228 272 501 NA NA NA NA 700 303 1360 NA NA NA NA 832 1006 2698 NA NA NA NA
1689152400.0 128.0 124 175 348 NA NA NA NA 225 267 500 NA NA NA NA 491 292 1325 NA NA NA NA 1006 375 1885 NA NA NA NA
1689152400.0 12834.0 NA 422 713 0 185 NA NA NA 605 1060 0 287 NA NA NA 1078 2855 576 388 NA NA NA 1714 4462 1062 1127 NA NA
1689152400.0 129.0 125 165 347 NA NA NA NA 224 268 506 NA NA NA NA 498 316 1319 NA NA NA NA 1061 955 1584 NA NA NA NA
1689152400.0 130.0 119 171 346 NA NA NA NA 228 271 504 NA NA NA NA 538 312 1372 NA NA NA NA 1545 758 2715 NA NA NA NA
1689152400.0 1301.0 149 212 308 NA NA NA NA 264 310 466 NA NA NA NA 1330 331 918 NA NA NA NA 1239 314 1291 NA NA NA NA
1689152400.0 1302.0 160 217 315 NA NA NA NA 280 313 483 NA NA NA NA 2144 371 1053 NA NA NA NA 1581 685 1683 NA NA NA NA
1689152400.0 13034.0 NA 604 971 0 NA NA NA NA 824 1314 0 NA NA NA NA 2742 4242 586 NA NA NA NA 2653 4634 888 NA NA NA
1689152400.0 1306.0 NA 218 388 0 NA NA NA NA 320 560 0 NA NA NA NA 347 1424 343 NA NA NA NA 1468 2420 541 NA NA NA
1689152400.0 131.0 119 172 349 NA NA NA NA 228 270 500 NA NA NA NA 824 310 1363 NA NA NA NA 1845 720 2456 NA NA NA NA
1689152400.0 1311.0 NA 220 484 0 124 NA NA NA 325 729 0 207 NA NA NA 332 1163 374 257 NA NA NA 777 1765 630 571 NA NA
1689152400.0 1315.0 NA 219 395 0 NA NA NA NA 324 573 0 NA NA NA NA 346 1439 340 NA NA NA NA 1317 2723 528 NA NA NA
1689152400.0 132.0 154 182 354 NA NA NA NA 289 281 524 NA NA NA NA 1818 325 1459 NA NA NA NA 1672 459 1863 NA NA NA NA
1689152400.0 1323.0 NA 218 377 0 NA NA NA NA 317 558 0 NA NA NA NA 334 1427 334 NA NA NA NA 843 2273 422 NA NA NA
1689152400.0 13234.0 NA 951 0 NA NA NA NA NA 1366 0 NA NA NA NA NA 3905 314 NA NA NA NA NA 3429 534 NA NA NA NA
1689152400.0 1325.9 NA 246 413 0 129 NA NA NA 373 583 0 204 NA NA NA 427 1520 352 262 NA NA NA 1658 1880 474 459 NA NA
1689152400.0 1325.91 NA 258 410 0 128 NA NA NA 358 581 0 210 NA NA NA 408 1591 349 272 NA NA NA 790 3762 499 476 NA NA
1689152400.0 1327.0 NA 224 408 0 NA NA NA NA 322 599 0 NA NA NA NA 359 1474 365 NA NA NA NA 1107 2129 639 NA NA NA
1689152400.0 1328.0 NA 224 404 0 NA NA NA NA 330 584 0 NA NA NA NA 389 1591 370 NA NA NA NA 1123 2344 823 NA NA NA
1689152400.0 133.0 167 183 356 NA NA NA NA 303 281 524 NA NA NA NA 2405 326 1602 NA NA NA NA 1334 308 2418 NA NA NA NA
1689152400.0 1335.0 NA 217 404 0 NA NA NA NA 322 571 0 NA NA NA NA 364 1454 356 NA NA NA NA 1371 2188 577 NA NA NA
1689152400.0 134.0 NA 364 80 0 NA NA NA NA 547 159 0 NA NA NA NA 2608 140 73 NA NA NA NA 3098 593 129 NA NA NA
1689152400.0 1343.0 NA 214 411 0 NA NA NA NA 340 571 0 NA NA NA NA 389 1591 361 NA NA NA NA 1333 2177 446 NA NA NA
1689152400.0 1345.0 NA 226 412 0 NA NA NA NA 337 578 0 NA NA NA NA 381 1567 359 NA NA NA NA 1217 2376 474 NA NA NA
1689152400.0 135.12 613 0 189 143 NA NA NA 827 0 305 248 NA NA NA 908 236 573 315 NA NA NA 1540 443 1070 376 NA NA NA
1689152400.0 135.14 591 0 191 144 NA NA NA 862 0 290 246 NA NA NA 973 250 579 322 NA NA NA 1726 689 756 500 NA NA NA
1689152400.0 135.2 531 0 193 138 NA NA NA 783 0 292 246 NA NA NA 810 225 557 304 NA NA NA 1375 577 1010 495 NA NA NA
1689152400.0 135.3 527 0 196 139 NA NA NA 841 0 288 247 NA NA NA 800 227 569 298 NA NA NA 1669 516 916 358 NA NA NA
1689152400.0 135.4 576 0 192 143 NA NA NA 867 0 292 244 NA NA NA 920 240 571 320 NA NA NA 1797 603 1068 520 NA NA NA
1689152400.0 135.5 602 0 194 142 NA NA NA 865 0 296 245 NA NA NA 908 238 566 316 NA NA NA 2134 656 1031 420 NA NA NA
1689152400.0 135.6 606 0 192 143 NA NA NA 899 0 290 252 NA NA NA 965 241 588 318 NA NA NA 2360 604 1256 395 NA NA NA
1689152400.0 1350.0 NA 216 396 0 NA NA NA NA 330 573 0 NA NA NA NA 376 1498 370 NA NA NA NA 1001 2422 754 NA NA NA
1689152400.0 1356.0 129 184 441 0 205 NA NA 283 312 608 0 310 NA NA 1735 368 1603 362 583 NA NA 2090 1090 3187 614 889 NA NA
1689152400.0 136.761 NA 159 450 0 NA NA NA NA 254 714 0 NA NA NA NA 450 14093 233 NA NA NA NA 1453 5607 444 NA NA NA
1689152400.0 136.819 NA 177 554 0 NA NA NA NA 279 927 0 NA NA NA NA 418 13164 271 NA NA NA NA 1178 5595 355 NA NA NA
1689152400.0 136.827 NA 176 531 0 NA NA NA NA 286 847 0 NA NA NA NA 356 2513 299 NA NA NA NA 1377 3475 398 NA NA NA
1689152400.0 136.828 NA 182 625 0 NA NA NA NA 280 1014 0 NA NA NA NA 411 13875 372 NA NA NA NA 885 5637 751 NA NA NA
1689152400.0 136.83 NA 139 613 0 NA NA NA NA 273 1003 0 NA NA NA NA 481 13541 359 NA NA NA NA 1278 6131 476 NA NA NA
1689152400.0 136.831 NA 182 564 0 NA NA NA NA 284 1035 0 NA NA NA NA 397 14520 279 NA NA NA NA 819 6011 464 NA NA NA
1689152400.0 136.832 NA 183 558 0 NA NA NA NA 283 956 0 NA NA NA NA 380 16300 276 NA NA NA NA 671 7106 381 NA NA NA
1689152400.0 136.833 NA 182 519 0 NA NA NA NA 276 898 0 NA NA NA NA 446 14185 258 NA NA NA NA 1386 5865 345 NA NA NA
1689152400.0 136.834 NA 139 620 0 NA NA NA NA 285 1013 0 NA NA NA NA 399 13661 307 NA NA NA NA 1220 5725 377 NA NA NA
1689152400.0 136.836 NA 183 556 0 NA NA NA NA 274 934 0 NA NA NA NA 402 14348 284 NA NA NA NA 909 5926 468 NA NA NA
1689152400.0 136.842 NA 179 513 0 NA NA NA NA 282 877 0 NA NA NA NA 410 13762 253 NA NA NA NA 1504 5561 342 NA NA NA
1689152400.0 136.843 NA 180 513 0 NA NA NA NA 286 897 0 NA NA NA NA 410 16976 253 NA NA NA NA 1545 8118 314 NA NA NA
1689152400.0 136.848 NA 140 512 0 NA NA NA NA 285 892 0 NA NA NA NA 486 13980 255 NA NA NA NA 1339 5879 330 NA NA NA
1689152400.0 136.861 NA 181 605 0 NA NA NA NA 284 974 0 NA NA NA NA 374 11507 376 NA NA NA NA 881 4655 731 NA NA NA
1689152400.0 136.869 NA 179 529 0 NA NA NA NA 278 870 0 NA NA NA NA 477 12549 299 NA NA NA NA 1143 5387 415 NA NA NA
1689152400.0 136.871 NA 183 508 0 NA NA NA NA 286 917 0 NA NA NA NA 378 16280 263 NA NA NA NA 891 6254 441 NA NA NA
1689152400.0 136.876 NA 134 575 0 NA NA NA NA 279 958 0 NA NA NA NA 386 13008 271 NA NA NA NA 1193 5552 373 NA NA NA
