Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobTime1 TotalJobTime2 TotalJobTime3
1689022800.0 107.0 162 198 364 311 298 523 1667 387 1890 1587 655 3236
1689022800.0 108.0 165 193 361 318 300 549 1722 394 1905 1262 656 2617
1689022800.0 10804.31 NA 303 545 NA 417 853 NA 1565 2129 NA 1564 7213
1689022800.0 109.0 167 193 365 305 291 530 2029 403 1949 1427 909 2857
1689022800.0 111.0 159 191 363 305 287 529 1102 338 1789 1312 616 2466
1689022800.0 113.0 171 194 366 317 292 531 1427 397 1830 1181 900 2667
1689022800.0 115.0 178 197 364 312 291 527 1758 406 1877 1770 1184 2381
1689022800.0 117.0 167 203 375 305 298 540 1856 396 1930 1470 524 3381
1689022800.0 119.0 162 193 365 314 284 529 1198 388 1827 1173 1186 2756
1689022800.0 125.0 171 195 368 324 291 538 1664 398 1861 1705 1192 2768
1689022800.0 127.0 137 187 360 246 284 528 750 370 1789 1297 948 2406
1689022800.0 129.0 135 192 347 245 290 541 559 361 1739 1107 900 2395
1689022800.0 132.0 170 192 367 310 298 545 1866 402 1917 1646 763 2745
1689022800.0 144.6 NA 380 NA NA 543 NA NA 4020 NA NA 4898 NA
1689022800.0 25061.97 1092 NA NA 1555 NA NA 10734 NA NA 6280 NA NA
1689022800.0 4002.0 NA 228 391 NA 331 559 NA 1374 2813 NA 981 2632
