Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6
1689022800.0 10005.0 NA 448 960 0 170 335 NA 667 1353 0 490 536 NA 3252 2125 603 424 481 NA 9955 7454 1879 5417 1506
1689022800.0 10006.0 NA 330 947 0 169 340 NA 670 1357 0 484 531 NA 3207 2010 605 428 460 NA 4681 4714 1723 4585 1323
1689022800.0 1002.0 NA 725 224 NA NA NA NA 1029 339 NA NA NA NA 6712 239 NA NA NA NA 8937 955 NA NA NA
1689022800.0 123.2 772 NA NA NA NA NA 1047 NA NA NA NA NA 2994 NA NA NA NA NA 4509 NA NA NA NA NA
1689022800.0 1325.517 NA 486 0 NA NA NA NA 703 0 NA NA NA NA 2936 196 NA NA NA NA 5701 1534 NA NA NA
1689022800.0 1325.518 NA 519 0 NA NA NA NA 737 0 NA NA NA NA 3959 198 NA NA NA NA 7968 1074 NA NA NA
1689022800.0 1325.9 NA 439 815 0 285 NA NA 637 1097 0 451 NA NA 870 2710 482 337 NA NA 5836 4637 2500 1775 NA
1689022800.0 1325.91 NA 441 804 0 294 NA NA 639 1095 0 452 NA NA 863 2800 471 333 NA NA 3807 7418 1363 1980 NA
1689022800.0 135.11 928 0 416 312 NA NA 1397 0 614 500 NA NA 3294 294 937 416 NA NA 7946 1977 2733 2312 NA NA
1689022800.0 136.737 NA 325 489 0 NA NA NA 496 1079 0 NA NA NA 611 53665 303 NA NA NA 1605 45982 1783 NA NA
1689022800.0 136.74 NA 325 694 0 NA NA NA 491 1118 0 NA NA NA 637 51665 280 NA NA NA 1858 36102 1322 NA NA
1689022800.0 136.744 NA 317 702 0 NA NA NA 501 1120 0 NA NA NA 642 52859 314 NA NA NA 3596 38140 1705 NA NA
1689022800.0 136.748 NA 318 490 0 NA NA NA 495 1056 0 NA NA NA 655 47188 327 NA NA NA 5290 33707 2573 NA NA
1689022800.0 136.774 NA 327 511 0 NA NA NA 496 1062 0 NA NA NA 678 47755 262 NA NA NA 1747 41182 1318 NA NA
1689022800.0 136.843 NA 348 0 NA NA NA NA 524 0 NA NA NA NA 584 0 NA NA NA NA 450 0 NA NA NA
