Timestamp WorkflowId PeakValueRss2 PeakValueVsize2 TotalJobCPU2 TotalJobTime2
1688979600.0 10001.0 303 396 1447 1506
1688979600.0 10002.0 306 402 1448 1574
1688979600.0 10003.0 312 399 1435 1164
1688979600.0 10004.0 308 400 1430 1129
1688979600.0 10005.0 309 402 1439 1133
1688979600.0 10006.0 309 388 1429 1217
1688979600.0 10007.0 308 395 1459 1517
1688979600.0 10008.0 308 408 1458 1540
1688979600.0 10009.0 308 400 1466 1538
1688979600.0 10023.0 310 403 1444 1325
1688979600.0 10024.0 315 397 1508 1516
1688979600.0 10025.0 312 401 1448 1221
1688979600.0 10026.0 315 413 1513 1524
1688979600.0 10042.0 313 395 1461 931
1688979600.0 10059.0 321 403 1514 891
1688979600.0 10071.0 318 400 1487 1226
1688979600.0 10801.0 301 384 1405 854
1688979600.0 10802.0 296 368 1424 1439
1688979600.0 10803.0 298 379 1429 1468
1688979600.0 10804.0 302 381 1406 1194
1688979600.0 10804.31 296 386 1421 1491
1688979600.0 10805.0 302 387 1399 1166
1688979600.0 10805.31 303 388 1405 918
1688979600.0 10806.0 296 386 1420 1430
1688979600.0 10807.0 299 392 1407 1181
1688979600.0 10808.0 302 392 1414 1189
1688979600.0 10809.0 303 392 1416 1336
1688979600.0 10823.0 301 393 1412 1170
1688979600.0 10824.0 305 399 1476 1516
1688979600.0 10824.6 312 398 1458 1311
1688979600.0 10824.8 311 402 1456 868
1688979600.0 10825.0 305 393 1427 917
1688979600.0 10826.0 309 387 1480 1547
1688979600.0 10842.0 304 389 1438 894
1688979600.0 10859.0 314 409 1507 1521
1688979600.0 10871.0 311 403 1461 1259
1688979600.0 1325.0 248 322 452 502
1688979600.0 137.8 203 269 436 564
