Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6
1688979600.0 1.0 133 164 270 NA NA NA 260 237 372 NA NA NA 1349 324 912 NA NA NA 1018 1086 2545 NA NA NA
1688979600.0 1000.0 NA 380 237 0 104 NA NA 517 312 0 162 NA NA 2254 686 291 241 NA NA 2553 986 411 389 NA
1688979600.0 10001.0 NA 282 520 0 143 148 NA 369 799 0 200 227 NA 1466 1562 417 332 430 NA 1487 2796 817 1193 671
1688979600.0 10008.0 NA 278 528 0 170 146 NA 361 803 0 281 226 NA 1476 1570 429 343 440 NA 971 2520 884 1134 787
1688979600.0 10026.0 NA 288 523 0 149 150 NA 382 839 0 212 231 NA 1551 1946 449 325 443 NA 1490 3271 753 683 832
1688979600.0 10224.0 NA 468 724 0 150 NA NA 626 1078 0 227 NA NA 2952 3221 470 457 NA NA 2122 3863 842 808 NA
1688979600.0 10224.15 NA 463 752 0 180 NA NA 624 1093 0 263 NA NA 3020 3367 481 598 NA NA 1929 3703 917 2038 NA
1688979600.0 10225.0 NA 461 761 0 150 NA NA 620 1076 0 230 NA NA 2953 2899 449 477 NA NA 1982 2898 790 1274 NA
1688979600.0 103.0 115 0 0 NA NA NA 194 0 0 NA NA NA 546 126 1162 NA NA NA 833 601 1449 NA NA NA
1688979600.0 106.0 112 0 0 NA NA NA 196 0 0 NA NA NA 551 115 1207 NA NA NA 1020 240 2738 NA NA NA
1688979600.0 107.0 141 162 333 NA NA NA 263 242 474 NA NA NA 1523 330 1436 NA NA NA 1609 922 2195 NA NA NA
1688979600.0 108.0 155 174 355 NA NA NA 271 239 478 NA NA NA 1814 320 1431 NA NA NA 1735 482 1755 NA NA NA
1688979600.0 10802.0 NA 276 495 0 144 152 NA 354 889 0 204 230 NA 1341 1451 396 300 422 NA 897 2640 578 483 615
