Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4
1689066000.0 103.0 73 0 0 NA 3499 0 0 NA 1319 257 3402 NA 1123 274 3650 NA
1689066000.0 10424.0 NA 216 466 0 NA 3685 4022 0 NA 1129 3437 1530 NA 675 2839 1577
1689066000.0 106.0 84 0 0 NA 3499 0 0 NA 1814 296 3906 NA 1552 314 3822 NA
1689066000.0 11224.0 NA 226 480 0 NA 3686 4027 0 NA 900 4999 1685 NA 502 4267 1735
1689066000.0 11634.1 NA 416 261 0 NA 7905 3729 0 NA 2940 2678 1338 NA 2303 2615 1389
1689066000.0 11634.7 NA 437 635 0 NA 7890 4216 0 NA 3673 9499 2231 NA 2531 7880 2285
1689066000.0 11834.24 NA 347 570 0 NA 7491 4166 0 NA 2582 7004 2165 NA 2295 6743 2221
1689066000.0 12034.0 NA 442 626 0 NA 7901 4235 0 NA 3720 8964 2123 NA 2581 7456 2177
1689066000.0 122.0 73 0 0 NA 3496 0 0 NA 1308 211 3879 NA 1118 222 3851 NA
1689066000.0 1325.517 NA 204 0 NA NA 3656 0 NA NA 5872 510 NA NA 3633 551 NA
1689066000.0 136.799 NA 128 664 0 NA 3566 4332 0 NA 1125 29596 1196 NA 624 11686 1271
1689066000.0 136.9 NA 217 188 296 NA 3693 3649 3813 NA 21633 3601 4351 NA 21836 3748 4607
1689066000.0 139.002 NA 366 575 0 NA 7834 4184 0 NA 3671 13280 1596 NA 2799 9656 1645
1689066000.0 144.6 NA 325 NA NA NA 3820 NA NA NA 4487 NA NA NA 3318 NA NA
1689066000.0 158.1 NA 169 490 0 NA 3677 4129 0 NA 608 4421 1538 NA 492 3974 1592
1689066000.0 250203.17 NA 450 584 0 NA 4025 4203 0 NA 19483 5250 1693 NA 5641 3249 1748
1689066000.0 250408.18 1005 0 161 NA 4850 0 3590 NA 2862 905 2144 NA 1784 965 2199 NA
1689066000.0 4.28 NA 87 324 0 NA 3490 3789 0 NA 650 9556 4526 NA 759 7374 4601
1689066000.0 4007.0 73 0 0 NA 3503 0 0 NA 1206 177 3262 NA 1035 261 3409 NA
1689066000.0 4008.0 73 0 0 NA 3499 0 0 NA 1872 277 3896 NA 1614 360 4355 NA
