Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6
1689152400.0 101.0 122 NA NA NA NA NA 3601 NA NA NA NA NA 2300 NA NA NA NA NA 1694 NA NA NA NA NA
1689152400.0 1010.0 NA 66 62 0 NA NA NA 3449 3451 0 NA NA NA 333 538 413 NA NA NA 391 568 442 NA NA
1689152400.0 102.0 123 NA NA NA NA NA 3603 NA NA NA NA NA 2412 NA NA NA NA NA 1820 NA NA NA NA NA
1689152400.0 1020.0 NA 47 60 0 51 NA NA 3465 3441 0 3460 NA NA 504 279 164 410 NA NA 580 316 203 468 NA
1689152400.0 10224.0 NA 423 737 0 132 NA NA 3947 4477 0 3545 NA NA 13470 11655 1846 1123 NA NA 4440 6254 1884 1106 NA
1689152400.0 10224.15 NA 419 730 0 158 NA NA 3922 4410 0 3573 NA NA 13238 11245 1898 1775 NA NA 4290 6450 1953 1591 NA
1689152400.0 103.0 84 0 0 NA NA NA 3499 0 0 NA NA NA 1999 331 3326 NA NA NA 1688 342 3200 NA NA NA
1689152400.0 1040.1 NA 86 45 0 NA NA NA 3496 3429 0 NA NA NA 757 345 281 NA NA NA 843 371 317 NA NA
1689152400.0 1041.0 NA 79 46 0 NA NA NA 3493 3433 0 NA NA NA 619 360 195 NA NA NA 673 392 227 NA NA
1689152400.0 1042.0 NA 83 66 0 NA NA NA 3506 3435 0 NA NA NA 793 448 154 NA NA NA 1046 453 182 NA NA
1689152400.0 1043.0 NA 84 65 0 NA NA NA 3487 3452 0 NA NA NA 824 409 150 NA NA NA 703 428 178 NA NA
1689152400.0 1044.0 NA 82 62 0 NA NA NA 3484 3467 0 NA NA NA 806 628 171 NA NA NA 672 533 201 NA NA
1689152400.0 1045.0 NA 75 74 0 NA NA NA 3486 3462 0 NA NA NA 839 535 146 NA NA NA 732 454 168 NA NA
1689152400.0 105.0 96 146 41 NA NA NA 3559 3538 3425 NA NA NA 4235 840 335 NA NA NA 2444 553 366 NA NA NA
1689152400.0 1052.0 NA 180 111 0 NA NA NA 3667 3552 0 NA NA NA 1423 656 175 NA NA NA 1320 669 198 NA NA
