Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueRss9 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 PeakValueVsize9 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobCPU9 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8 TotalJobTime9
1680642000.0 1.0 103 146 244 NA NA NA NA NA NA 3575 3531 3710 NA NA NA NA NA NA 4115 863 2490 NA NA NA NA NA NA 2197 559 2303 NA NA NA NA NA NA
1680642000.0 10.0 NA 154 333 0 NA NA NA NA NA NA 3598 3862 0 NA NA NA NA NA NA 4397 6552 1288 NA NA NA NA NA NA 2050 3941 1359 NA NA NA NA NA
1680642000.0 1000.0 NA 332 187 0 91 NA NA NA NA NA 3838 3638 0 3461 NA NA NA NA NA 7148 1795 497 321 NA NA NA NA NA 4074 1774 529 322 NA NA NA NA
1680642000.0 10001.0 NA 232 505 0 114 127 NA NA NA NA 3691 4136 0 3515 3536 NA NA NA NA 6626 4759 1314 442 917 NA NA NA NA 2185 4204 1343 503 931 NA NA NA
1680642000.0 10002.0 NA 245 497 0 106 121 NA NA NA NA 3697 4102 0 3511 3530 NA NA NA NA 6987 4214 1027 715 828 NA NA NA NA 2308 3664 1060 722 856 NA NA NA
1680642000.0 10003.0 NA 245 507 0 106 126 NA NA NA NA 3697 4136 0 3516 3540 NA NA NA NA 5869 4066 1140 663 922 NA NA NA NA 1951 3608 1167 659 953 NA NA NA
1680642000.0 10004.0 NA 239 497 0 105 120 NA NA NA NA 3693 4118 0 3513 3542 NA NA NA NA 6889 4697 1094 726 1232 NA NA NA NA 2322 4397 1127 726 1257 NA NA NA
1680642000.0 10005.0 NA 230 507 0 106 121 NA NA NA NA 3693 4104 0 3515 3536 NA NA NA NA 6421 4704 1143 713 791 NA NA NA NA 2072 4146 1176 728 818 NA NA NA
1680642000.0 10006.0 NA 242 499 0 107 128 NA NA NA NA 3686 4120 0 3518 3534 NA NA NA NA 7387 4013 1146 428 882 NA NA NA NA 2382 3606 1182 435 895 NA NA NA
1680642000.0 10007.0 NA 245 504 0 134 120 NA NA NA NA 3698 4112 0 3593 3527 NA NA NA NA 7646 4416 1235 663 1279 NA NA NA NA 2421 3980 1259 657 1310 NA NA NA
1680642000.0 10008.0 NA 248 503 0 136 128 NA NA NA NA 3704 4112 0 3589 3536 NA NA NA NA 7397 4768 1124 1124 699 NA NA NA NA 2366 4530 1153 1227 724 NA NA NA
1680642000.0 10009.0 NA 248 509 0 134 124 NA NA NA NA 3698 4114 0 3587 3527 NA NA NA NA 7687 4244 1190 671 794 NA NA NA NA 2612 3601 1222 678 816 NA NA NA
1680642000.0 1001.0 NA 293 145 0 0 0 0 0 0 NA 3793 3550 0 0 0 0 0 0 NA 6319 824 190 148 251 599 240 568 NA 3948 755 223 177 281 616 261 592
1680642000.0 1001.2 NA 552 180 0 0 0 0 NA NA NA 4296 3642 0 0 0 0 NA NA NA 29852 1875 245 307 263 318 NA NA NA 10239 1059 271 369 296 342 NA NA
1680642000.0 1001.3 NA 537 179 0 NA NA NA NA NA NA 4221 3630 0 NA NA NA NA NA NA 24566 1172 395 NA NA NA NA NA NA 8563 783 440 NA NA NA NA NA
1680642000.0 1002.0 NA 315 89 NA NA NA NA NA NA NA 3829 3482 NA NA NA NA NA NA NA 7293 550 NA NA NA NA NA NA NA 4695 441 NA NA NA NA NA NA
1680642000.0 1002.3 NA 533 179 0 NA NA NA NA NA NA 4218 3633 0 NA NA NA NA NA NA 17973 937 403 NA NA NA NA NA NA 6876 724 454 NA NA NA NA NA
1680642000.0 1002.4 NA 544 0 NA NA NA NA NA NA NA 4254 0 NA NA NA NA NA NA NA 34033 1056 NA NA NA NA NA NA NA 11243 1200 NA NA NA NA NA NA
