Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7
1681246800.0 1000.0 NA 336 187 0 78 NA NA NA 3837 3628 0 3461 NA NA NA 7048 1899 537 394 NA NA NA 4332 1624 572 377 NA NA
1681246800.0 1002.0 NA 315 89 NA NA NA NA NA 3818 3481 NA NA NA NA NA 6927 587 NA NA NA NA NA 4403 453 NA NA NA NA
1681246800.0 1002.4 NA 552 0 NA NA NA NA NA 4238 0 NA NA NA NA NA 21500 1080 NA NA NA NA NA 7516 1120 NA NA NA NA
1681246800.0 1004.0 NA 237 139 0 0 0 0 NA 3705 3510 0 0 0 0 NA 2683 501 142 216 631 716 NA 2087 519 165 240 654 780
1681246800.0 1005.0 NA 176 118 0 NA NA NA NA 3669 3555 0 NA NA NA NA 1155 605 265 NA NA NA NA 1089 619 305 NA NA NA
1681246800.0 101.0 122 NA NA NA NA NA NA 3607 NA NA NA NA NA NA 2523 NA NA NA NA NA NA 1812 NA NA NA NA NA NA
1681246800.0 1010.0 NA 68 83 0 NA NA NA NA 3453 3459 0 NA NA NA NA 321 517 413 NA NA NA NA 389 531 445 NA NA NA
1681246800.0 102.0 123 NA NA NA NA NA NA 3601 NA NA NA NA NA NA 2137 NA NA NA NA NA NA 1589 NA NA NA NA NA NA
1681246800.0 1020.0 NA 55 65 0 43 NA NA NA 3468 3441 0 3467 NA NA NA 270 305 169 411 NA NA NA 338 339 193 468 NA NA
1681246800.0 10224.0 NA 430 728 0 131 NA NA NA 3948 4432 0 3543 NA NA NA 11701 9731 1800 1043 NA NA NA 3809 5546 1858 1045 NA NA
1681246800.0 10225.0 NA 430 728 0 129 NA NA NA 3948 4390 0 3536 NA NA NA 11577 8768 1303 1204 NA NA NA 3846 5284 1345 1197 NA NA
1681246800.0 103.0 85 0 0 NA NA NA NA 3506 0 0 NA NA NA NA 1485 262 3026 NA NA NA NA 1242 276 2946 NA NA NA NA
1681246800.0 1040.1 NA 87 67 0 NA NA NA NA 3505 3430 0 NA NA NA NA 821 283 276 NA NA NA NA 882 316 310 NA NA NA
1681246800.0 1041.0 NA 88 74 0 NA NA NA NA 3493 3441 0 NA NA NA NA 654 350 223 NA NA NA NA 705 393 250 NA NA NA
1681246800.0 1042.0 NA 87 59 0 NA NA NA NA 3509 3436 0 NA NA NA NA 849 417 188 NA NA NA NA 925 416 222 NA NA NA
1681246800.0 10424.0 NA 207 475 0 NA NA NA NA 3650 4033 0 NA NA NA NA 1212 4478 1597 NA NA NA NA 806 3737 1647 NA NA NA
1681246800.0 1043.0 NA 70 76 0 NA NA NA NA 3486 3449 0 NA NA NA NA 864 352 172 NA NA NA NA 732 372 195 NA NA NA
1681246800.0 1044.0 NA 65 68 0 NA NA NA NA 3485 3480 0 NA NA NA NA 809 588 193 NA NA NA NA 693 510 219 NA NA NA
1681246800.0 1045.0 NA 71 72 0 NA NA NA NA 3485 3468 0 NA NA NA NA 817 480 176 NA NA NA NA 694 427 204 NA NA NA
1681246800.0 1052.0 NA 175 112 0 NA NA NA NA 3672 3550 0 NA NA NA NA 1176 553 166 NA NA NA NA 1129 573 189 NA NA NA
1681246800.0 1052.1 NA 102 0 NA NA NA NA NA 3569 0 NA NA NA NA NA 490 172 NA NA NA NA NA 532 202 NA NA NA NA
1681246800.0 106.0 84 0 0 NA NA NA NA 3506 0 0 NA NA NA NA 1743 246 3130 NA NA NA NA 1452 257 3047 NA NA NA NA
1681246800.0 10859.0 NA 246 534 0 125 141 NA NA 3707 4144 0 3519 3550 NA NA 6543 4455 944 533 723 NA NA 2199 3141 970 544 716 NA
1681246800.0 110.0 91 148 315 NA NA NA NA 3515 3533 3781 NA NA NA NA 1807 1049 4211 NA NA NA NA 1443 724 3926 NA NA NA NA
1681246800.0 11024.2 NA 491 827 0 130 NA NA NA 4053 4515 0 3532 NA NA NA 12694 7429 909 531 NA NA NA 4194 3627 946 522 NA NA
1681246800.0 11224.0 NA 231 484 0 NA NA NA NA 3661 4021 0 NA NA NA NA 1401 5530 1683 NA NA NA NA 853 4551 1741 NA NA NA
1681246800.0 11224.6 NA 208 475 0 NA NA NA NA 3658 4026 0 NA NA NA NA 1354 4874 1278 NA NA NA NA 869 3966 1322 NA NA NA
1681246800.0 11601.0 NA 408 649 0 115 NA NA NA 7874 4298 0 3528 NA NA NA 2209 6337 1860 830 NA NA NA 1638 5677 1927 750 NA NA
1681246800.0 11603.0 NA 412 653 0 117 NA NA NA 7870 4257 0 3530 NA NA NA 1791 8035 1922 730 NA NA NA 1370 7075 1989 675 NA NA
1681246800.0 11604.0 NA 415 643 0 126 NA NA NA 7636 4261 0 3529 NA NA NA 2228 7808 1860 804 NA NA NA 1648 7050 1919 738 NA NA
1681246800.0 11605.0 NA 400 653 0 123 NA NA NA 7663 4270 0 3524 NA NA NA 2085 4738 1868 706 NA NA NA 1503 4163 1938 644 NA NA
1681246800.0 11607.0 NA 411 645 0 140 NA NA NA 7886 4260 0 3561 NA NA NA 2000 5071 1948 839 NA NA NA 1471 4351 2006 758 NA NA
1681246800.0 11609.0 NA 417 639 0 137 NA NA NA 7879 4278 0 3567 NA NA NA 1968 5109 1678 667 NA NA NA 1406 4421 1729 618 NA NA
1681246800.0 11630.0 NA 450 673 0 145 NA NA NA 7913 4341 0 3532 NA NA NA 3619 6438 1888 585 NA NA NA 2286 4429 1939 540 NA NA
1681246800.0 11634.0 NA 434 668 0 126 NA NA NA 7895 4280 0 3529 NA NA NA 2359 9390 2059 562 NA NA NA 1580 7664 2126 524 NA NA
1681246800.0 11634.1 NA 429 290 0 NA NA NA NA 7886 3787 0 NA NA NA NA 3588 2048 1306 NA NA NA NA 2502 1684 1340 NA NA NA
1681246800.0 11634.15 NA 436 685 0 120 NA NA NA 7886 4296 0 3527 NA NA NA 2208 5622 1866 814 NA NA NA 1456 4583 1940 724 NA NA
1681246800.0 11634.24 NA 339 580 0 109 NA NA NA 7487 4228 0 3516 NA NA NA 1590 4582 1937 521 NA NA NA 1408 4179 2005 486 NA NA
1681246800.0 11634.5 NA 429 145 0 NA NA NA NA 7894 3623 0 NA NA NA NA 3156 1999 526 NA NA NA NA 2242 1874 555 NA NA NA
1681246800.0 11634.501 NA 427 203 0 NA NA NA NA 7918 7262 0 NA NA NA NA 3306 1973 613 NA NA NA NA 2263 1828 651 NA NA NA
1681246800.0 11634.505 NA 425 198 0 NA NA NA NA 7886 7242 0 NA NA NA NA 3191 1948 698 NA NA NA NA 2218 1819 738 NA NA NA
1681246800.0 11634.511 NA 427 132 0 NA NA NA NA 7896 3550 0 NA NA NA NA 3350 1272 415 NA NA NA NA 2658 1230 445 NA NA NA
1681246800.0 11634.521 NA 423 126 0 NA NA NA NA 7903 3533 0 NA NA NA NA 3046 1241 426 NA NA NA NA 2272 1179 454 NA NA NA
1681246800.0 11634.7 NA 432 669 0 NA NA NA NA 7897 4296 0 NA NA NA NA 2285 8991 1821 NA NA NA NA 1564 7327 1875 NA NA NA
1681246800.0 11634.91 NA 429 663 0 121 NA NA NA 7897 4306 0 3530 NA NA NA 2371 8873 2022 809 NA NA NA 1616 7238 2086 725 NA NA
1681246800.0 11634.911 111 429 668 0 136 NA NA 3545 7871 4303 0 3562 NA NA 10153 7772 11903 3704 3534 NA NA 4619 4688 8296 3758 2410 NA NA
1681246800.0 11634.914 100 423 656 0 139 NA NA 3524 7864 4261 0 3563 NA NA 8678 2912 9010 1461 905 NA NA 3617 1983 7294 1495 855 NA NA
1681246800.0 11643.0 NA 429 659 0 118 NA NA NA 7890 4300 0 3525 NA NA NA 2292 8304 2084 628 NA NA NA 1604 7005 2160 564 NA NA
1681246800.0 11646.0 NA 409 658 0 118 NA NA NA 7870 4297 0 3532 NA NA NA 1939 8221 1949 819 NA NA NA 1416 7160 2031 744 NA NA
