Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueRss9 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 PeakValueVsize9 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobCPU9 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8 TotalJobTime9
1681246800.0 1.0 125 161 257 NA NA NA NA NA NA 277 240 400 NA NA NA NA NA NA 929 295 719 NA NA NA NA NA NA 1072 603 998 NA NA NA NA NA NA
1681246800.0 10001.0 NA 261 556 0 133 139 NA NA NA NA 396 823 0 215 241 NA NA NA NA 1186 1383 400 329 366 NA NA NA NA 783 1860 484 769 401 NA NA NA
1681246800.0 10002.0 NA 277 538 0 134 139 NA NA NA NA 399 846 0 215 242 NA NA NA NA 1238 1237 352 237 368 NA NA NA NA 995 1229 399 267 509 NA NA NA
1681246800.0 10003.0 NA 262 547 0 133 140 NA NA NA NA 396 825 0 222 248 NA NA NA NA 1187 1252 360 273 355 NA NA NA NA 798 1654 453 465 442 NA NA NA
1681246800.0 10005.0 NA 278 574 0 133 138 NA NA NA NA 406 794 0 213 239 NA NA NA NA 1207 1217 339 277 345 NA NA NA NA 806 1440 410 421 450 NA NA NA
1681246800.0 10006.0 NA 261 607 0 133 135 NA NA NA NA 410 809 0 215 228 NA NA NA NA 1171 1230 354 260 342 NA NA NA NA 552 1270 396 308 529 NA NA NA
1681246800.0 10008.0 NA 287 539 0 162 137 NA NA NA NA 399 831 0 299 239 NA NA NA NA 1157 1252 359 270 363 NA NA NA NA 487 1233 400 314 520 NA NA NA
1681246800.0 1001.0 NA 320 170 0 0 0 0 0 0 NA 476 274 0 0 0 0 0 0 NA 1804 351 77 62 74 179 89 186 NA 1958 726 317 225 166 221 152 264
1681246800.0 1001.2 NA 546 173 0 0 0 0 NA NA NA 1002 350 0 0 0 0 NA NA NA 29877 1719 261 321 284 460 NA NA NA 12279 1084 283 401 308 500 NA NA
1681246800.0 1002.4 NA 578 0 NA NA NA NA NA NA NA 943 0 NA NA NA NA NA NA NA 7679 353 NA NA NA NA NA NA NA 2912 404 NA NA NA NA NA NA
1681246800.0 10024.1 NA 241 258 0 NA NA NA NA NA NA 427 509 0 NA NA NA NA NA NA 2890 1586 864 NA NA NA NA NA NA 1131 1409 950 NA NA NA NA NA
1681246800.0 10024.3 NA 243 245 0 NA NA NA NA NA NA 428 510 0 NA NA NA NA NA NA 2856 1532 858 NA NA NA NA NA NA 1174 1335 898 NA NA NA NA NA
1681246800.0 10024.5 NA 291 142 0 NA NA NA NA NA NA 422 303 0 NA NA NA NA NA NA 1182 368 209 NA NA NA NA NA NA 492 399 337 NA NA NA NA NA
1681246800.0 10025.0 NA 265 561 0 134 140 NA NA NA NA 410 822 0 214 245 NA NA NA NA 1185 1257 370 276 354 NA NA NA NA 792 1365 446 492 438 NA NA NA
1681246800.0 10026.0 NA 275 605 0 138 142 NA NA NA NA 422 815 0 230 247 NA NA NA NA 1209 1490 364 244 369 NA NA NA NA 572 1314 402 270 386 NA NA NA
1681246800.0 1003.0 NA 331 0 NA NA NA NA NA NA NA 672 0 NA NA NA NA NA NA NA 5168 525 NA NA NA NA NA NA NA 2882 588 NA NA NA NA NA NA
1681246800.0 1004.0 NA 253 143 0 0 0 0 NA NA NA 411 225 0 0 0 0 NA NA NA 726 179 57 82 194 192 NA NA NA 1092 329 135 187 289 290 NA NA
1681246800.0 1005.0 NA 174 103 0 NA NA NA NA NA NA 374 268 0 NA NA NA NA NA NA 1614 487 210 NA NA NA NA NA NA 1647 533 244 NA NA NA NA NA
1681246800.0 10059.0 NA 294 650 0 136 144 NA NA NA NA 425 872 0 227 247 NA NA NA NA 1208 1788 375 239 401 NA NA NA NA 522 1426 447 267 539 NA NA NA
1681246800.0 101.0 112 NA NA NA NA NA NA NA NA 313 NA NA NA NA NA NA NA NA 2399 NA NA NA NA NA NA NA NA 1892 NA NA NA NA NA NA NA NA
1681246800.0 1010.0 NA 50 54 0 NA NA NA NA NA NA 166 174 0 NA NA NA NA NA NA 361 508 563 NA NA NA NA NA NA 473 556 624 NA NA NA NA NA
1681246800.0 102.0 111 NA NA NA NA NA NA NA NA 306 NA NA NA NA NA NA NA NA 2089 NA NA NA NA NA NA NA NA 1711 NA NA NA NA NA NA NA NA
1681246800.0 1020.0 NA 40 33 0 39 NA NA NA NA NA 179 156 0 177 NA NA NA NA NA 512 433 209 515 NA NA NA NA NA 593 493 239 591 NA NA NA NA
1681246800.0 10224.0 NA 412 714 0 117 NA NA NA NA NA 661 1135 0 253 NA NA NA NA NA 7064 6260 1020 878 NA NA NA NA NA 5779 3685 1067 892 NA NA NA NA
1681246800.0 10224.15 NA 449 758 0 174 NA NA NA NA NA 645 1087 0 284 NA NA NA NA NA 2457 2501 408 464 NA NA NA NA NA 1735 2189 577 754 NA NA NA NA
1681246800.0 10225.0 NA 441 854 0 140 NA NA NA NA NA 639 1090 0 246 NA NA NA NA NA 2399 2374 373 334 NA NA NA NA NA 1892 2237 494 456 NA NA NA NA
1681246800.0 103.0 108 143 321 NA NA NA NA NA NA 229 240 495 NA NA NA NA NA NA 535 216 1130 NA NA NA NA NA NA 664 309 1232 NA NA NA NA NA NA
1681246800.0 1030.0 NA 217 58 0 0 NA NA NA NA NA 520 165 0 0 NA NA NA NA NA 10388 282 121 108 NA NA NA NA NA 3595 290 151 131 NA NA NA NA
1681246800.0 1040.0 NA 536 66 0 NA NA NA NA NA NA 947 148 0 NA NA NA NA NA NA 7002 110 84 NA NA NA NA NA NA 2809 170 116 NA NA NA NA NA
1681246800.0 1040.1 NA 72 48 0 NA NA NA NA NA NA 219 145 0 NA NA NA NA NA NA 1299 367 325 NA NA NA NA NA NA 1436 426 379 NA NA NA NA NA
1681246800.0 1041.0 NA 87 56 0 NA NA NA NA NA NA 207 154 0 NA NA NA NA NA NA 584 478 256 NA NA NA NA NA NA 727 544 299 NA NA NA NA NA
