Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6
1689109200.0 1000.0 NA 345 220 0 93 NA NA 528 345 0 174 NA NA 1977 602 273 207 NA NA 1238 905 337 259 NA
1689109200.0 10001.0 NA 266 522 0 132 140 NA 406 820 0 212 239 NA 1158 1225 362 277 362 NA 492 1205 479 393 547
1689109200.0 10002.0 NA 229 492 0 97 109 NA 410 827 0 214 249 NA 3856 4605 1172 755 892 NA 1565 4362 1271 826 929
1689109200.0 10003.0 NA 268 529 0 132 140 NA 400 814 0 219 241 NA 1185 1241 355 276 367 NA 534 1187 481 374 523
1689109200.0 10005.0 NA 288 495 0 132 121 NA 409 801 0 218 237 NA 1165 1283 356 276 355 NA 532 1250 395 517 446
1689109200.0 10009.0 NA 225 499 0 127 119 NA 419 803 0 290 243 NA 2956 5137 1232 809 1195 NA 5591 5669 1297 879 1303
1689109200.0 10024.0 NA 240 511 0 129 122 NA 422 836 0 293 249 NA 3459 6109 1380 948 1259 NA 5747 5223 1438 1006 1356
1689109200.0 10024.1 NA 279 288 0 NA NA NA 427 521 0 NA NA NA 1210 574 325 NA NA NA 601 751 430 NA NA
1689109200.0 10042.0 NA 270 531 0 163 139 NA 428 874 0 295 245 NA 1212 1270 376 280 353 NA 560 1149 575 393 584
1689109200.0 1005.0 NA 163 107 0 NA NA NA 375 269 0 NA NA NA 1228 541 257 NA NA NA 3047 1292 585 NA NA
1689109200.0 101.0 124 NA NA NA NA NA 318 NA NA NA NA NA 1983 NA NA NA NA NA 4278 NA NA NA NA NA
1689109200.0 1010.0 NA 50 68 0 NA NA NA 164 172 0 NA NA NA 433 491 412 NA NA NA 1890 2395 1385 NA NA
1689109200.0 102.0 113 NA NA NA NA NA 301 NA NA NA NA NA 1911 NA NA NA NA NA 4278 NA NA NA NA NA
1689109200.0 1020.0 NA 50 45 0 43 NA NA 180 152 0 178 NA NA 478 373 184 449 NA NA 2357 1228 645 1008 NA
1689109200.0 103.0 108 147 320 NA NA NA 232 244 491 NA NA NA 489 181 1126 NA NA NA 448 197 1403 NA NA NA
1689109200.0 1040.1 NA 74 37 0 NA NA NA 210 143 0 NA NA NA 937 362 286 NA NA NA 2461 1122 526 NA NA
1689109200.0 1041.0 NA 72 56 0 NA NA NA 209 152 0 NA NA NA 620 398 210 NA NA NA 1972 1101 537 NA NA
1689109200.0 1042.0 NA 81 47 0 NA NA NA 214 149 0 NA NA NA 894 398 206 NA NA NA 2446 1116 540 NA NA
1689109200.0 1043.0 NA 78 42 0 NA NA NA 188 156 0 NA NA NA 536 437 192 NA NA NA 1002 2358 1107 NA NA
1689109200.0 1044.0 NA 55 57 0 NA NA NA 191 184 0 NA NA NA 667 539 208 NA NA NA 2650 1479 566 NA NA
1689109200.0 1045.0 NA 58 63 0 NA NA NA 194 172 0 NA NA NA 723 448 204 NA NA NA 2617 1741 583 NA NA
1689109200.0 1052.0 NA 162 104 0 NA NA NA 363 261 0 NA NA NA 1340 555 187 NA NA NA 2980 1488 335 NA NA
1689109200.0 1052.1 NA 97 0 NA NA NA NA 272 0 NA NA NA NA 663 206 NA NA NA NA 2709 1371 NA NA NA
1689109200.0 10801.0 NA 259 514 0 98 143 NA 408 819 0 213 254 NA 1153 1311 376 283 384 NA 554 1309 458 731 490
1689109200.0 10804.0 NA 281 513 0 97 121 NA 398 809 0 216 259 NA 1154 1208 390 285 366 NA 547 1170 535 704 443
1689109200.0 10805.0 NA 228 480 0 97 121 NA 406 823 0 221 242 NA 2957 4866 1383 847 1243 NA 5645 5612 1445 921 1348
1689109200.0 10807.0 NA 259 517 0 133 142 NA 416 822 0 294 246 NA 1158 1244 374 290 371 NA 515 1176 500 721 489
1689109200.0 10824.5 NA 269 174 0 NA NA NA 402 300 0 NA NA NA 1181 418 174 NA NA NA 713 709 225 NA NA
