Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4
1681333200.0 107.0 111 148 308 NA 283 260 504 NA 1485 332 1426 NA 1242 1021 2619 NA
1681333200.0 108.0 110 141 311 NA 286 263 500 NA 1845 354 1415 NA 1609 624 1642 NA
1681333200.0 111.0 102 140 311 NA 285 260 486 NA 1060 299 1340 NA 1197 1470 1573 NA
1681333200.0 113.0 114 141 307 NA 294 262 495 NA 1410 331 1396 NA 1640 921 2624 NA
1681333200.0 114.0 115 148 305 NA 295 263 482 NA 1497 328 1366 NA 1225 712 1738 NA
1681333200.0 115.0 112 148 312 NA 283 257 494 NA 1565 331 1377 NA 1455 723 1751 NA
1681333200.0 116.0 115 142 297 NA 293 264 508 NA 1707 343 1453 NA 1889 620 2964 NA
1681333200.0 117.0 96 141 305 NA 277 259 506 NA 1828 345 1444 NA 1875 724 2430 NA
1681333200.0 120.0 88 133 282 NA 228 252 493 NA 546 329 1362 NA 1004 1312 2838 NA
1681333200.0 121.0 115 143 310 NA 288 265 530 NA 2396 349 1507 NA 1885 445 1790 NA
1681333200.0 125.0 110 149 291 NA 293 263 503 NA 1586 337 1449 NA 1443 1110 2973 NA
1681333200.0 126.0 90 136 302 NA 242 254 498 NA 963 306 1313 NA 1176 965 1614 NA
1681333200.0 128.0 87 143 300 NA 217 247 491 NA 524 310 1315 NA 863 973 2340 NA
1681333200.0 129.0 87 138 291 NA 218 256 478 NA 526 309 1299 NA 965 916 1767 NA
1681333200.0 130.0 83 134 296 NA 228 256 483 NA 554 314 1292 NA 950 676 1542 NA
1681333200.0 132.0 107 143 318 NA 295 265 492 NA 1808 356 1407 NA 1600 680 1592 NA
1681333200.0 133.0 118 142 314 NA 297 262 487 NA 2371 372 1607 NA 1563 1187 3002 NA
1681333200.0 134.901 NA 48 329 0 NA 175 556 0 NA 153 3403 310 NA 413 3765 556
1681333200.0 136.823 NA 131 582 0 NA 257 1041 0 NA 405 10826 316 NA 618 5863 684
1681333200.0 144.6 NA 281 NA NA NA 514 NA NA NA 2723 NA NA NA 3992 NA NA
1681333200.0 21061.97 940 NA NA NA 1503 NA NA NA 8330 NA NA NA 5997 NA NA NA
1681333200.0 23634.21 NA 349 236 182 NA 608 491 338 NA 1750 1441 1306 NA 1785 1502 1768
1681333200.0 23861.97 955 NA NA NA 1606 NA NA NA 8084 NA NA NA 5955 NA NA NA
1681333200.0 3.0 99 128 218 NA 276 253 419 NA 3189 305 1072 NA 2094 1147 1910 NA
1681333200.0 500200.1 108 237 280 NA 273 376 451 NA 1593 461 1579 NA 1718 1370 1451 NA
1681333200.0 537.0 62 0 NA NA 189 0 NA NA 3770 144 NA NA 4907 406 NA NA
