Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7
1680991200.0 1.0 72 137 183 NA NA NA NA 189 540 312 NA NA NA NA 1492 395 1171 NA NA NA NA 1380 961 2141 NA NA NA NA
1680991200.0 1000.0 NA 281 156 0 56 NA NA NA 422 280 0 100 NA NA NA 2420 1131 692 267 NA NA NA 3447 1908 913 417 NA NA
1680991200.0 10002.0 NA 156 349 0 70 NA NA NA 605 545 0 133 NA NA NA 581 1842 962 244 NA NA NA 917 3384 1608 475 NA NA
1680991200.0 10003.0 NA 160 353 0 71 NA NA NA 556 545 0 135 NA NA NA 592 1851 989 242 NA NA NA 862 3411 1751 455 NA NA
1680991200.0 10006.0 NA 157 340 0 70 NA NA NA 558 556 0 134 NA NA NA 588 1800 953 247 NA NA NA 1131 3965 1378 567 NA NA
1680991200.0 10008.0 NA 155 350 0 75 NA NA NA 603 546 0 124 NA NA NA 594 1847 964 232 NA NA NA 834 3201 1162 416 NA NA
1680991200.0 10009.0 NA 159 353 0 71 NA NA NA 602 526 0 128 NA NA NA 598 1902 966 250 NA NA NA 974 3540 1422 1201 NA NA
1680991200.0 10024.2 NA 168 361 0 NA NA NA NA 605 573 0 NA NA NA NA 677 2051 986 NA NA NA NA 1357 3340 2307 NA NA NA
1680991200.0 10025.0 NA 164 357 0 71 NA NA NA 600 567 0 129 NA NA NA 631 1898 988 506 NA NA NA 652 3490 1514 732 NA NA
1680991200.0 10026.0 NA 178 373 0 71 NA NA NA 606 566 0 136 NA NA NA 705 2300 992 262 NA NA NA 1040 3019 1654 943 NA NA
1680991200.0 1003.0 NA 252 0 NA NA NA NA NA 377 0 NA NA NA NA NA 2557 564 NA NA NA NA NA 2741 1219 NA NA NA NA
1680991200.0 1004.0 NA 227 97 0 0 0 0 NA 359 157 0 0 0 0 NA 817 285 72 114 247 252 NA 1809 496 194 333 298 313
1680991200.0 10042.0 NA 161 358 0 71 NA NA NA 606 555 0 133 NA NA NA 653 1883 984 251 NA NA NA 1792 3134 1215 1274 NA NA
1680991200.0 1010.0 NA 27 44 0 NA NA NA NA 85 99 0 NA NA NA NA 126 190 133 NA NA NA NA 472 1095 304 NA NA NA
1680991200.0 10224.0 NA 324 603 0 NA NA NA NA 621 905 0 NA NA NA NA 2609 4095 1026 NA NA NA NA 2271 5930 2489 NA NA NA
1680991200.0 103.0 66 171 266 NA NA NA NA 161 583 411 NA NA NA NA 972 313 1601 NA NA NA NA 1506 511 2735 NA NA NA NA
