Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5
1681128000.0 107.0 87 119 270 NA NA 290 268 512 NA NA 1678 373 1537 NA NA 1743 1981 2210 NA NA
1681128000.0 108.0 88 122 276 NA NA 290 267 504 NA NA 2150 384 1632 NA NA 2623 2770 2635 NA NA
1681128000.0 109.0 85 121 277 NA NA 287 268 498 NA NA 2191 375 1625 NA NA 1967 982 2305 NA NA
1681128000.0 110.0 69 113 266 NA NA 236 255 495 NA NA 647 344 1444 NA NA 1524 862 2276 NA NA
1681128000.0 111.0 88 117 269 NA NA 285 263 502 NA NA 1120 325 1483 NA NA 1489 2083 2659 NA NA
1681128000.0 112.0 78 116 266 NA NA 284 260 489 NA NA 1492 365 1531 NA NA 1659 2035 2934 NA NA
1681128000.0 113.0 90 119 268 NA NA 287 264 510 NA NA 1520 368 1514 NA NA 1408 769 2599 NA NA
1681128000.0 114.0 90 122 269 NA NA 290 264 506 NA NA 1662 369 1587 NA NA 1616 964 2905 NA NA
1681128000.0 115.0 84 130 274 NA NA 282 267 501 NA NA 1852 369 1567 NA NA 1363 819 2352 NA NA
1681128000.0 116.0 91 134 275 NA NA 298 263 505 NA NA 1834 370 1580 NA NA 1315 609 2409 NA NA
1681128000.0 117.0 90 121 276 NA NA 290 268 497 NA NA 1990 379 1622 NA NA 1391 695 2692 NA NA
1681128000.0 118.0 89 122 280 NA NA 295 269 504 NA NA 2490 381 1692 NA NA 2085 654 2606 NA NA
1681128000.0 119.0 90 117 269 NA NA 286 267 503 NA NA 1367 364 1554 NA NA 3186 2017 2595 NA NA
1681128000.0 120.0 63 120 260 NA NA 234 265 503 NA NA 583 337 1476 NA NA 1487 659 2596 NA NA
1681128000.0 121.0 92 121 277 NA NA 306 265 525 NA NA 2651 389 1718 NA NA 1639 597 2547 NA NA
1681128000.0 125.0 93 121 270 NA NA 290 267 498 NA NA 1740 367 1526 NA NA 1365 569 2841 NA NA
1681128000.0 126.0 70 116 264 NA NA 249 260 496 NA NA 1074 353 1485 NA NA 1880 1283 2163 NA NA
1681128000.0 127.0 66 113 264 NA NA 224 263 481 NA NA 803 345 1450 NA NA 2091 883 2392 NA NA
1681128000.0 128.0 66 115 261 NA NA 222 260 489 NA NA 561 340 1433 NA NA 1760 1378 2280 NA NA
1681128000.0 129.0 68 114 260 NA NA 226 264 498 NA NA 564 340 1462 NA NA 2026 810 3605 NA NA
1681128000.0 130.0 68 114 260 NA NA 235 256 494 NA NA 603 351 1485 NA NA 2136 2365 2794 NA NA
1681128000.0 1303.0 87 159 211 NA NA 266 305 469 NA NA 4259 368 1366 NA NA 3999 688 1716 NA NA
1681128000.0 131.0 69 111 264 NA NA 249 256 496 NA NA 874 347 1479 NA NA 1015 1166 2280 NA NA
1681128000.0 132.0 82 116 277 NA NA 288 268 509 NA NA 1951 386 1627 NA NA 1617 931 2526 NA NA
1681128000.0 133.0 90 122 281 NA NA 287 267 492 NA NA 2616 392 1737 NA NA 1842 1526 3270 NA NA
1681128000.0 1356.0 95 152 327 0 127 282 308 601 0 304 1789 387 1640 413 653 2799 758 4471 832 1187
1681128000.0 144.6 NA 278 NA NA NA NA 533 NA NA NA NA 2622 NA NA NA NA 4163 NA NA NA
1681128000.0 20834.21 NA 328 216 154 NA NA 605 466 337 NA NA 1862 1554 1375 NA NA 2116 2412 1559 NA
1681128000.0 21061.97 856 NA NA NA NA 1511 NA NA NA NA 7948 NA NA NA NA 5824 NA NA NA NA
1681128000.0 23861.97 899 NA NA NA NA 1479 NA NA NA NA 7649 NA NA NA NA 5667 NA NA NA NA
1681128000.0 24034.0 NA 439 419 0 133 NA 682 690 0 296 NA 1887 2848 586 1164 NA 2306 4203 1195 1539
1681128000.0 2500.332 NA 171 0 NA NA NA 364 0 NA NA NA 13594 177 NA NA NA 6918 558 NA NA
