Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6
1689238800.0 1.0 153 166 272 NA NA NA 285 259 408 NA NA NA 1243 316 884 NA NA NA 1963 802 2014 NA NA NA
1689238800.0 1000.0 NA 372 239 0 106 NA NA 523 334 0 188 NA NA 2277 697 300 241 NA NA 2431 1262 507 322 NA
1689238800.0 10001.0 NA 285 540 0 145 149 NA 392 817 0 225 257 NA 1660 1550 420 334 434 NA 1528 3151 840 846 797
1689238800.0 10002.0 NA 281 543 0 146 149 NA 388 818 0 227 252 NA 1562 1465 409 317 417 NA 853 2422 744 868 744
1689238800.0 10003.0 NA 287 543 0 145 150 NA 396 824 0 234 253 NA 1640 1571 432 331 440 NA 942 3416 819 622 868
1689238800.0 10004.0 NA 284 541 0 146 149 NA 392 835 0 227 259 NA 1568 1453 394 315 408 NA 1389 2904 549 869 744
1689238800.0 10005.0 NA 285 533 0 146 150 NA 395 815 0 226 258 NA 1578 1466 396 313 417 NA 1378 2773 543 713 742
1689238800.0 10006.0 NA 283 540 0 145 145 NA 386 927 0 231 250 NA 1557 1443 402 316 404 NA 1006 2720 637 1021 877
1689238800.0 10007.0 NA 289 542 0 176 149 NA 412 824 0 311 254 NA 1575 1470 406 330 413 NA 1014 2381 725 731 863
1689238800.0 10008.0 NA 289 545 0 176 149 NA 390 820 0 311 248 NA 1571 1475 414 328 410 NA 1245 2317 803 753 543
1689238800.0 10009.0 NA 287 544 0 176 150 NA 393 827 0 305 257 NA 1581 1507 409 327 416 NA 1223 2907 580 721 743
1689238800.0 1001.3 NA 592 219 0 NA NA NA 956 356 0 NA NA NA 7545 797 229 NA NA NA 3584 876 391 NA NA
1689238800.0 10023.0 NA 285 541 0 146 146 NA 386 812 0 228 255 NA 1582 1479 408 318 385 NA 1435 2609 668 867 433
1689238800.0 10024.0 NA 294 557 0 178 153 NA 398 849 0 315 262 NA 1602 1703 434 327 435 NA 1254 3156 599 790 906
1689238800.0 10024.4 NA 294 541 0 NA NA NA 408 860 0 NA NA NA 1612 1637 417 NA NA NA 947 1851 855 NA NA
1689238800.0 10025.0 NA 287 547 0 146 150 NA 388 841 0 233 250 NA 1575 1500 430 320 400 NA 1049 2664 741 845 445
1689238800.0 10026.0 NA 299 563 0 149 152 NA 417 858 0 237 259 NA 1712 1925 460 345 450 NA 1216 2829 901 1100 753
1689238800.0 10042.0 NA 287 550 0 178 149 NA 398 880 0 309 246 NA 1600 1518 428 332 400 NA 1112 2556 695 930 451
1689238800.0 10059.0 NA 298 562 0 150 152 NA 407 868 0 236 255 NA 1710 2276 455 350 458 NA 1329 3760 775 1092 925
1689238800.0 10071.0 NA 293 555 0 148 152 NA 400 837 0 235 252 NA 1680 1698 447 338 455 NA 1251 2925 665 791 932
1689238800.0 101.0 167 NA NA NA NA NA 318 NA NA NA NA NA 737 NA NA NA NA NA 885 NA NA NA NA NA
1689238800.0 102.0 167 NA NA NA NA NA 299 NA NA NA NA NA 686 NA NA NA NA NA 797 NA NA NA NA NA
1689238800.0 10224.0 NA 476 786 0 152 NA NA 682 1105 0 259 NA NA 3155 3239 472 456 NA NA 2562 3622 790 910 NA
1689238800.0 10224.15 NA 450 786 0 184 NA NA 658 1135 0 296 NA NA 3016 3033 473 577 NA NA 2258 4201 1067 991 NA
1689238800.0 10225.0 NA 464 787 0 151 NA NA 693 1080 0 256 NA NA 3013 2889 458 452 NA NA 3722 3574 811 925 NA
1689238800.0 103.0 117 0 0 NA NA NA 222 0 0 NA NA NA 577 119 1170 NA NA NA 1042 411 2179 NA NA NA
1689238800.0 10424.0 NA 249 521 0 NA NA NA 359 744 0 NA NA NA 381 1689 440 NA NA NA 1086 2798 569 NA NA
1689238800.0 106.0 120 0 0 NA NA NA 223 0 0 NA NA NA 558 114 1197 NA NA NA 834 290 2541 NA NA NA
1689238800.0 107.0 156 176 354 NA NA NA 292 274 498 NA NA NA 1540 323 1404 NA NA NA 1114 1045 2035 NA NA NA
1689238800.0 108.0 153 176 357 NA NA NA 293 276 511 NA NA NA 1942 332 1459 NA NA NA 1630 792 2225 NA NA NA
1689238800.0 10801.0 NA 277 526 0 146 152 NA 392 811 0 227 257 NA 1550 1488 399 314 427 NA 1622 2738 537 773 730
1689238800.0 10802.0 NA 279 530 0 147 153 NA 396 831 0 232 256 NA 1610 1564 426 341 450 NA 1194 3078 817 1120 794
1689238800.0 10803.0 NA 278 536 0 146 153 NA 381 835 0 228 264 NA 1619 1571 431 339 457 NA 1146 3432 937 836 766
1689238800.0 10804.0 NA 270 533 0 146 152 NA 376 824 0 227 262 NA 1533 1438 403 319 417 NA 1090 2383 721 657 537
1689238800.0 10804.31 NA 272 512 0 143 149 NA 393 916 0 232 251 NA 1535 1562 431 326 424 NA 1642 6526 1035 1089 660
1689238800.0 10805.0 NA 276 532 0 147 150 NA 385 833 0 237 254 NA 1523 1489 402 319 421 NA 986 3057 573 850 549
1689238800.0 10806.0 NA 278 533 0 145 149 NA 380 822 0 232 255 NA 1540 1447 409 315 415 NA 1551 2251 792 810 746
1689238800.0 10807.0 NA 270 535 0 175 152 NA 390 810 0 308 255 NA 1631 1552 422 341 440 NA 1483 2903 683 771 650
1689238800.0 10808.0 NA 279 528 0 173 151 NA 390 823 0 310 258 NA 1621 1602 435 356 444 NA 1194 3487 899 1425 791
1689238800.0 10809.0 NA 274 531 0 174 153 NA 389 847 0 307 263 NA 1614 1631 436 342 467 NA 1227 2710 828 787 1328
1689238800.0 10823.0 NA 277 515 0 145 150 NA 400 816 0 231 249 NA 1595 1541 442 335 427 NA 1591 2809 897 798 538
1689238800.0 10824.0 NA 290 545 0 177 156 NA 398 836 0 312 256 NA 1665 1731 449 356 452 NA 1714 2982 739 1225 582
1689238800.0 10824.6 NA 287 550 0 176 154 NA 400 829 0 313 258 NA 1641 1682 457 347 463 NA 1786 2487 792 976 879
1689238800.0 10824.8 NA 287 551 0 176 155 NA 400 848 0 313 257 NA 1654 1724 466 346 461 NA 1355 2950 838 647 694
1689238800.0 10825.0 NA 282 541 0 148 152 NA 394 846 0 236 257 NA 1648 1636 445 333 448 NA 1507 3129 703 888 888
1689238800.0 10826.0 NA 288 555 0 150 155 NA 407 948 0 239 261 NA 1673 1785 451 335 447 NA 1603 2473 718 657 580
1689238800.0 10842.0 NA 280 537 0 178 153 NA 396 858 0 303 256 NA 1559 1580 427 326 430 NA 1221 2764 621 852 798
1689238800.0 10859.0 NA 296 562 0 149 154 NA 397 857 0 235 257 NA 1684 2405 463 336 474 NA 1516 2961 987 690 1237
1689238800.0 10871.0 NA 287 540 0 149 154 NA 401 858 0 235 266 NA 1653 1770 456 346 478 NA 1560 3536 983 1283 1433
1689238800.0 109.0 155 177 357 NA NA NA 291 276 510 NA NA NA 1962 341 1483 NA NA NA 1566 1261 1879 NA NA NA
1689238800.0 11.0 NA 189 377 0 121 NA NA 283 528 0 205 NA NA 1127 1602 422 250 NA NA 1012 3336 765 461 NA
1689238800.0 110.0 124 162 345 NA NA NA 234 264 502 NA NA NA 609 319 1348 NA NA NA 1403 747 2323 NA NA NA
1689238800.0 11024.0 NA 499 879 0 155 NA NA 724 1210 0 257 NA NA 3888 3677 459 449 NA NA 2794 3240 650 852 NA
1689238800.0 11024.15 NA 546 872 0 186 NA NA 771 1211 0 283 NA NA 3907 3791 473 545 NA NA 3427 4013 1089 841 NA
1689238800.0 11024.6 NA 517 858 0 156 NA NA 737 1217 0 266 NA NA 3840 3662 458 433 NA NA 2524 4073 796 534 NA
1689238800.0 11025.0 NA 520 866 0 154 NA NA 749 1187 0 260 NA NA 3884 3607 449 442 NA NA 2353 3713 635 759 NA
1689238800.0 111.0 139 170 353 NA NA NA 285 272 513 NA NA NA 1050 281 1393 NA NA NA 1870 620 3014 NA NA NA
1689238800.0 112.0 144 152 341 NA NA NA 277 276 505 NA NA NA 1415 337 1421 NA NA NA 1704 820 2311 NA NA NA
1689238800.0 11224.6 NA 250 524 0 NA NA NA 362 723 0 NA NA NA 402 1720 448 NA NA NA 793 2690 595 NA NA
1689238800.0 113.0 161 176 343 NA NA NA 292 267 509 NA NA NA 1486 339 1442 NA NA NA 1620 645 2214 NA NA NA
1689238800.0 114.0 157 173 352 NA NA NA 297 273 508 NA NA NA 1551 343 1431 NA NA NA 2013 1194 2433 NA NA NA
1689238800.0 115.0 153 178 355 NA NA NA 285 271 508 NA NA NA 1718 332 1434 NA NA NA 1216 1360 2105 NA NA NA
1689238800.0 116.0 159 174 352 NA NA NA 295 277 511 NA NA NA 1793 361 1503 NA NA NA 1500 1493 2419 NA NA NA
1689238800.0 11603.0 NA 256 521 0 150 NA NA 360 776 0 243 NA NA 370 1577 403 287 NA NA 426 2574 560 362 NA
1689238800.0 11604.0 NA 251 529 0 147 NA NA 354 813 0 241 NA NA 360 1526 416 295 NA NA 406 2250 546 642 NA
1689238800.0 11607.0 NA 256 528 0 169 NA NA 371 792 0 284 NA NA 379 1561 405 285 NA NA 895 2638 502 313 NA
1689238800.0 11608.0 NA 254 531 0 172 NA NA 355 754 0 281 NA NA 377 1567 412 292 NA NA 668 2253 576 358 NA
1689238800.0 11609.0 NA 256 532 0 170 NA NA 368 773 0 285 NA NA 387 1607 419 291 NA NA 577 2786 569 337 NA
1689238800.0 11634.0 NA 266 551 0 173 NA NA 381 797 0 288 NA NA 423 1800 435 297 NA NA 722 2950 544 385 NA
1689238800.0 11634.24 NA 197 479 0 139 NA NA 306 745 0 220 NA NA 229 1478 406 272 NA NA 789 2824 585 363 NA
1689238800.0 11634.601 NA 262 91 554 0 NA NA 370 167 794 0 NA NA 419 115 1776 449 NA NA 763 371 2585 646 NA
1689238800.0 11634.7 NA 263 554 0 NA NA NA 370 831 0 NA NA NA 451 1874 450 NA NA NA 1041 2738 588 NA NA
1689238800.0 11634.911 152 260 537 0 174 NA 259 361 812 0 289 NA 2877 1228 2447 889 794 NA 2563 1274 3269 1050 803 NA
1689238800.0 11634.914 141 253 526 0 169 NA 241 348 786 0 270 NA 2317 446 1842 443 339 NA 1683 1016 3829 592 918 NA
1689238800.0 11646.0 NA 260 542 0 152 NA NA 361 766 0 238 NA NA 393 1623 421 311 NA NA 593 2696 518 1267 NA
1689238800.0 11650.911 146 254 534 0 176 NA 250 359 784 0 295 NA 1714 1180 2350 890 796 NA 2348 1182 3210 1537 839 NA
1689238800.0 11650.914 137 250 518 0 170 NA 232 357 799 0 290 NA 1343 420 1689 463 327 NA 1795 790 3222 645 473 NA
1689238800.0 117.0 156 180 349 NA NA NA 293 275 501 NA NA NA 1926 348 1520 NA NA NA 1396 732 2198 NA NA NA
1689238800.0 11723.17 NA 273 563 0 NA NA NA 375 845 0 NA NA NA 465 2149 478 NA NA NA 476 3126 844 NA NA
1689238800.0 118.0 160 181 362 NA NA NA 292 281 527 NA NA NA 2349 372 1570 NA NA NA 1880 1738 2333 NA NA NA
1689238800.0 11834.0 NA 634 1011 0 NA NA NA 903 1408 0 NA NA NA 3405 6312 470 NA NA NA 2200 4870 693 NA NA
1689238800.0 11834.19 NA 593 1027 0 NA NA NA 850 1503 0 NA NA NA 3622 6690 490 NA NA NA 2086 4448 758 NA NA
1689238800.0 11834.99 NA 571 595 724 0 NA NA 883 930 1016 0 NA NA 4113 1135 4567 465 NA NA 4271 1159 4473 665 NA
1689238800.0 11846.0 NA 600 951 0 NA NA NA 842 1292 0 NA NA NA 3425 4966 487 NA NA NA 2097 4132 1002 NA NA
1689238800.0 11846.19 NA 563 968 0 NA NA NA 822 1387 0 NA NA NA 3368 5189 475 NA NA NA 2071 4735 823 NA NA
1689238800.0 119.0 160 173 348 NA NA NA 294 270 508 NA NA NA 1285 342 1458 NA NA NA 2111 1529 2201 NA NA NA
1689238800.0 12.0 NA 203 380 0 NA NA NA 314 561 0 NA NA NA 1278 2741 426 NA NA NA 1111 2801 687 NA NA
1689238800.0 120.0 125 171 342 NA NA NA 246 269 503 NA NA NA 566 319 1385 NA NA NA 1321 978 2441 NA NA NA
1689238800.0 121.0 152 179 351 NA NA NA 294 278 535 NA NA NA 2436 342 1583 NA NA NA 1847 454 2808 NA NA NA
1689238800.0 122.0 117 0 0 NA NA NA 221 0 0 NA NA NA 568 122 1194 NA NA NA 1106 448 2220 NA NA NA
1689238800.0 123.1 424 NA NA NA NA NA 576 NA NA NA NA NA 857 NA NA NA NA NA 1978 NA NA NA NA NA
1689238800.0 123.2 390 NA NA NA NA NA 590 NA NA NA NA NA 958 NA NA NA NA NA 1426 NA NA NA NA NA
1689238800.0 123.3 351 NA NA NA NA NA 489 NA NA NA NA NA 721 NA NA NA NA NA 1060 NA NA NA NA NA
1689238800.0 124.1 389 NA NA NA NA NA 565 NA NA NA NA NA 719 NA NA NA NA NA 997 NA NA NA NA NA
1689238800.0 124.2 390 NA NA NA NA NA 593 NA NA NA NA NA 774 NA NA NA NA NA 1085 NA NA NA NA NA
1689238800.0 124.4 379 NA NA NA NA NA 565 NA NA NA NA NA 739 NA NA NA NA NA 1097 NA NA NA NA NA
1689238800.0 124.5 412 NA NA NA NA NA 568 NA NA NA NA NA 743 NA NA NA NA NA 1081 NA NA NA NA NA
1689238800.0 124.6 334 NA NA NA NA NA 496 NA NA NA NA NA 723 NA NA NA NA NA 1335 NA NA NA NA NA
1689238800.0 12434.0 NA 414 708 0 182 NA NA 572 1000 0 285 NA NA 1056 2747 600 381 NA NA 4559 3846 1197 521 NA
1689238800.0 12434.7 NA 433 700 0 NA NA NA 565 1034 0 NA NA NA 1017 2695 570 NA NA NA 1426 3768 758 NA NA
1689238800.0 125.0 161 174 346 NA NA NA 289 270 498 NA NA NA 1712 353 1453 NA NA NA 1567 1452 2227 NA NA NA
1689238800.0 126.0 118 170 345 NA NA NA 247 269 506 NA NA NA 987 309 1382 NA NA NA 1797 881 2768 NA NA NA
1689238800.0 12634.0 NA 593 941 0 NA NA NA 810 1351 0 NA NA NA 2580 4185 586 NA NA NA 2926 4742 730 NA NA
1689238800.0 12634.99 NA 428 619 800 0 NA NA 626 892 1160 0 NA NA 2592 1561 3873 610 NA NA 2328 2065 4368 1003 NA
1689238800.0 127.0 89 171 343 NA NA NA 223 267 518 NA NA NA 764 323 1386 NA NA NA 986 1080 1942 NA NA NA
1689238800.0 128.0 123 173 341 NA NA NA 222 273 515 NA NA NA 538 311 1384 NA NA NA 923 1019 2282 NA NA NA
1689238800.0 129.0 122 169 342 NA NA NA 222 266 499 NA NA NA 537 320 1389 NA NA NA 931 979 2349 NA NA NA
1689238800.0 13.0 NA 182 361 0 NA NA NA 279 518 0 NA NA NA 308 1899 379 NA NA NA 1360 2561 649 NA NA
1689238800.0 130.0 118 168 334 NA NA NA 235 261 504 NA NA NA 556 309 1358 NA NA NA 725 952 2830 NA NA NA
1689238800.0 1301.0 145 208 301 NA NA NA 252 302 452 NA NA NA 1214 326 894 NA NA NA 1055 559 1429 NA NA NA
1689238800.0 1302.0 154 218 286 NA NA NA 288 318 462 NA NA NA 2265 370 1085 NA NA NA 1779 466 2163 NA NA NA
1689238800.0 1303.0 155 214 304 NA NA NA 268 314 461 NA NA NA 3865 311 1281 NA NA NA 2571 545 1477 NA NA NA
1689238800.0 13034.0 NA 586 941 0 NA NA NA 828 1363 0 NA NA NA 2621 4178 591 NA NA NA 2515 5018 805 NA NA
1689238800.0 13034.99 NA 408 599 759 0 NA NA 597 856 1110 0 NA NA 2611 1507 3570 608 NA NA 3150 2649 3837 1034 NA
1689238800.0 1309.0 NA 218 407 0 NA NA NA 326 570 0 NA NA NA 377 1593 363 NA NA NA 972 2506 483 NA NA
1689238800.0 131.0 115 172 343 NA NA NA 247 260 479 NA NA NA 859 317 1419 NA NA NA 975 710 2258 NA NA NA
1689238800.0 1311.0 NA 219 482 0 122 NA NA 322 724 0 198 NA NA 343 1240 394 280 NA NA 995 3392 802 1397 NA
1689238800.0 1312.0 NA 221 394 0 NA NA NA 328 566 0 NA NA NA 368 1594 365 NA NA NA 743 2390 504 NA NA
1689238800.0 1316.0 NA 216 NA NA NA NA NA 319 NA NA NA NA NA 342 NA NA NA NA NA 743 NA NA NA NA
1689238800.0 1318.0 NA 212 387 0 141 NA NA 321 571 0 246 NA NA 317 1339 327 300 NA NA 863 2230 540 342 NA
1689238800.0 132.0 151 179 355 NA NA NA 290 279 515 NA NA NA 1919 354 1520 NA NA NA 1474 744 2256 NA NA NA
1689238800.0 13240.303 583 NA NA NA NA NA 827 NA NA NA NA NA 2814 NA NA NA NA NA 1900 NA NA NA NA NA
1689238800.0 1325.9 NA 254 408 0 125 NA NA 366 555 0 204 NA NA 415 1542 351 270 NA NA 984 2922 485 510 NA
1689238800.0 1325.91 NA 254 405 0 125 NA NA 368 573 0 202 NA NA 409 1566 356 271 NA NA 658 3423 496 532 NA
1689238800.0 1327.0 NA 196 401 0 NA NA NA 323 567 0 NA NA NA 357 1484 371 NA NA NA 698 2574 865 NA NA
