Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4
1689195600.0 1.0 157 167 257 NA 286 261 415 NA 1323 322 888 NA 1812 959 1867 NA
1689195600.0 103.0 114 0 0 NA 223 0 0 NA 562 115 1188 NA 1462 383 2377 NA
1689195600.0 106.0 120 0 0 NA 223 0 0 NA 558 112 1230 NA 1103 225 2377 NA
1689195600.0 10805.31 NA 274 517 NA NA 390 821 NA NA 1547 1490 NA NA 2022 4349 NA
1689195600.0 122.0 110 0 0 NA 221 0 0 NA 567 114 1228 NA 1086 436 2735 NA
1689195600.0 129.0 112 159 330 NA 222 269 502 NA 532 314 1331 NA 1202 1367 1511 NA
1689195600.0 1301.0 136 205 300 NA 261 299 445 NA 1398 335 888 NA 1722 989 1349 NA
1689195600.0 134.0 NA 351 77 0 NA 532 155 0 NA 2715 134 74 NA 2514 263 169
1689195600.0 144.6 NA 354 NA NA NA 535 NA NA NA 2485 NA NA NA 3587 NA NA
1689195600.0 2500.012 NA 231 0 NA NA 374 0 NA NA 14144 143 NA NA 7066 302 NA
1689195600.0 25034.21 NA 798 718 281 NA 1299 1069 405 NA 9628 8140 1904 NA 6983 3510 1746
1689195600.0 25061.97 1075 NA NA NA 1544 NA NA NA 7138 NA NA NA 4559 NA NA NA
1689195600.0 4.28 NA 122 360 0 NA 211 518 0 NA 215 2872 1296 NA 837 3930 1889
1689195600.0 4002.0 NA 201 375 NA NA 318 551 NA NA 1273 2312 NA NA 1114 2487 NA
1689195600.0 4007.0 112 0 0 NA 221 0 0 NA 568 123 1197 NA 1421 636 2502 NA
1689195600.0 4008.0 132 183 352 NA 244 286 537 NA 773 273 1412 NA 1586 1159 2808 NA
