Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobTime1 TotalJobTime2 TotalJobTime3
1689238800.0 103.0 123 162 331 239 257 487 658 231 1320 1074 1039 2032
1689238800.0 107.0 139 176 340 285 270 520 1681 322 1425 1461 764 1858
1689238800.0 108.0 154 169 346 301 271 522 2054 345 1464 1807 1424 2147
1689238800.0 110.0 117 163 343 222 263 507 603 308 1359 1359 1103 1644
1689238800.0 111.0 144 174 337 283 269 526 1082 275 1382 1976 752 1901
1689238800.0 112.0 134 171 339 290 265 485 1349 327 1384 1181 912 2457
1689238800.0 114.0 141 177 351 292 275 502 1558 327 1402 1307 746 1821
1689238800.0 116.0 155 176 345 293 276 510 1762 335 1455 1534 741 2445
1689238800.0 117.0 142 168 353 282 270 503 1897 357 1470 1707 1762 1848
1689238800.0 119.0 151 175 350 281 264 513 1161 315 1422 1262 733 3190
1689238800.0 127.0 118 165 328 224 262 484 719 310 1352 1228 1180 2302
1689238800.0 129.0 122 167 339 221 263 497 531 311 1348 1130 1094 2693
1689238800.0 144.6 NA 361 NA NA 521 NA NA 2563 NA NA 4239 NA
1689238800.0 2500.0 NA 219 0 NA 348 0 NA 20311 159 NA 10364 420
1689238800.0 2500.012 NA 242 0 NA 374 0 NA 14036 145 NA 6411 283
1689238800.0 2500.1 NA 198 0 NA 347 0 NA 19941 154 NA 9274 371
1689238800.0 2500.31 NA 219 0 NA 419 0 NA 5537 152 NA 8531 654
1689238800.0 25061.97 1035 NA NA 1505 NA NA 7615 NA NA 4993 NA NA
1689238800.0 4001.0 NA 231 416 NA 359 588 NA 632 1896 NA 1225 2064
