Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8
1680991200.0 10.0 NA 113 462 0 NA NA NA NA NA 371 571 0 NA NA NA NA NA 2192 3036 487 NA NA NA NA NA 1827 3451 639 NA NA NA NA
1680991200.0 1000.0 NA 385 153 0 46 NA NA NA NA 504 254 0 89 NA NA NA NA 2589 1239 583 253 NA NA NA NA 3843 1451 1030 283 NA NA NA
1680991200.0 10001.0 NA 188 657 83 0 NA NA NA NA 488 825 134 0 NA NA NA NA 1291 2097 384 1704 NA NA NA NA 1761 3534 950 2192 NA NA NA
1680991200.0 10002.0 NA 191 661 86 0 NA NA NA NA 481 824 134 0 NA NA NA NA 1320 2133 374 1690 NA NA NA NA 1804 4162 638 2090 NA NA NA
1680991200.0 10003.0 NA 195 661 83 0 NA NA NA NA 483 831 135 0 NA NA NA NA 1322 2152 374 1706 NA NA NA NA 1981 4780 1004 2275 NA NA NA
1680991200.0 10004.0 NA 190 661 83 0 NA NA NA NA 488 821 134 0 NA NA NA NA 1283 2133 373 1679 NA NA NA NA 1952 4362 901 2324 NA NA NA
1680991200.0 10005.0 NA 189 659 82 0 NA NA NA NA 474 820 133 0 NA NA NA NA 1306 2112 379 1757 NA NA NA NA 3663 9583 799 2436 NA NA NA
1680991200.0 10007.0 NA 190 659 94 0 NA NA NA NA 479 817 145 0 NA NA NA NA 1330 2161 393 1733 NA NA NA NA 1757 4183 1392 2412 NA NA NA
1680991200.0 10009.0 NA 194 658 94 0 NA NA NA NA 488 834 145 0 NA NA NA NA 1326 2207 399 1691 NA NA NA NA 2069 4074 1866 2115 NA NA NA
1680991200.0 1001.0 NA 363 178 0 0 0 0 0 NA 471 231 0 0 0 0 0 NA 2235 458 70 88 261 114 243 NA 4335 1295 283 324 356 194 292
1680991200.0 10023.0 NA 190 655 83 0 NA NA NA NA 482 813 133 0 NA NA NA NA 1279 2123 373 1696 NA NA NA NA 1957 4759 736 2095 NA NA NA
1680991200.0 10024.4 NA 213 679 0 NA NA NA NA NA 483 841 0 NA NA NA NA NA 1443 2393 1729 NA NA NA NA NA 1827 4313 2490 NA NA NA NA
1680991200.0 10024.6 NA 213 675 0 NA NA NA NA NA 488 824 0 NA NA NA NA NA 1531 2357 1709 NA NA NA NA NA 3346 5955 2142 NA NA NA NA
1680991200.0 10025.0 NA 203 670 84 0 NA NA NA NA 481 837 134 0 NA NA NA NA 1390 2253 392 1722 NA NA NA NA 2001 4513 1429 2315 NA NA NA
1680991200.0 10026.0 NA 217 684 94 0 NA NA NA NA 471 850 144 0 NA NA NA NA 1510 2518 405 1749 NA NA NA NA 2126 5710 1189 2644 NA NA NA
1680991200.0 10042.0 NA 197 674 94 0 NA NA NA NA 489 839 145 0 NA NA NA NA 1439 2277 414 1769 NA NA NA NA 4867 11303 6362 2297 NA NA NA
1680991200.0 10059.0 NA 219 683 94 0 NA NA NA NA 476 849 145 0 NA NA NA NA 1591 2881 413 1773 NA NA NA NA 4506 11412 1397 2270 NA NA NA
1680991200.0 10071.0 NA 201 675 92 0 NA NA NA NA 479 824 136 0 NA NA NA NA 1384 2277 377 1825 NA NA NA NA 3813 8110 1933 2597 NA NA NA
1680991200.0 10224.0 NA 401 921 0 NA NA NA NA NA 575 1138 0 NA NA NA NA NA 4004 4688 1831 NA NA NA NA NA 8311 9880 2576 NA NA NA NA
1680991200.0 10225.0 NA 394 936 0 NA NA NA NA NA 578 1154 0 NA NA NA NA NA 3910 4326 1785 NA NA NA NA NA 7382 10258 2290 NA NA NA NA
1680991200.0 10424.0 NA 216 674 0 NA NA NA NA NA 488 845 0 NA NA NA NA NA 1483 2378 1730 NA NA NA NA NA 2173 5426 2275 NA NA NA NA
1680991200.0 107.0 92 86 432 NA NA NA NA NA 186 367 536 NA NA NA NA NA 3401 490 1534 NA NA NA NA NA 2309 903 3049 NA NA NA NA NA
